sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.12,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.12,0.6,0.27499999999999997,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.16,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.16,0.6,0.27499999999999997,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.16,0.76,0.34833333333333333,0.56,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.2,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.2,0.6,0.27499999999999997,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.2,0.72,0.32999999999999996,0.56,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.24,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.24,0.6,0.27499999999999997,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.24,0.68,0.3116666666666667,0.56,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.24,0.68,0.3116666666666667,0.6,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.28,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.28,0.6,0.27499999999999997,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.28,0.64,0.29333333333333333,0.6,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.32,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.32,0.6,0.27499999999999997,0.6,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.32,0.6,0.27499999999999997,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.36,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.36,0.56,0.25666666666666665,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.4,0.52,0.23833333333333334,0.64,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.4,0.52,0.23833333333333334,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.44,0.48,0.21999999999999997,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.48,0.44,0.20166666666666666,0.68,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.52,0.4,0.18333333333333335,0.72,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.56,0.36,0.16499999999999998,0.72,0.56,0.8300000000000001,0.38,0.87,No counterfactual,11,24
0.16,0.52,0.23833333333333334,0.68,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.16,0.6,0.27499999999999997,0.64,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.2,0.52,0.23833333333333334,0.68,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.2,0.6,0.27499999999999997,0.64,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.24,0.52,0.23833333333333334,0.68,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.24,0.6,0.27499999999999997,0.64,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.28,0.52,0.23833333333333334,0.68,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.28,0.6,0.27499999999999997,0.64,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.32,0.52,0.23833333333333334,0.68,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.36,0.52,0.23833333333333334,0.68,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.56,0.08,0.03666666666666667,0.88,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.6,0.08,0.03666666666666667,0.88,0.62,0.76,0.33,0.88,No counterfactual,11,24
0.56,0.16,0.07333333333333333,0.84,0.6900000000000001,0.58,0.36,0.87,No counterfactual,11,24
0.6,0.16,0.07333333333333333,0.84,0.6900000000000001,0.58,0.36,0.87,No counterfactual,11,24
0.64,0.16,0.07333333333333333,0.84,0.6900000000000001,0.58,0.36,0.87,No counterfactual,11,24
0.68,0.16,0.07333333333333333,0.84,0.6900000000000001,0.58,0.36,0.87,No counterfactual,11,24
0.48,0.24,0.10999999999999999,0.8,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.48,0.24,0.10999999999999999,0.84,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.52,0.2,0.09166666666666667,0.8,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.52,0.2,0.09166666666666667,0.84,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.56,0.16,0.07333333333333333,0.84,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.6,0.12,0.05499999999999999,0.84,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.6,0.12,0.05499999999999999,0.88,0.63,0.27,0.61,0.88,No counterfactual,11,24
0.6,0.08,0.03666666666666667,0.88,0.68,0.2,0.34,0.88,No counterfactual,11,24
0.64,0.08,0.03666666666666667,0.88,0.68,0.2,0.34,0.88,No counterfactual,11,24
0.48,0.2,0.09166666666666667,0.84,0.64,0.27,0.53,0.86,No counterfactual,11,24
0.52,0.2,0.09166666666666667,0.84,0.64,0.27,0.53,0.86,No counterfactual,11,24
0.16,0.6,0.27499999999999997,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.16,0.76,0.34833333333333333,0.52,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.16,0.76,0.34833333333333333,0.56,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.2,0.6,0.27499999999999997,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.2,0.72,0.32999999999999996,0.56,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.24,0.6,0.27499999999999997,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.24,0.68,0.3116666666666667,0.56,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.24,0.68,0.3116666666666667,0.6,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.28,0.6,0.27499999999999997,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.28,0.64,0.29333333333333333,0.6,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.32,0.6,0.27499999999999997,0.6,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.32,0.6,0.27499999999999997,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.36,0.56,0.25666666666666665,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.4,0.52,0.23833333333333334,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.44,0.48,0.21999999999999997,0.64,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.44,0.48,0.21999999999999997,0.68,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.48,0.16,0.07333333333333333,0.84,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.48,0.44,0.20166666666666666,0.68,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.52,0.16,0.07333333333333333,0.84,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.52,0.4,0.18333333333333335,0.68,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.52,0.4,0.18333333333333335,0.72,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.56,0.16,0.07333333333333333,0.84,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.56,0.36,0.16499999999999998,0.72,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.6,0.16,0.07333333333333333,0.84,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.6,0.32,0.14666666666666667,0.72,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.6,0.32,0.14666666666666667,0.76,0.63,0.79,0.41,0.86,No counterfactual,11,24
0.12,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.16,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.2,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.24,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.28,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.32,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.36,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.4,0.52,0.23833333333333334,0.68,0.59,0.8300000000000001,0.47,0.85,No counterfactual,11,24
0.64,0.08,0.03666666666666667,0.88,0.71,0.45,0.1,0.91,No counterfactual,11,24
0.68,0.08,0.03666666666666667,0.88,0.71,0.45,0.1,0.91,No counterfactual,11,24
0.68,0.16,0.07333333333333333,0.84,0.71,0.45,0.1,0.91,No counterfactual,11,24
0.6,0.08,0.03666666666666667,0.88,0.67,0.61,0.12,0.91,No counterfactual,11,24
0.64,0.08,0.03666666666666667,0.88,0.67,0.61,0.12,0.91,No counterfactual,11,24
0.56,0.08,0.03666666666666667,0.88,0.62,0.41,0.34,0.88,No counterfactual,11,24
0.6,0.08,0.03666666666666667,0.88,0.62,0.41,0.34,0.88,No counterfactual,11,24
0.28,0.52,0.23833333333333334,0.68,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.32,0.48,0.21999999999999997,0.68,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.36,0.44,0.20166666666666666,0.68,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.4,0.4,0.18333333333333335,0.72,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.44,0.36,0.16499999999999998,0.72,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.48,0.32,0.14666666666666667,0.76,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.52,0.08,0.03666666666666667,0.88,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.52,0.28,0.12833333333333333,0.76,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.56,0.08,0.03666666666666667,0.88,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.56,0.24,0.10999999999999999,0.8,0.58,0.53,0.32,0.88,No counterfactual,11,24
0.08,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.12,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.16,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.2,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.24,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.28,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.32,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.36,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.4,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.44,0.52,0.23833333333333334,0.68,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.52,0.08,0.03666666666666667,0.88,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.56,0.08,0.03666666666666667,0.88,0.59,0.99,0.26,0.89,No counterfactual,11,24
0.28,0.52,0.23833333333333334,0.68,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.32,0.52,0.23833333333333334,0.68,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.36,0.48,0.21999999999999997,0.68,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.44,0.4,0.18333333333333335,0.72,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.52,0.32,0.14666666666666667,0.76,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.56,0.08,0.03666666666666667,0.88,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.6,0.08,0.03666666666666667,0.88,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.6,0.24,0.10999999999999999,0.8,0.63,0.58,0.27,0.89,No counterfactual,11,24
0.64,0.08,0.03666666666666667,0.88,0.7000000000000001,0.8300000000000001,0.12,0.91,No counterfactual,11,24
0.68,0.08,0.03666666666666667,0.88,0.7000000000000001,0.8300000000000001,0.12,0.91,No counterfactual,11,24
0.44,0.16,0.07333333333333333,0.88,0.58,0.36,0.64,0.88,No counterfactual,11,24
0.48,0.16,0.07333333333333333,0.88,0.58,0.36,0.64,0.88,No counterfactual,11,24
0.52,0.16,0.07333333333333333,0.88,0.58,0.36,0.64,0.88,No counterfactual,11,24
0.56,0.16,0.07333333333333333,0.88,0.58,0.36,0.64,0.88,No counterfactual,11,24
0.36,0.36,0.16499999999999998,0.76,0.55,0.4,0.99,0.89,No counterfactual,11,24
0.36,0.36,0.16499999999999998,0.8,0.55,0.4,0.99,0.89,No counterfactual,11,24
0.4,0.32,0.14666666666666667,0.76,0.55,0.4,0.99,0.89,No counterfactual,11,24
