sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.16,0.64,0.36571428571428577,0.52,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.16,0.68,0.3885714285714287,0.28,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.16,0.68,0.3885714285714287,0.32,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.16,0.68,0.3885714285714287,0.36,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.16,0.68,0.3885714285714287,0.4,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.16,0.68,0.3885714285714287,0.44,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.16,0.68,0.3885714285714287,0.48,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.2,0.64,0.36571428571428577,0.32,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.2,0.64,0.36571428571428577,0.36,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.2,0.64,0.36571428571428577,0.4,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.2,0.64,0.36571428571428577,0.44,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.2,0.64,0.36571428571428577,0.48,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.2,0.64,0.36571428571428577,0.52,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.24,0.6,0.3428571428571429,0.32,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.24,0.6,0.3428571428571429,0.36,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.24,0.6,0.3428571428571429,0.4,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.24,0.6,0.3428571428571429,0.44,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.24,0.6,0.3428571428571429,0.48,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.24,0.6,0.3428571428571429,0.52,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.28,0.56,0.32000000000000006,0.36,0.45,0.71,0.67,0.66,No counterfactual,24,42
0.28,0.56,0.32000000000000006,0.4,0.45,0.71,0.67,0.66,No counterfactual,24,42
