sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.36,0.48,0.3815384615384615,0.44,0.8300000000000001,0.61,0.55,0.61,No counterfactual,31,39
0.4,0.48,0.3815384615384615,0.44,0.8300000000000001,0.61,0.55,0.61,No counterfactual,31,39
0.44,0.48,0.3815384615384615,0.44,0.8300000000000001,0.61,0.55,0.61,No counterfactual,31,39
0.56,0.28,0.22256410256410258,0.6,0.8300000000000001,0.61,0.55,0.61,No counterfactual,31,39
0.6,0.28,0.22256410256410258,0.6,0.8300000000000001,0.61,0.55,0.61,No counterfactual,31,39
0.64,0.28,0.22256410256410258,0.6,0.8300000000000001,0.61,0.55,0.61,No counterfactual,31,39
0.56,0.28,0.22256410256410258,0.68,0.8300000000000001,0.49,0.66,0.72,No counterfactual,31,39
0.6,0.28,0.22256410256410258,0.68,0.8300000000000001,0.49,0.66,0.72,No counterfactual,31,39
0.4,0.4,0.31794871794871793,0.6,0.77,0.58,0.6,0.81,No counterfactual,31,39
0.44,0.4,0.31794871794871793,0.6,0.77,0.58,0.6,0.81,No counterfactual,31,39
0.48,0.4,0.31794871794871793,0.6,0.77,0.58,0.6,0.81,No counterfactual,31,39
0.6,0.2,0.15897435897435896,0.76,0.77,0.58,0.6,0.81,No counterfactual,31,39
0.64,0.2,0.15897435897435896,0.76,0.77,0.58,0.6,0.81,No counterfactual,31,39
0.68,0.2,0.15897435897435896,0.76,0.77,0.58,0.6,0.81,No counterfactual,31,39
0.12,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.12,0.64,0.5087179487179487,0.4,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.16,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.16,0.64,0.5087179487179487,0.4,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.2,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.2,0.64,0.5087179487179487,0.4,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.24,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.24,0.64,0.5087179487179487,0.4,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.28,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.32,0.24,0.19076923076923075,0.72,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.32,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.36,0.24,0.19076923076923075,0.72,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.36,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.4,0.24,0.19076923076923075,0.72,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.4,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.44,0.24,0.19076923076923075,0.72,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.44,0.44,0.3497435897435897,0.56,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.48,0.24,0.19076923076923075,0.72,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.52,0.24,0.19076923076923075,0.72,0.53,0.81,0.66,0.75,No counterfactual,31,39
0.24,0.64,0.5087179487179487,0.48,0.72,0.67,0.97,0.73,No counterfactual,31,39
0.28,0.44,0.3497435897435897,0.64,0.72,0.67,0.97,0.73,No counterfactual,31,39
0.32,0.44,0.3497435897435897,0.64,0.72,0.67,0.97,0.73,No counterfactual,31,39
0.36,0.44,0.3497435897435897,0.64,0.72,0.67,0.97,0.73,No counterfactual,31,39
0.4,0.44,0.3497435897435897,0.64,0.72,0.67,0.97,0.73,No counterfactual,31,39
0.44,0.44,0.3497435897435897,0.64,0.72,0.67,0.97,0.73,No counterfactual,31,39
0.2,0.52,0.41333333333333333,0.48,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.24,0.52,0.41333333333333333,0.48,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.28,0.52,0.41333333333333333,0.48,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.32,0.52,0.41333333333333333,0.48,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.36,0.32,0.25435897435897437,0.64,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.36,0.52,0.41333333333333333,0.48,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.4,0.32,0.25435897435897437,0.64,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.44,0.32,0.25435897435897437,0.64,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.48,0.32,0.25435897435897437,0.64,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.52,0.32,0.25435897435897437,0.64,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.56,0.32,0.25435897435897437,0.64,0.65,0.74,0.6900000000000001,0.67,No counterfactual,31,39
0.2,0.68,0.5405128205128206,0.28,0.87,0.98,0.61,0.55,No counterfactual,31,39
