sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.16,0.72,0.37830508474576274,0.36,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.16,0.72,0.37830508474576274,0.4,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.16,0.72,0.37830508474576274,0.44,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.16,0.72,0.37830508474576274,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.16,0.72,0.37830508474576274,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.16,0.72,0.37830508474576274,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.2,0.68,0.35728813559322037,0.4,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.2,0.68,0.35728813559322037,0.44,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.2,0.68,0.35728813559322037,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.2,0.68,0.35728813559322037,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.2,0.68,0.35728813559322037,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.4,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.44,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.28,0.6,0.3152542372881356,0.44,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.28,0.6,0.3152542372881356,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.28,0.6,0.3152542372881356,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.28,0.6,0.3152542372881356,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.28,0.6,0.3152542372881356,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.32,0.56,0.2942372881355933,0.44,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.32,0.56,0.2942372881355933,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.32,0.56,0.2942372881355933,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.32,0.56,0.2942372881355933,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.32,0.56,0.2942372881355933,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.32,0.56,0.2942372881355933,0.64,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.36,0.52,0.27322033898305087,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.36,0.52,0.27322033898305087,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.36,0.52,0.27322033898305087,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.36,0.52,0.27322033898305087,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.36,0.52,0.27322033898305087,0.64,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.4,0.48,0.2522033898305085,0.48,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.4,0.48,0.2522033898305085,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.4,0.48,0.2522033898305085,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.4,0.48,0.2522033898305085,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.4,0.48,0.2522033898305085,0.64,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.4,0.48,0.2522033898305085,0.68,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.44,0.44,0.23118644067796612,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.44,0.44,0.23118644067796612,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.44,0.44,0.23118644067796612,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.44,0.44,0.23118644067796612,0.64,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.44,0.44,0.23118644067796612,0.68,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.48,0.4,0.21016949152542375,0.52,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.48,0.4,0.21016949152542375,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.48,0.4,0.21016949152542375,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.48,0.4,0.21016949152542375,0.64,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.48,0.4,0.21016949152542375,0.68,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.48,0.4,0.21016949152542375,0.72,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.52,0.36,0.18915254237288137,0.56,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.52,0.36,0.18915254237288137,0.6,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.52,0.36,0.18915254237288137,0.64,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.52,0.36,0.18915254237288137,0.68,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.52,0.36,0.18915254237288137,0.72,0.52,0.75,0.81,0.72,No counterfactual,31,59
0.12,0.64,0.336271186440678,0.56,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.12,0.72,0.37830508474576274,0.52,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.16,0.64,0.336271186440678,0.56,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.16,0.72,0.37830508474576274,0.52,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.2,0.64,0.336271186440678,0.56,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.2,0.72,0.37830508474576274,0.52,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.24,0.64,0.336271186440678,0.56,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.28,0.64,0.336271186440678,0.56,0.62,0.86,0.5,0.8,No counterfactual,31,59
0.48,0.28,0.14711864406779665,0.84,0.73,0.55,0.92,0.85,No counterfactual,31,59
0.52,0.28,0.14711864406779665,0.84,0.73,0.55,0.92,0.85,No counterfactual,31,59
0.56,0.28,0.14711864406779665,0.84,0.73,0.55,0.92,0.85,No counterfactual,31,59
0.2,0.44,0.23118644067796612,0.72,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.2,0.52,0.27322033898305087,0.68,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.2,0.6,0.3152542372881356,0.64,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.24,0.44,0.23118644067796612,0.72,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.24,0.52,0.27322033898305087,0.68,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.24,0.6,0.3152542372881356,0.64,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.28,0.44,0.23118644067796612,0.72,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.28,0.52,0.27322033898305087,0.68,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.32,0.44,0.23118644067796612,0.72,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.32,0.52,0.27322033898305087,0.68,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.36,0.44,0.23118644067796612,0.72,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
0.4,0.44,0.23118644067796612,0.72,0.59,0.6900000000000001,0.74,0.8300000000000001,No counterfactual,31,59
