sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.046875,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.04,0.96,0.045,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.08,0.92,0.043125000000000004,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.12,0.88,0.04125,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.16,0.84,0.039375,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.2,0.8,0.037500000000000006,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.24,0.76,0.035625000000000004,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.28,0.72,0.03375,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.32,0.68,0.031875,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.36,0.64,0.03,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.4,0.6,0.028124999999999997,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.44,0.56,0.026250000000000002,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.48,0.52,0.024375,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.52,0.48,0.0225,0.84,0.54,1.0,0.54,0.86,No counterfactual,3,64
0.0,1.0,0.046875,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.04,0.96,0.045,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.08,0.92,0.043125000000000004,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.12,0.88,0.04125,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.16,0.84,0.039375,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.2,0.8,0.037500000000000006,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.24,0.76,0.035625000000000004,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.28,0.72,0.03375,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.32,0.68,0.031875,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.36,0.64,0.03,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.4,0.6,0.028124999999999997,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.44,0.56,0.026250000000000002,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.48,0.52,0.024375,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.52,0.48,0.0225,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.56,0.44,0.020625,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.6,0.4,0.018750000000000003,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.64,0.36,0.016875,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.68,0.32,0.015,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.72,0.28,0.013125000000000001,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.76,0.24,0.01125,0.84,0.8300000000000001,1.0,0.5700000000000001,0.85,No counterfactual,3,64
0.0,1.0,0.046875,0.84,0.05,1.0,0.11,0.88,No counterfactual,3,64
0.04,0.28,0.013125000000000001,0.88,0.05,1.0,0.11,0.88,No counterfactual,3,64
0.04,0.96,0.045,0.84,0.05,1.0,0.11,0.88,No counterfactual,3,64
0.0,1.0,0.046875,0.84,0.74,1.0,0.34,0.87,No counterfactual,3,64
0.04,0.96,0.045,0.84,0.74,1.0,0.34,0.87,No counterfactual,3,64
