sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.4,0.6,0.03333333333333333,0.76,1.0,0.62,0.23,0.79,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,1.0,0.62,0.23,0.79,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,1.0,0.58,0.61,0.78,No counterfactual,3,54
0.48,0.52,0.028888888888888888,0.76,1.0,0.58,0.61,0.78,No counterfactual,3,54
0.52,0.48,0.026666666666666665,0.76,1.0,0.58,0.61,0.78,No counterfactual,3,54
0.56,0.44,0.024444444444444442,0.76,1.0,0.58,0.61,0.78,No counterfactual,3,54
0.6,0.4,0.022222222222222223,0.76,1.0,0.58,0.61,0.78,No counterfactual,3,54
0.64,0.36,0.019999999999999997,0.76,1.0,0.58,0.61,0.78,No counterfactual,3,54
0.24,0.76,0.042222222222222223,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.28,0.72,0.039999999999999994,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.32,0.68,0.03777777777777778,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.36,0.64,0.035555555555555556,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.4,0.6,0.03333333333333333,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.48,0.52,0.028888888888888888,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.52,0.48,0.026666666666666665,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.56,0.44,0.024444444444444442,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.6,0.4,0.022222222222222223,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.64,0.36,0.019999999999999997,0.76,1.0,1.0,0.11,0.78,No counterfactual,3,54
0.2,0.8,0.044444444444444446,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.24,0.76,0.042222222222222223,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.28,0.72,0.039999999999999994,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.32,0.68,0.03777777777777778,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.36,0.64,0.035555555555555556,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.4,0.6,0.03333333333333333,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.48,0.52,0.028888888888888888,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.52,0.48,0.026666666666666665,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.56,0.44,0.024444444444444442,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.6,0.4,0.022222222222222223,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.64,0.36,0.019999999999999997,0.76,1.0,0.81,0.8300000000000001,0.78,No counterfactual,3,54
0.28,0.72,0.039999999999999994,0.76,1.0,0.72,0.95,0.79,No counterfactual,3,54
0.32,0.68,0.03777777777777778,0.76,1.0,0.72,0.95,0.79,No counterfactual,3,54
0.36,0.64,0.035555555555555556,0.76,1.0,0.72,0.95,0.79,No counterfactual,3,54
0.4,0.6,0.03333333333333333,0.76,1.0,0.72,0.95,0.79,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,1.0,0.72,0.95,0.79,No counterfactual,3,54
0.0,1.0,0.05555555555555555,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.04,0.96,0.05333333333333333,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.08,0.92,0.05111111111111111,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.12,0.88,0.048888888888888885,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.16,0.84,0.04666666666666666,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.2,0.8,0.044444444444444446,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.24,0.76,0.042222222222222223,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.28,0.72,0.039999999999999994,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.32,0.68,0.03777777777777778,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.36,0.64,0.035555555555555556,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.4,0.6,0.03333333333333333,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.48,0.52,0.028888888888888888,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.52,0.48,0.026666666666666665,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.56,0.44,0.024444444444444442,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.6,0.4,0.022222222222222223,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.64,0.36,0.019999999999999997,0.76,0.85,1.0,0.65,0.78,No counterfactual,3,54
0.48,0.52,0.028888888888888888,0.76,1.0,0.55,0.86,0.78,No counterfactual,3,54
0.52,0.48,0.026666666666666665,0.76,1.0,0.55,0.86,0.78,No counterfactual,3,54
0.56,0.44,0.024444444444444442,0.76,1.0,0.55,0.86,0.78,No counterfactual,3,54
0.6,0.4,0.022222222222222223,0.76,1.0,0.55,0.86,0.78,No counterfactual,3,54
0.64,0.36,0.019999999999999997,0.76,1.0,0.55,0.86,0.78,No counterfactual,3,54
0.0,1.0,0.05555555555555555,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.04,0.96,0.05333333333333333,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.08,0.92,0.05111111111111111,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.12,0.88,0.048888888888888885,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.16,0.84,0.04666666666666666,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.2,0.8,0.044444444444444446,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.24,0.76,0.042222222222222223,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.28,0.72,0.039999999999999994,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.32,0.68,0.03777777777777778,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.36,0.64,0.035555555555555556,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.4,0.6,0.03333333333333333,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.44,0.56,0.031111111111111114,0.76,0.96,1.0,0.97,0.79,No counterfactual,3,54
0.2,0.8,0.044444444444444446,0.76,1.0,0.8200000000000001,0.62,0.78,No counterfactual,3,54
0.24,0.76,0.042222222222222223,0.76,1.0,0.8200000000000001,0.62,0.78,No counterfactual,3,54
0.28,0.72,0.039999999999999994,0.76,1.0,0.8200000000000001,0.62,0.78,No counterfactual,3,54
0.32,0.68,0.03777777777777778,0.76,1.0,0.8200000000000001,0.62,0.78,No counterfactual,3,54
0.36,0.64,0.035555555555555556,0.76,1.0,0.8200000000000001,0.62,0.78,No counterfactual,3,54
