sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.025,0.84,0.51,1.0,0.72,0.86,No counterfactual,1,40
0.04,0.96,0.024,0.84,0.51,1.0,0.72,0.86,No counterfactual,1,40
0.08,0.92,0.023000000000000003,0.84,0.51,1.0,0.72,0.86,No counterfactual,1,40
0.12,0.88,0.022000000000000002,0.84,0.51,1.0,0.72,0.86,No counterfactual,1,40
0.16,0.84,0.021,0.84,0.51,1.0,0.72,0.86,No counterfactual,1,40
0.2,0.8,0.020000000000000004,0.84,0.51,1.0,0.72,0.86,No counterfactual,1,40
0.0,1.0,0.025,0.84,0.01,1.0,0.22,0.85,No counterfactual,1,40
0.0,1.0,0.025,0.84,0.32,1.0,0.51,0.86,No counterfactual,1,40
0.04,0.96,0.024,0.84,0.32,1.0,0.51,0.86,No counterfactual,1,40
0.08,0.92,0.023000000000000003,0.84,0.32,1.0,0.51,0.86,No counterfactual,1,40
0.12,0.88,0.022000000000000002,0.84,0.32,1.0,0.51,0.86,No counterfactual,1,40
0.16,0.84,0.021,0.84,0.32,1.0,0.51,0.86,No counterfactual,1,40
0.2,0.8,0.020000000000000004,0.84,0.32,1.0,0.51,0.86,No counterfactual,1,40
0.0,1.0,0.025,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.04,0.96,0.024,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.08,0.92,0.023000000000000003,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.12,0.88,0.022000000000000002,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.16,0.84,0.021,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.2,0.8,0.020000000000000004,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.24,0.76,0.019000000000000003,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.28,0.72,0.018,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.32,0.68,0.017,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.36,0.64,0.016,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.4,0.6,0.015,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.44,0.56,0.014000000000000002,0.84,0.44,1.0,0.51,0.85,No counterfactual,1,40
0.0,1.0,0.025,0.84,0.22,1.0,0.76,0.85,No counterfactual,1,40
0.04,0.96,0.024,0.84,0.22,1.0,0.76,0.85,No counterfactual,1,40
0.08,0.92,0.023000000000000003,0.84,0.22,1.0,0.76,0.85,No counterfactual,1,40
0.12,0.88,0.022000000000000002,0.84,0.22,1.0,0.76,0.85,No counterfactual,1,40
0.16,0.84,0.021,0.84,0.22,1.0,0.76,0.85,No counterfactual,1,40
0.2,0.8,0.020000000000000004,0.84,0.22,1.0,0.76,0.85,No counterfactual,1,40
0.0,1.0,0.025,0.84,0.75,1.0,0.45,0.86,No counterfactual,1,40
0.04,0.96,0.024,0.84,0.75,1.0,0.45,0.86,No counterfactual,1,40
0.08,0.92,0.023000000000000003,0.84,0.75,1.0,0.45,0.86,No counterfactual,1,40
0.12,0.88,0.022000000000000002,0.84,0.75,1.0,0.45,0.86,No counterfactual,1,40
0.16,0.84,0.021,0.84,0.75,1.0,0.45,0.86,No counterfactual,1,40
0.2,0.8,0.020000000000000004,0.84,0.75,1.0,0.45,0.86,No counterfactual,1,40
0.0,1.0,0.025,0.84,0.43,1.0,0.26,0.85,No counterfactual,1,40
0.04,0.96,0.024,0.84,0.43,1.0,0.26,0.85,No counterfactual,1,40
0.08,0.92,0.023000000000000003,0.84,0.43,1.0,0.26,0.85,No counterfactual,1,40
0.12,0.88,0.022000000000000002,0.84,0.43,1.0,0.26,0.85,No counterfactual,1,40
0.16,0.84,0.021,0.84,0.43,1.0,0.26,0.85,No counterfactual,1,40
0.2,0.8,0.020000000000000004,0.84,0.43,1.0,0.26,0.85,No counterfactual,1,40
