sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.56,0.24,0.18,0.72,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.6,0.24,0.18,0.72,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.6,0.32,0.24,0.64,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.64,0.24,0.18,0.72,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.64,0.28,0.21000000000000002,0.68,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.68,0.24,0.18,0.72,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.72,0.08,0.06,0.84,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.72,0.2,0.15000000000000002,0.72,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.76,0.08,0.06,0.84,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.76,0.16,0.12,0.76,0.79,0.62,0.27,0.87,No counterfactual,15,20
0.28,0.32,0.24,0.72,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.28,0.48,0.36,0.6,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.28,0.52,0.39,0.52,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.28,0.52,0.39,0.56,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.32,0.32,0.24,0.72,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.32,0.48,0.36,0.52,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.32,0.48,0.36,0.56,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.32,0.48,0.36,0.6,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.36,0.32,0.24,0.72,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.36,0.44,0.33,0.56,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.36,0.44,0.33,0.6,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.4,0.16,0.12,0.84,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.4,0.32,0.24,0.72,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.4,0.4,0.30000000000000004,0.6,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.4,0.4,0.30000000000000004,0.64,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.44,0.16,0.12,0.84,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.44,0.32,0.24,0.72,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.44,0.36,0.27,0.64,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.44,0.36,0.27,0.68,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.48,0.16,0.12,0.84,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.48,0.32,0.24,0.64,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.48,0.32,0.24,0.68,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.48,0.32,0.24,0.72,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.52,0.16,0.12,0.84,0.55,0.56,0.68,0.88,No counterfactual,15,20
0.52,0.28,0.21000000000000002,0.68,0.55,0.56,0.68,0.88,No counterfactual,15,20
