sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,0.68,0.17548387096774196,0.76,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.0,0.84,0.2167741935483871,0.72,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.0,1.0,0.25806451612903225,0.56,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.0,1.0,0.25806451612903225,0.6,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.0,1.0,0.25806451612903225,0.64,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.04,0.68,0.17548387096774196,0.76,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.04,0.84,0.2167741935483871,0.72,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.04,0.96,0.24774193548387094,0.56,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.04,0.96,0.24774193548387094,0.6,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.04,0.96,0.24774193548387094,0.64,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.04,0.96,0.24774193548387094,0.68,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.08,0.68,0.17548387096774196,0.76,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.08,0.84,0.2167741935483871,0.72,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.08,0.92,0.23741935483870968,0.56,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.08,0.92,0.23741935483870968,0.6,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.08,0.92,0.23741935483870968,0.64,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.08,0.92,0.23741935483870968,0.68,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.12,0.68,0.17548387096774196,0.76,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.12,0.84,0.2167741935483871,0.72,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.12,0.88,0.22709677419354837,0.6,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.12,0.88,0.22709677419354837,0.64,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.12,0.88,0.22709677419354837,0.68,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.16,0.68,0.17548387096774196,0.76,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.16,0.84,0.2167741935483871,0.6,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.16,0.84,0.2167741935483871,0.64,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
0.16,0.84,0.2167741935483871,0.68,0.29,1.0,0.7000000000000001,0.79,No counterfactual,16,62
