sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.12,0.68,0.07212121212121213,0.88,0.38,0.77,0.41,0.92,No counterfactual,7,66
0.16,0.68,0.07212121212121213,0.88,0.38,0.77,0.41,0.92,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.67,0.7000000000000001,0.25,0.92,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.67,0.7000000000000001,0.25,0.92,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.67,0.7000000000000001,0.25,0.92,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.75,0.93,0.14,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.75,0.93,0.14,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.75,0.93,0.14,0.93,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.75,0.93,0.14,0.93,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.75,0.93,0.14,0.93,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.75,0.93,0.14,0.93,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.64,0.63,0.14,0.93,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.64,0.63,0.14,0.93,No counterfactual,7,66
0.04,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.08,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.42,0.97,0.5,0.88,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.6,0.76,0.45,0.89,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.6,0.76,0.45,0.89,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.6,0.76,0.45,0.89,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.6,0.76,0.45,0.89,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.6,0.76,0.45,0.89,No counterfactual,7,66
0.16,0.68,0.07212121212121213,0.88,0.53,0.71,0.47,0.91,No counterfactual,7,66
0.12,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.16,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.2,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.67,0.94,0.4,0.9,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.8,0.93,0.5,0.88,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.8,0.93,0.5,0.88,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.8,0.93,0.5,0.88,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.8,0.93,0.5,0.88,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.8,0.93,0.5,0.88,No counterfactual,7,66
0.16,0.8,0.08484848484848485,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.2,0.76,0.08060606060606061,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.24,0.56,0.0593939393939394,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.24,0.72,0.07636363636363637,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.28,0.56,0.0593939393939394,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.28,0.68,0.07212121212121213,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.32,0.56,0.0593939393939394,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.32,0.64,0.06787878787878789,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.36,0.56,0.0593939393939394,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.36,0.6,0.06363636363636363,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.4,0.56,0.0593939393939394,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.44,0.52,0.05515151515151515,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.44,0.52,0.05515151515151515,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.48,0.48,0.05090909090909091,0.84,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.48,0.48,0.05090909090909091,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.52,0.44,0.04666666666666667,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.56,0.4,0.04242424242424243,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.6,0.36,0.038181818181818185,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.64,0.32,0.03393939393939394,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.68,0.28,0.0296969696969697,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.72,0.24,0.025454545454545455,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.76,0.2,0.021212121212121213,0.88,0.77,0.84,0.45,0.89,No counterfactual,7,66
0.12,0.6,0.06363636363636363,0.88,0.46,0.75,0.21,0.93,No counterfactual,7,66
0.16,0.6,0.06363636363636363,0.88,0.46,0.75,0.21,0.93,No counterfactual,7,66
0.2,0.6,0.06363636363636363,0.88,0.46,0.75,0.21,0.93,No counterfactual,7,66
0.24,0.6,0.06363636363636363,0.88,0.46,0.75,0.21,0.93,No counterfactual,7,66
0.16,0.44,0.04666666666666667,0.92,0.48,0.74,0.59,0.92,No counterfactual,7,66
0.2,0.44,0.04666666666666667,0.92,0.48,0.74,0.59,0.92,No counterfactual,7,66
0.24,0.44,0.04666666666666667,0.92,0.48,0.74,0.59,0.92,No counterfactual,7,66
0.28,0.44,0.04666666666666667,0.92,0.48,0.74,0.59,0.92,No counterfactual,7,66
0.32,0.44,0.04666666666666667,0.92,0.48,0.74,0.59,0.92,No counterfactual,7,66
