sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.48,0.24,0.19199999999999998,0.4,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.52,0.2,0.16,0.44,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.52,0.24,0.19199999999999998,0.4,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.56,0.2,0.16,0.44,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.56,0.24,0.19199999999999998,0.4,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.6,0.2,0.16,0.44,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.6,0.24,0.19199999999999998,0.4,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.64,0.2,0.16,0.44,0.6900000000000001,0.54,0.2,0.5,No counterfactual,4,5
0.36,0.24,0.19199999999999998,0.44,0.5700000000000001,0.42,0.35,0.44,No counterfactual,4,5
0.4,0.24,0.19199999999999998,0.44,0.5700000000000001,0.42,0.35,0.44,No counterfactual,4,5
0.44,0.24,0.19199999999999998,0.44,0.5700000000000001,0.42,0.35,0.44,No counterfactual,4,5
0.48,0.24,0.19199999999999998,0.44,0.5700000000000001,0.42,0.35,0.44,No counterfactual,4,5
0.44,0.2,0.16,0.44,0.64,0.37,0.27,0.46,No counterfactual,4,5
0.48,0.2,0.16,0.44,0.64,0.37,0.27,0.46,No counterfactual,4,5
0.52,0.2,0.16,0.44,0.64,0.37,0.27,0.46,No counterfactual,4,5
0.56,0.2,0.16,0.44,0.64,0.37,0.27,0.46,No counterfactual,4,5
0.36,0.28,0.224,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.36,0.4,0.32,0.32,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.4,0.28,0.224,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.4,0.36,0.288,0.32,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.4,0.36,0.288,0.36,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.44,0.28,0.224,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.44,0.32,0.256,0.32,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.44,0.32,0.256,0.36,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.44,0.32,0.256,0.4,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.48,0.28,0.224,0.32,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.48,0.28,0.224,0.36,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.48,0.28,0.224,0.4,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.48,0.28,0.224,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.52,0.24,0.19199999999999998,0.32,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.52,0.24,0.19199999999999998,0.36,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.52,0.24,0.19199999999999998,0.4,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.52,0.24,0.19199999999999998,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.56,0.2,0.16,0.32,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.56,0.2,0.16,0.36,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.56,0.2,0.16,0.4,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.56,0.2,0.16,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.6,0.16,0.128,0.36,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.6,0.16,0.128,0.4,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.6,0.16,0.128,0.44,0.6,0.4,0.37,0.47,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.16,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.2,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.24,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.28,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.32,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.36,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.4,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.28,0.48,0.38399999999999995,0.44,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.16,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.2,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.24,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.28,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.32,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.36,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.4,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.36,0.4,0.32,0.44,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.2,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.24,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.28,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.32,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.36,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.4,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.36,0.288,0.44,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.2,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.24,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.28,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.32,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.36,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.4,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.44,0.32,0.256,0.44,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.48,0.28,0.224,0.24,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.48,0.28,0.224,0.28,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.48,0.28,0.224,0.32,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.48,0.28,0.224,0.36,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.48,0.28,0.224,0.4,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.48,0.28,0.224,0.44,0.51,0.51,0.6900000000000001,0.45,No counterfactual,4,5
0.4,0.2,0.16,0.44,0.59,0.71,0.29,0.44,No counterfactual,4,5
