sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.2,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.24,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.28,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.32,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.36,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.4,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.44,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.48,0.0,0.0,1.0,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.48,0.28,0.64,0.36,0.48,0.71,0.98,1.0,No counterfactual,16,7
0.12,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.16,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.2,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.24,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.28,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.32,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.36,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.4,0.0,0.0,1.0,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.4,0.28,0.64,0.36,0.4,0.86,0.78,1.0,No counterfactual,16,7
0.16,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.2,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.24,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.28,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.32,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.36,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.4,0.28,0.64,0.36,0.41,0.76,1.0,0.8,No counterfactual,16,7
0.16,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.2,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.24,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.28,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.28,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.32,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.32,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.36,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.36,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.4,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.4,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.44,0.12,0.27428571428571424,0.72,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.44,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.44,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.48,0.12,0.27428571428571424,0.72,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.48,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.48,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.52,0.12,0.27428571428571424,0.72,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.52,0.28,0.64,0.36,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.52,0.4,0.9142857142857143,0.08,0.54,0.9,1.0,0.99,No counterfactual,16,7
0.28,0.28,0.64,0.36,0.54,0.85,0.76,1.0,No counterfactual,16,7
