sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.09090909090909091,0.68,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.0,1.0,0.09090909090909091,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.04,0.96,0.08727272727272727,0.68,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.04,0.96,0.08727272727272727,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.08,0.92,0.08363636363636365,0.68,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.08,0.92,0.08363636363636365,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.12,0.88,0.08,0.68,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.12,0.88,0.08,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.16,0.84,0.07636363636363637,0.68,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.16,0.84,0.07636363636363637,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.2,0.8,0.07272727272727274,0.68,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.2,0.8,0.07272727272727274,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.24,0.76,0.06909090909090909,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.28,0.72,0.06545454545454546,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.32,0.68,0.06181818181818183,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.36,0.64,0.05818181818181818,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.4,0.6,0.05454545454545454,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.44,0.56,0.05090909090909092,0.72,0.47,1.0,0.38,0.75,No counterfactual,1,11
0.0,1.0,0.09090909090909091,0.72,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.0,1.0,0.09090909090909091,0.76,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.0,1.0,0.09090909090909091,0.8,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.04,0.96,0.08727272727272727,0.72,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.04,0.96,0.08727272727272727,0.76,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.04,0.96,0.08727272727272727,0.8,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.08,0.92,0.08363636363636365,0.72,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.08,0.92,0.08363636363636365,0.76,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.08,0.92,0.08363636363636365,0.8,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.12,0.88,0.08,0.72,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.12,0.88,0.08,0.76,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.12,0.88,0.08,0.8,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.16,0.84,0.07636363636363637,0.76,0.8,1.0,0.77,0.8,No counterfactual,1,11
0.16,0.84,0.07636363636363637,0.8,0.8,1.0,0.77,0.8,No counterfactual,1,11
