sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.23529411764705882,0.72,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.04,0.96,0.22588235294117645,0.72,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.04,0.96,0.22588235294117645,0.76,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.08,0.92,0.21647058823529414,0.72,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.08,0.92,0.21647058823529414,0.76,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.12,0.88,0.20705882352941177,0.76,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.16,0.84,0.1976470588235294,0.76,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.2,0.8,0.18823529411764706,0.76,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.2,0.8,0.18823529411764706,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.24,0.76,0.17882352941176471,0.76,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.24,0.76,0.17882352941176471,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.28,0.72,0.16941176470588235,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.32,0.68,0.16,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.36,0.64,0.15058823529411766,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.36,0.64,0.15058823529411766,0.84,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.4,0.6,0.1411764705882353,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.4,0.6,0.1411764705882353,0.84,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.44,0.48,0.11294117647058823,0.88,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.44,0.56,0.13176470588235295,0.8,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.44,0.56,0.13176470588235295,0.84,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.48,0.48,0.11294117647058823,0.88,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.48,0.52,0.1223529411764706,0.84,0.92,1.0,0.92,0.93,No counterfactual,4,17
0.52,0.48,0.11294117647058823,0.84,0.92,1.0,0.92,0.93,No counterfactual,4,17
