sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.32,0.6,1.0,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.36,0.6,1.0,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.4,0.6,1.0,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.44,0.56,0.9333333333333335,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.44,0.56,0.9333333333333335,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.48,0.52,0.8666666666666667,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.48,0.52,0.8666666666666667,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.52,0.48,0.8,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.52,0.48,0.8,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.56,0.44,0.7333333333333334,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.56,0.44,0.7333333333333334,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.6,0.4,0.6666666666666667,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.6,0.4,0.6666666666666667,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.64,0.36,0.6,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.64,0.36,0.6,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.68,0.32,0.5333333333333333,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.68,0.32,0.5333333333333333,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.72,0.28,0.46666666666666673,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.72,0.28,0.46666666666666673,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.76,0.24,0.4,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.76,0.24,0.4,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.8,0.2,0.33333333333333337,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.8,0.2,0.33333333333333337,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.84,0.16,0.26666666666666666,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.84,0.16,0.26666666666666666,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.88,0.12,0.2,0.0,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.88,0.12,0.2,0.04,0.91,1.0,1.0,0.07,No counterfactual,5,3
0.0,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.04,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.08,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.12,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.16,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.2,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.24,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.28,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.32,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
0.36,0.6,1.0,0.0,0.43,1.0,1.0,0.09,No counterfactual,5,3
