sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.28,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.32,0.68,0.04059701492537314,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.36,0.64,0.038208955223880604,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.4,0.6,0.03582089552238806,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.44,0.56,0.033432835820895526,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.48,0.52,0.03104477611940299,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.52,0.48,0.028656716417910448,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.56,0.44,0.026268656716417912,0.84,0.58,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.28,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.32,0.68,0.04059701492537314,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.36,0.64,0.038208955223880604,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.4,0.6,0.03582089552238806,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.44,0.56,0.033432835820895526,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.48,0.52,0.03104477611940299,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.52,0.48,0.028656716417910448,0.84,0.52,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.28,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.32,0.68,0.04059701492537314,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.36,0.64,0.038208955223880604,0.84,0.36,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.28,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.32,0.68,0.04059701492537314,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.36,0.64,0.038208955223880604,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.4,0.6,0.03582089552238806,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.44,0.56,0.033432835820895526,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.48,0.52,0.03104477611940299,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.52,0.48,0.028656716417910448,0.84,0.54,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.16,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.16,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.16,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.16,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.16,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.13,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.13,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.13,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.13,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.28,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.32,0.68,0.04059701492537314,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.36,0.64,0.038208955223880604,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.4,0.6,0.03582089552238806,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.44,0.56,0.033432835820895526,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.48,0.52,0.03104477611940299,0.84,0.49,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.18,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.18,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.18,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.18,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.18,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.28,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.32,0.68,0.04059701492537314,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.36,0.64,0.038208955223880604,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.4,0.6,0.03582089552238806,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.44,0.56,0.033432835820895526,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.48,0.52,0.03104477611940299,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.52,0.48,0.028656716417910448,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.56,0.44,0.026268656716417912,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.6,0.4,0.023880597014925377,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.64,0.36,0.021492537313432838,0.84,0.7000000000000001,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.24,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.16,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.2,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.24,0.68,0.04059701492537314,0.84,0.25,1.0,0.15,0.86,No counterfactual,4,67
0.0,0.68,0.04059701492537314,0.84,0.48,1.0,0.15,0.86,No counterfactual,4,67
0.04,0.68,0.04059701492537314,0.84,0.48,1.0,0.15,0.86,No counterfactual,4,67
0.08,0.68,0.04059701492537314,0.84,0.48,1.0,0.15,0.86,No counterfactual,4,67
0.12,0.68,0.04059701492537314,0.84,0.48,1.0,0.15,0.86,No counterfactual,4,67
