sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.2,0.56,0.1688888888888889,0.72,0.75,0.8,0.42,0.81,No counterfactual,19,63
0.24,0.56,0.1688888888888889,0.72,0.75,0.8,0.42,0.81,No counterfactual,19,63
0.28,0.56,0.1688888888888889,0.72,0.75,0.8,0.42,0.81,No counterfactual,19,63
0.32,0.56,0.1688888888888889,0.72,0.75,0.8,0.42,0.81,No counterfactual,19,63
0.36,0.56,0.1688888888888889,0.72,0.75,0.8,0.42,0.81,No counterfactual,19,63
0.24,0.56,0.1688888888888889,0.72,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.28,0.56,0.1688888888888889,0.72,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.32,0.56,0.1688888888888889,0.72,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.56,0.16,0.04825396825396825,0.84,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.6,0.16,0.04825396825396825,0.84,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.64,0.16,0.04825396825396825,0.84,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.68,0.16,0.04825396825396825,0.84,0.7000000000000001,0.66,0.31,0.84,No counterfactual,19,63
0.12,0.56,0.1688888888888889,0.72,0.44,0.76,0.39,0.8200000000000001,No counterfactual,19,63
0.16,0.56,0.1688888888888889,0.72,0.44,0.76,0.39,0.8200000000000001,No counterfactual,19,63
0.2,0.56,0.1688888888888889,0.72,0.44,0.76,0.39,0.8200000000000001,No counterfactual,19,63
0.24,0.56,0.1688888888888889,0.72,0.44,0.76,0.39,0.8200000000000001,No counterfactual,19,63
0.28,0.56,0.1688888888888889,0.72,0.44,0.76,0.39,0.8200000000000001,No counterfactual,19,63
0.12,0.56,0.1688888888888889,0.72,0.67,0.94,0.48,0.79,No counterfactual,19,63
0.16,0.56,0.1688888888888889,0.72,0.67,0.94,0.48,0.79,No counterfactual,19,63
0.2,0.56,0.1688888888888889,0.72,0.67,0.94,0.48,0.79,No counterfactual,19,63
