sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.44,0.24,0.22,0.48,0.61,0.31,0.27,0.59,No counterfactual,11,12
0.44,0.28,0.2566666666666667,0.44,0.61,0.31,0.27,0.59,No counterfactual,11,12
0.48,0.24,0.22,0.48,0.61,0.31,0.27,0.59,No counterfactual,11,12
0.48,0.24,0.22,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.52,0.2,0.18333333333333335,0.48,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.52,0.24,0.22,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.56,0.16,0.1466666666666667,0.52,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.56,0.2,0.18333333333333335,0.48,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.56,0.24,0.22,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.6,0.16,0.1466666666666667,0.52,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.6,0.2,0.18333333333333335,0.48,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.6,0.24,0.22,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.6,0.28,0.2566666666666667,0.4,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.64,0.16,0.1466666666666667,0.52,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.64,0.2,0.18333333333333335,0.48,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.64,0.24,0.22,0.4,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.64,0.24,0.22,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.68,0.16,0.1466666666666667,0.52,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.68,0.2,0.18333333333333335,0.4,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.68,0.2,0.18333333333333335,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.68,0.2,0.18333333333333335,0.48,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.72,0.16,0.1466666666666667,0.4,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.72,0.16,0.1466666666666667,0.44,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.72,0.16,0.1466666666666667,0.48,0.72,0.59,0.28,0.54,No counterfactual,11,12
0.72,0.16,0.1466666666666667,0.52,0.72,0.59,0.28,0.54,No counterfactual,11,12
