sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,0.96,0.09795918367346937,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.0,1.0,0.1020408163265306,0.76,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.04,0.96,0.09795918367346937,0.76,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.04,0.96,0.09795918367346937,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.08,0.92,0.09387755102040815,0.76,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.08,0.92,0.09387755102040815,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.12,0.88,0.08979591836734693,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.16,0.84,0.0857142857142857,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.2,0.8,0.08163265306122448,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.24,0.76,0.07755102040816325,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.28,0.72,0.07346938775510203,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.32,0.56,0.05714285714285714,0.84,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.32,0.68,0.06938775510204082,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.36,0.56,0.05714285714285714,0.84,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.36,0.64,0.06530612244897958,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.4,0.56,0.05714285714285714,0.84,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.4,0.6,0.06122448979591836,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.44,0.56,0.05714285714285714,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.44,0.56,0.05714285714285714,0.84,0.87,1.0,0.32,0.85,No counterfactual,10,98
0.48,0.52,0.053061224489795916,0.8,0.87,1.0,0.32,0.85,No counterfactual,10,98
