sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.24,0.52,0.14733333333333334,0.6,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.24,0.52,0.14733333333333334,0.64,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.24,0.52,0.14733333333333334,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.6,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.64,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.32,0.44,0.12466666666666666,0.6,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.32,0.44,0.12466666666666666,0.64,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.32,0.44,0.12466666666666666,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.36,0.4,0.11333333333333334,0.64,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.36,0.4,0.11333333333333334,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.4,0.36,0.102,0.64,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.4,0.36,0.102,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.4,0.36,0.102,0.72,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.44,0.32,0.09066666666666666,0.64,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.44,0.32,0.09066666666666666,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.44,0.32,0.09066666666666666,0.72,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.48,0.28,0.07933333333333334,0.68,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.48,0.28,0.07933333333333334,0.72,0.5,0.54,0.4,0.72,No counterfactual,17,60
0.04,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.04,0.76,0.21533333333333332,0.6,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.08,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.08,0.76,0.21533333333333332,0.6,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.12,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.12,0.76,0.21533333333333332,0.6,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.16,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.16,0.76,0.21533333333333332,0.6,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.2,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.24,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.32,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.36,0.48,0.13599999999999998,0.68,0.38,0.91,0.3,0.74,No counterfactual,17,60
0.12,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.16,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.2,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.24,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.32,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.36,0.48,0.13599999999999998,0.68,0.47,0.76,0.41,0.6900000000000001,No counterfactual,17,60
0.2,0.48,0.13599999999999998,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.2,0.56,0.15866666666666668,0.6,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.2,0.56,0.15866666666666668,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.24,0.48,0.13599999999999998,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.24,0.52,0.14733333333333334,0.6,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.24,0.52,0.14733333333333334,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.6,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.32,0.44,0.12466666666666666,0.6,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.32,0.44,0.12466666666666666,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.32,0.44,0.12466666666666666,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.36,0.4,0.11333333333333334,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.36,0.4,0.11333333333333334,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.4,0.36,0.102,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.4,0.36,0.102,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.44,0.32,0.09066666666666666,0.64,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.44,0.32,0.09066666666666666,0.68,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.44,0.32,0.09066666666666666,0.72,0.44,0.58,0.35,0.72,No counterfactual,17,60
0.28,0.48,0.13599999999999998,0.68,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.32,0.48,0.13599999999999998,0.68,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.36,0.48,0.13599999999999998,0.68,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.4,0.48,0.13599999999999998,0.68,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.44,0.48,0.13599999999999998,0.68,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.56,0.2,0.05666666666666667,0.76,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.6,0.2,0.05666666666666667,0.76,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.64,0.2,0.05666666666666667,0.76,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.68,0.2,0.05666666666666667,0.76,0.73,0.75,0.17,0.78,No counterfactual,17,60
0.72,0.2,0.05666666666666667,0.76,0.73,0.75,0.17,0.78,No counterfactual,17,60
