sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.09523809523809525,0.76,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.8,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.76,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.8,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.76,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.8,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.76,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.8,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.16,0.84,0.08,0.76,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.16,0.84,0.08,0.8,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.2,0.8,0.0761904761904762,0.76,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.2,0.8,0.0761904761904762,0.8,0.21,1.0,0.88,0.8300000000000001,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.72,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.76,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.72,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.76,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.72,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.76,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.72,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.76,0.14,1.0,0.96,0.79,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.16,0.84,0.08,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.16,0.84,0.08,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.2,0.8,0.0761904761904762,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.2,0.8,0.0761904761904762,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.24,0.76,0.07238095238095239,0.72,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.24,0.76,0.07238095238095239,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.28,0.72,0.06857142857142857,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.32,0.68,0.06476190476190477,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.36,0.64,0.06095238095238096,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.4,0.6,0.05714285714285715,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.44,0.56,0.053333333333333344,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.48,0.52,0.04952380952380953,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.52,0.48,0.045714285714285714,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.56,0.44,0.04190476190476191,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.6,0.4,0.0380952380952381,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.64,0.36,0.03428571428571429,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.68,0.32,0.03047619047619048,0.76,0.75,1.0,0.73,0.79,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.76,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.0,1.0,0.09523809523809525,0.8,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.76,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.04,0.96,0.09142857142857143,0.8,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.76,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.08,0.92,0.08761904761904762,0.8,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.76,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
0.12,0.88,0.08380952380952382,0.8,0.35,1.0,0.45,0.8300000000000001,No counterfactual,2,21
