sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.0,1.0,0.26666666666666666,0.48,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.0,1.0,0.26666666666666666,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.04,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.04,0.96,0.256,0.48,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.04,0.96,0.256,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.08,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.08,0.92,0.24533333333333335,0.48,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.08,0.92,0.24533333333333335,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.12,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.12,0.88,0.23466666666666666,0.48,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.12,0.88,0.23466666666666666,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.12,0.88,0.23466666666666666,0.56,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.16,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.16,0.84,0.22399999999999998,0.48,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.16,0.84,0.22399999999999998,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.16,0.84,0.22399999999999998,0.56,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.2,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.2,0.8,0.21333333333333335,0.48,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.2,0.8,0.21333333333333335,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.2,0.8,0.21333333333333335,0.56,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.24,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.24,0.76,0.20266666666666666,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.24,0.76,0.20266666666666666,0.56,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.28,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.28,0.72,0.192,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.28,0.72,0.192,0.56,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.28,0.72,0.192,0.6,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.32,0.6,0.16,0.64,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.32,0.68,0.18133333333333335,0.52,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.32,0.68,0.18133333333333335,0.56,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.32,0.68,0.18133333333333335,0.6,0.35,1.0,0.36,0.6900000000000001,No counterfactual,4,15
0.0,0.6,0.16,0.64,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.0,1.0,0.26666666666666666,0.48,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.0,1.0,0.26666666666666666,0.52,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.04,0.6,0.16,0.64,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.04,0.96,0.256,0.48,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.04,0.96,0.256,0.52,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.08,0.6,0.16,0.64,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
0.08,0.92,0.24533333333333335,0.48,0.22,1.0,0.34,0.7000000000000001,No counterfactual,4,15
