sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.52,0.28,0.31500000000000006,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.56,0.24,0.27,0.6,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.56,0.28,0.31500000000000006,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.6,0.24,0.27,0.6,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.6,0.28,0.31500000000000006,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.6,0.36,0.40499999999999997,0.44,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.64,0.24,0.27,0.6,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.64,0.28,0.31500000000000006,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.64,0.32,0.36,0.44,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.64,0.32,0.36,0.48,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.68,0.24,0.27,0.6,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.68,0.28,0.31500000000000006,0.48,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.68,0.28,0.31500000000000006,0.52,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.68,0.28,0.31500000000000006,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.72,0.24,0.27,0.52,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.72,0.24,0.27,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.72,0.24,0.27,0.6,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.76,0.2,0.225,0.56,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.76,0.2,0.225,0.6,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.76,0.2,0.225,0.64,0.77,0.86,0.44,0.78,No counterfactual,9,8
0.48,0.28,0.31500000000000006,0.56,0.75,0.62,0.41,0.79,No counterfactual,9,8
0.52,0.24,0.27,0.6,0.75,0.62,0.41,0.79,No counterfactual,9,8
0.52,0.28,0.31500000000000006,0.56,0.75,0.62,0.41,0.79,No counterfactual,9,8
0.56,0.24,0.27,0.6,0.75,0.62,0.41,0.79,No counterfactual,9,8
0.56,0.28,0.31500000000000006,0.56,0.75,0.62,0.41,0.79,No counterfactual,9,8
0.6,0.24,0.27,0.6,0.75,0.62,0.41,0.79,No counterfactual,9,8
