sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.4,0.32,0.051428571428571435,0.8,0.55,0.4,0.11,0.84,No counterfactual,9,56
0.44,0.28,0.045000000000000005,0.8,0.55,0.4,0.11,0.84,No counterfactual,9,56
0.12,0.6,0.09642857142857143,0.76,0.54,0.79,0.11,0.84,No counterfactual,9,56
0.16,0.6,0.09642857142857143,0.76,0.54,0.79,0.11,0.84,No counterfactual,9,56
0.2,0.6,0.09642857142857143,0.76,0.54,0.79,0.11,0.84,No counterfactual,9,56
0.24,0.6,0.09642857142857143,0.76,0.54,0.79,0.11,0.84,No counterfactual,9,56
0.28,0.6,0.09642857142857143,0.76,0.54,0.79,0.11,0.84,No counterfactual,9,56
0.12,0.6,0.09642857142857143,0.76,0.49,0.76,0.11,0.84,No counterfactual,9,56
0.16,0.6,0.09642857142857143,0.76,0.49,0.76,0.11,0.84,No counterfactual,9,56
0.2,0.6,0.09642857142857143,0.76,0.49,0.76,0.11,0.84,No counterfactual,9,56
0.24,0.6,0.09642857142857143,0.76,0.49,0.76,0.11,0.84,No counterfactual,9,56
0.08,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.12,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.12,0.84,0.135,0.72,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.16,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.16,0.8,0.1285714285714286,0.72,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.2,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.2,0.76,0.12214285714285715,0.72,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.24,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.24,0.72,0.11571428571428571,0.72,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.28,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.32,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
0.36,0.6,0.09642857142857143,0.76,0.53,0.92,0.16,0.8300000000000001,No counterfactual,9,56
