sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.24,0.64,0.128,0.84,0.71,0.71,0.76,0.87,No counterfactual,11,55
0.16,0.52,0.104,0.84,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.16,0.72,0.144,0.8,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.2,0.52,0.104,0.84,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.24,0.52,0.104,0.84,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.28,0.52,0.104,0.84,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.32,0.52,0.104,0.84,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.36,0.52,0.104,0.84,0.62,0.78,0.66,0.84,No counterfactual,11,55
0.4,0.4,0.08,0.84,0.79,0.58,0.35,0.88,No counterfactual,11,55
0.44,0.4,0.08,0.84,0.79,0.58,0.35,0.88,No counterfactual,11,55
0.48,0.4,0.08,0.84,0.79,0.58,0.35,0.88,No counterfactual,11,55
0.6,0.2,0.04,0.88,0.79,0.58,0.35,0.88,No counterfactual,11,55
0.64,0.2,0.04,0.88,0.79,0.58,0.35,0.88,No counterfactual,11,55
0.68,0.2,0.04,0.88,0.79,0.58,0.35,0.88,No counterfactual,11,55
0.12,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.12,0.64,0.128,0.8,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.16,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.16,0.64,0.128,0.8,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.2,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.2,0.64,0.128,0.8,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.24,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.24,0.64,0.128,0.8,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.28,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.32,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.36,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.4,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.44,0.44,0.088,0.84,0.55,0.81,0.5,0.86,No counterfactual,11,55
0.28,0.56,0.112,0.84,0.73,0.67,0.71,0.84,No counterfactual,11,55
0.32,0.56,0.112,0.84,0.73,0.67,0.71,0.84,No counterfactual,11,55
0.2,0.64,0.128,0.8,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.24,0.64,0.128,0.8,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.28,0.44,0.088,0.84,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.32,0.44,0.088,0.84,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.36,0.44,0.088,0.84,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.4,0.44,0.088,0.84,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.44,0.44,0.088,0.84,0.6900000000000001,0.72,0.52,0.85,No counterfactual,11,55
0.16,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.16,0.64,0.128,0.84,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.2,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.2,0.64,0.128,0.84,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.24,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.24,0.64,0.128,0.84,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.28,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.32,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.36,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
0.4,0.44,0.088,0.88,0.6,0.78,0.74,0.88,No counterfactual,11,55
