Unnamed: 0,carnet1,carnet2,term_action,freq_interaction,program_title1,first_term1,lowinc1,highinc1,midinc1,program_title2,first_term2,lowinc2,highinc2,midinc2,month,month_action
821365,201511392.0,201514196.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
821381,201511392.0,201532681.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
821384,201511392.0,201612001.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
821387,201511392.0,201614779.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
821389,201511392.0,201616316.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
821391,201511392.0,201619346.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
884343,201514196.0,201611231.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
884346,201514196.0,201612082.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
884380,201514196.0,201620194.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
884382,201514196.0,201620560.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
940354,201517634.0,201531415.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
940373,201517634.0,201612001.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
940386,201517634.0,201622011.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1015609,201531415.0,201612082.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1015627,201531415.0,201616316.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1015640,201531415.0,201622011.0,201610.0,16.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1032790,201531960.0,201532681.0,201610.0,9.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1032819,201531960.0,201619704.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1032826,201531960.0,201622011.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1053701,201532681.0,201613743.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1084714,201611231.0,201614554.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1084733,201611231.0,201620560.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1090934,201611976.0,201614554.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1090936,201611976.0,201614779.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1090944,201611976.0,201617412.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1090951,201611976.0,201619346.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1091201,201612001.0,201619346.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1091202,201612001.0,201623669.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1092447,201612082.0,201614779.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1092459,201612082.0,201616316.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1092473,201612082.0,201619346.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1092487,201612082.0,201623669.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1093540,201612138.0,201616316.0,201610.0,3.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1093549,201612138.0,201619704.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1093554,201612138.0,201622344.0,201610.0,3.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1093556,201612138.0,201623669.0,201610.0,6.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1102390,201612709.0,201623156.0,201610.0,3.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1117038,201613743.0,201616316.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1117054,201613743.0,201623156.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,1.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1117812,201613802.0,201622344.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1117817,201613802.0,201623669.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1129252,201614554.0,201617412.0,201610.0,3.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1132311,201614779.0,201619346.0,201610.0,9.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1132314,201614779.0,201620560.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1151913,201616316.0,201619704.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1164389,201617412.0,201620194.0,201610.0,3.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1187794,201620194.0,201622011.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1197473,201622344.0,201623669.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1201145,201623156.0,201623669.0,201610.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
3264162,201511392.0,201532681.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.febrero.3.csv,2.0
3264168,201511392.0,201614538.0,201610.0,24.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.febrero.3.csv,2.0
3264171,201511392.0,201616316.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.febrero.3.csv,2.0
3405012,201514196.0,201611231.0,201610.0,9.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.febrero.3.csv,2.0
3405016,201514196.0,201612082.0,201610.0,1.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,1.0,0.0,0.0,edge.list.full.febrero.3.csv,2.0
3405040,201514196.0,201614538.0,201610.0,2.0,17: Government and Policy,201610.0,0.0,0.0,1.0,17: Government and Policy,201610.0,0.0,1.0,0.0,edge.list.full.febrero.3.csv,2.0
