Unnamed: 0,carnet1,carnet2,term_action,freq_interaction,program_title1,first_term1,lowinc1,highinc1,midinc1,program_title2,first_term2,lowinc2,highinc2,midinc2,month,month_action
1094408,201612208.0,201612755.0,201610.0,2.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1094416,201612208.0,201614931.0,201610.0,1.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1103083,201612755.0,201614931.0,201610.0,1.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.enero.3.csv,1.0
1134280,201614931.0,201622943.0,201610.0,5.0,18: History,201610.0,1.0,0.0,0.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
3885289,201612208.0,201612755.0,201610.0,2.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.febrero.3.csv,2.0
3885304,201612208.0,201614931.0,201610.0,4.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.febrero.3.csv,2.0
3885341,201612208.0,201622943.0,201610.0,2.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.febrero.3.csv,2.0
3973937,201614931.0,201622943.0,201610.0,11.0,18: History,201610.0,1.0,0.0,0.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.febrero.3.csv,2.0
6617305,201612208.0,201612755.0,201610.0,8.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.marzo.3.csv,3.0
6617324,201612208.0,201614931.0,201610.0,6.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.marzo.3.csv,3.0
6617364,201612208.0,201622943.0,201610.0,1.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.marzo.3.csv,3.0
6633063,201612755.0,201614931.0,201610.0,3.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.marzo.3.csv,3.0
6689741,201614931.0,201622943.0,201610.0,14.0,18: History,201610.0,1.0,0.0,0.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.marzo.3.csv,3.0
9006236,201612208.0,201612755.0,201610.0,4.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.abril.3.csv,4.0
9006251,201612208.0,201614931.0,201610.0,5.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.abril.3.csv,4.0
9006281,201612208.0,201622943.0,201610.0,1.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.abril.3.csv,4.0
9020096,201612755.0,201614931.0,201610.0,1.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.abril.3.csv,4.0
9020151,201612755.0,201622943.0,201610.0,2.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.abril.3.csv,4.0
9070215,201614931.0,201622943.0,201610.0,29.0,18: History,201610.0,1.0,0.0,0.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.abril.3.csv,4.0
10206332,201612208.0,201612755.0,201610.0,3.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.mayo.3.csv,5.0
10206338,201612208.0,201614931.0,201610.0,4.0,18: History,201610.0,0.0,0.0,1.0,18: History,201610.0,1.0,0.0,0.0,edge.list.full.mayo.3.csv,5.0
10232330,201614931.0,201622943.0,201610.0,1.0,18: History,201610.0,1.0,0.0,0.0,18: History,201610.0,0.0,0.0,1.0,edge.list.full.mayo.3.csv,5.0
