Unnamed: 0,carnet1,carnet2,term_action,freq_interaction,program_title1,first_term1,lowinc1,highinc1,midinc1,program_title2,first_term2,lowinc2,highinc2,midinc2,month,month_action
11268605,201325087.0,201613007.0,201620.0,5.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
11268631,201325087.0,201619437.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
11268635,201325087.0,201620516.0,201620.0,2.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,,,,edge.list.full.agosto.3.csv,8.0
11268670,201325087.0,201632054.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
11268673,201325087.0,201632586.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
11268675,201325087.0,201632826.0,201620.0,2.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
12334358,201521925.0,201530900.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12334360,201521925.0,201532770.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
12334384,201521925.0,201629566.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
12334387,201521925.0,201630474.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12334390,201521925.0,201630991.0,201620.0,3.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12334391,201521925.0,201631245.0,201620.0,2.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12334394,201521925.0,201631695.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12334397,201521925.0,201632337.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
12334398,201521925.0,201632621.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12382987,201530900.0,201613007.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
12383034,201530900.0,201628771.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,,,,edge.list.full.agosto.3.csv,8.0
12383041,201530900.0,201630079.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12383044,201530900.0,201630129.0,201620.0,5.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12383046,201530900.0,201630428.0,201620.0,3.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12383047,201530900.0,201630553.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12383053,201530900.0,201630821.0,201620.0,2.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12383055,201530900.0,201630974.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,edge.list.full.agosto.3.csv,8.0
12383067,201530900.0,201631391.0,201620.0,1.0,28: Chemical eng.,201620.0,0.0,1.0,0.0,28: Chemical eng.,201620.0,0.0,0.0,1.0,edge.list.full.agosto.3.csv,8.0
