Unnamed: 0,carnet1,carnet2,term_action,freq_interaction,program_title1,first_term1,lowinc1,highinc1,midinc1,program_title2,first_term2,lowinc2,highinc2,midinc2,month,month_action
1017535,201531457.0,201713422.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1017540,201531457.0,201713842.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1017554,201531457.0,201719929.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1160694,201617115.0,201630657.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1160695,201617115.0,201713170.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1160696,201617115.0,201713849.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1160698,201617115.0,201717547.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1160699,201617115.0,201719598.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1211563,201629641.0,201711407.0,201710.0,4.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1211566,201629641.0,201711963.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1211574,201629641.0,201713288.0,201710.0,2.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1211575,201629641.0,201713849.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1211586,201629641.0,201717600.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1224635,201630612.0,201630673.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1226175,201630657.0,201630673.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1226182,201630657.0,201633154.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1226198,201630657.0,201713849.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1226212,201630657.0,201717547.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1226213,201630657.0,201717600.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1271710,201633154.0,201713170.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1271715,201633154.0,201715508.0,201710.0,8.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1271724,201633154.0,201717600.0,201710.0,2.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1271728,201633154.0,201719598.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1277376,201711407.0,201711493.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1277378,201711407.0,201711849.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1277379,201711407.0,201712013.0,201710.0,2.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1277397,201711407.0,201715068.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1277400,201711407.0,201715313.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1279170,201711849.0,201711963.0,201710.0,2.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1279191,201711849.0,201715068.0,201710.0,5.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1279197,201711849.0,201715595.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1280167,201711963.0,201715595.0,201710.0,3.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1280828,201712013.0,201714671.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1280831,201712013.0,201715268.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1283933,201712256.0,201713849.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,edge.list.full.enero.3.csv,1.0
1286728,201712589.0,201713169.0,201710.0,2.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1289728,201712975.0,201713842.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1289739,201712975.0,201715709.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
1291487,201713170.0,201715508.0,201710.0,1.0,27: Mechanical eng.,201710.0,0.0,0.0,1.0,27: Mechanical eng.,201710.0,0.0,1.0,0.0,edge.list.full.enero.3.csv,1.0
