p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.29,0.6,0.2,0.61
0.29,0.6,0.2,0.62
0.29,0.6,0.21,0.61
0.29,0.6,0.21,0.62
0.29,0.6,0.21,0.63
0.29,0.6,0.22,0.6
0.29,0.6,0.22,0.61
0.29,0.6,0.22,0.62
0.29,0.6,0.22,0.63
0.29,0.6,0.22,0.64
0.29,0.6,0.23,0.6
0.29,0.6,0.23,0.61
0.29,0.6,0.23,0.62
0.29,0.6,0.23,0.63
0.29,0.6,0.23,0.64
0.29,0.6,0.24,0.59
0.29,0.6,0.24,0.6
0.29,0.6,0.24,0.61
0.29,0.6,0.24,0.62
0.29,0.6,0.24,0.63
0.29,0.6,0.24,0.64
0.29,0.6,0.24,0.65
0.29,0.6,0.25,0.59
0.29,0.6,0.25,0.6
0.29,0.6,0.25,0.61
0.29,0.6,0.25,0.62
0.29,0.6,0.25,0.63
0.29,0.6,0.25,0.64
0.29,0.6,0.25,0.65
0.29,0.6,0.25,0.66
0.29,0.6,0.26,0.58
0.29,0.6,0.26,0.59
0.29,0.6,0.26,0.6
0.29,0.6,0.26,0.61
0.29,0.6,0.26,0.62
0.29,0.6,0.26,0.63
0.29,0.6,0.26,0.64
0.29,0.6,0.26,0.65
0.29,0.6,0.26,0.66
0.29,0.6,0.26,0.67
0.29,0.6,0.27,0.58
0.29,0.6,0.27,0.59
0.29,0.6,0.27,0.6
0.29,0.6,0.27,0.61
0.29,0.6,0.27,0.62
0.29,0.6,0.27,0.63
0.29,0.6,0.27,0.64
0.29,0.6,0.27,0.65
0.29,0.6,0.27,0.66
0.29,0.6,0.27,0.67
0.29,0.6,0.27,0.68
0.29,0.6,0.28,0.5700000000000001
0.29,0.6,0.28,0.58
0.29,0.6,0.28,0.59
0.29,0.6,0.28,0.6
0.29,0.6,0.28,0.61
0.29,0.6,0.28,0.62
0.29,0.6,0.28,0.63
0.29,0.6,0.28,0.64
0.29,0.6,0.28,0.65
0.29,0.6,0.28,0.66
0.29,0.6,0.28,0.67
0.29,0.6,0.28,0.68
0.29,0.6,0.29,0.56
0.29,0.6,0.29,0.5700000000000001
0.29,0.6,0.29,0.58
0.29,0.6,0.29,0.59
0.29,0.6,0.29,0.6
0.29,0.6,0.29,0.61
0.29,0.6,0.29,0.62
0.29,0.6,0.29,0.63
0.29,0.6,0.29,0.64
0.29,0.6,0.29,0.65
0.29,0.6,0.29,0.66
0.29,0.6,0.29,0.67
0.29,0.6,0.29,0.68
0.29,0.6,0.3,0.56
0.29,0.6,0.3,0.5700000000000001
0.29,0.6,0.3,0.58
0.29,0.6,0.3,0.59
0.29,0.6,0.3,0.6
0.29,0.6,0.3,0.61
0.29,0.6,0.3,0.62
0.29,0.6,0.3,0.63
0.29,0.6,0.3,0.64
0.29,0.6,0.3,0.65
0.29,0.6,0.3,0.66
0.29,0.6,0.3,0.67
0.29,0.6,0.3,0.68
0.29,0.6,0.31,0.55
0.29,0.6,0.31,0.56
0.29,0.6,0.31,0.5700000000000001
0.29,0.6,0.31,0.58
0.29,0.6,0.31,0.59
0.29,0.6,0.31,0.6
0.29,0.6,0.31,0.61
0.29,0.6,0.31,0.62
0.29,0.6,0.31,0.63
0.29,0.6,0.31,0.64
0.29,0.6,0.31,0.65
0.29,0.6,0.31,0.66
0.29,0.6,0.31,0.67
0.29,0.6,0.31,0.68
0.29,0.6,0.32,0.55
0.29,0.6,0.32,0.56
0.29,0.6,0.32,0.5700000000000001
0.29,0.6,0.32,0.58
0.29,0.6,0.32,0.59
0.29,0.6,0.32,0.6
0.29,0.6,0.32,0.61
0.29,0.6,0.32,0.62
0.29,0.6,0.32,0.63
0.29,0.6,0.32,0.64
0.29,0.6,0.32,0.65
0.29,0.6,0.32,0.66
0.29,0.6,0.32,0.67
0.29,0.6,0.32,0.68
0.29,0.6,0.33,0.54
0.29,0.6,0.33,0.55
0.29,0.6,0.33,0.56
0.29,0.6,0.33,0.5700000000000001
0.29,0.6,0.33,0.58
0.29,0.6,0.33,0.59
0.29,0.6,0.33,0.6
0.29,0.6,0.33,0.61
0.29,0.6,0.33,0.62
0.29,0.6,0.33,0.63
0.29,0.6,0.33,0.64
0.29,0.6,0.33,0.65
0.29,0.6,0.33,0.66
0.29,0.6,0.33,0.67
0.29,0.6,0.33,0.68
0.29,0.6,0.34,0.53
0.29,0.6,0.34,0.54
0.29,0.6,0.34,0.55
0.29,0.6,0.34,0.56
0.29,0.6,0.34,0.5700000000000001
0.29,0.6,0.34,0.58
0.29,0.6,0.34,0.59
0.29,0.6,0.34,0.6
0.29,0.6,0.34,0.61
0.29,0.6,0.34,0.62
0.29,0.6,0.34,0.63
0.29,0.6,0.34,0.64
0.29,0.6,0.34,0.65
0.29,0.6,0.34,0.66
0.29,0.6,0.34,0.67
0.29,0.6,0.34,0.68
0.29,0.6,0.35000000000000003,0.52
0.29,0.6,0.35000000000000003,0.53
0.29,0.6,0.35000000000000003,0.54
0.29,0.6,0.35000000000000003,0.55
0.29,0.6,0.35000000000000003,0.56
0.29,0.6,0.35000000000000003,0.5700000000000001
0.29,0.6,0.35000000000000003,0.58
0.29,0.6,0.35000000000000003,0.59
0.29,0.6,0.35000000000000003,0.6
0.29,0.6,0.35000000000000003,0.61
0.29,0.6,0.35000000000000003,0.62
0.29,0.6,0.35000000000000003,0.63
0.29,0.6,0.35000000000000003,0.64
0.29,0.6,0.35000000000000003,0.65
0.29,0.6,0.35000000000000003,0.66
0.29,0.6,0.35000000000000003,0.67
0.29,0.6,0.35000000000000003,0.68
0.29,0.6,0.36,0.52
0.29,0.6,0.36,0.53
