p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.17,0.9
0.01,1.0,0.18,0.9
0.01,1.0,0.25,0.89
0.01,1.0,0.31,0.88
0.01,1.0,0.36,0.87
0.01,1.0,0.37,0.87
0.01,1.0,0.41000000000000003,0.86
0.01,1.0,0.45,0.85
0.01,1.0,0.48,0.84
0.02,1.0,0.17,0.9
0.02,1.0,0.18,0.9
0.02,1.0,0.25,0.89
0.02,1.0,0.31,0.88
0.02,1.0,0.36,0.87
0.02,1.0,0.37,0.87
0.02,1.0,0.41000000000000003,0.86
0.02,1.0,0.45,0.85
0.02,1.0,0.48,0.84
0.03,1.0,0.17,0.9
0.03,1.0,0.18,0.9
0.03,1.0,0.25,0.89
0.03,1.0,0.31,0.88
0.03,1.0,0.36,0.87
0.03,1.0,0.37,0.87
0.03,1.0,0.41000000000000003,0.86
0.03,1.0,0.45,0.85
0.03,1.0,0.48,0.84
0.04,1.0,0.17,0.9
0.04,1.0,0.18,0.9
0.04,1.0,0.25,0.89
0.04,1.0,0.31,0.88
0.04,1.0,0.36,0.87
0.04,1.0,0.37,0.87
0.04,1.0,0.41000000000000003,0.86
0.04,1.0,0.45,0.85
0.04,1.0,0.48,0.84
0.05,1.0,0.17,0.9
0.05,1.0,0.18,0.9
0.05,1.0,0.25,0.89
0.05,1.0,0.31,0.88
0.05,1.0,0.36,0.87
0.05,1.0,0.37,0.87
0.05,1.0,0.41000000000000003,0.86
0.05,1.0,0.45,0.85
0.05,1.0,0.48,0.84
0.06,1.0,0.17,0.9
0.06,1.0,0.18,0.9
0.06,1.0,0.25,0.89
0.06,1.0,0.31,0.88
0.06,1.0,0.36,0.87
0.06,1.0,0.37,0.87
0.06,1.0,0.41000000000000003,0.86
0.06,1.0,0.45,0.85
0.06,1.0,0.48,0.84
0.07,1.0,0.17,0.9
0.07,1.0,0.18,0.9
0.07,1.0,0.25,0.89
0.07,1.0,0.31,0.88
0.07,1.0,0.36,0.87
0.07,1.0,0.37,0.87
0.07,1.0,0.41000000000000003,0.86
0.07,1.0,0.45,0.85
0.07,1.0,0.48,0.84
0.08,1.0,0.17,0.9
0.08,1.0,0.18,0.9
0.08,1.0,0.25,0.89
0.08,1.0,0.31,0.88
0.08,1.0,0.36,0.87
0.08,1.0,0.37,0.87
0.08,1.0,0.41000000000000003,0.86
0.08,1.0,0.45,0.85
0.08,1.0,0.48,0.84
0.09,1.0,0.17,0.9
0.09,1.0,0.18,0.9
0.09,1.0,0.25,0.89
0.09,1.0,0.31,0.88
0.09,1.0,0.36,0.87
0.09,1.0,0.37,0.87
0.09,1.0,0.41000000000000003,0.86
0.09,1.0,0.45,0.85
0.09,1.0,0.48,0.84
0.1,1.0,0.17,0.9
0.1,1.0,0.18,0.9
0.1,1.0,0.25,0.89
0.1,1.0,0.31,0.88
0.1,1.0,0.36,0.87
0.1,1.0,0.37,0.87
0.1,1.0,0.41000000000000003,0.86
0.1,1.0,0.45,0.85
0.1,1.0,0.48,0.84
0.11,1.0,0.17,0.9
0.11,1.0,0.18,0.9
0.11,1.0,0.25,0.89
0.11,1.0,0.31,0.88
0.11,1.0,0.36,0.87
0.11,1.0,0.37,0.87
0.11,1.0,0.41000000000000003,0.86
0.11,1.0,0.45,0.85
0.11,1.0,0.48,0.84
0.12,1.0,0.17,0.9
0.12,1.0,0.18,0.9
0.12,1.0,0.25,0.89
0.12,1.0,0.31,0.88
0.12,1.0,0.36,0.87
0.12,1.0,0.37,0.87
0.12,1.0,0.41000000000000003,0.86
0.12,1.0,0.45,0.85
0.12,1.0,0.48,0.84
0.13,1.0,0.17,0.9
0.13,1.0,0.18,0.9
0.13,1.0,0.25,0.89
0.13,1.0,0.31,0.88
0.13,1.0,0.36,0.87
0.13,1.0,0.37,0.87
