p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.07,0.84
0.02,1.0,0.07,0.84
0.03,1.0,0.07,0.84
0.04,1.0,0.07,0.84
0.05,1.0,0.07,0.84
0.06,1.0,0.07,0.84
0.07,1.0,0.07,0.84
0.08,1.0,0.07,0.84
0.09,1.0,0.07,0.84
0.1,1.0,0.07,0.84
0.11,1.0,0.07,0.84
0.12,1.0,0.07,0.84
0.13,1.0,0.07,0.84
0.14,1.0,0.07,0.84
0.15,1.0,0.07,0.84
0.16,1.0,0.07,0.84
0.17,1.0,0.07,0.84
0.18,1.0,0.07,0.84
0.19,1.0,0.07,0.84
0.2,1.0,0.07,0.84
0.21,1.0,0.07,0.84
0.22,1.0,0.07,0.84
0.23,1.0,0.07,0.84
0.24,1.0,0.07,0.84
0.25,1.0,0.07,0.84
0.26,1.0,0.07,0.84
0.27,1.0,0.07,0.84
0.28,1.0,0.07,0.84
0.29,1.0,0.07,0.84
0.3,1.0,0.07,0.84
0.31,1.0,0.07,0.84
0.32,1.0,0.07,0.84
0.33,1.0,0.07,0.84
0.34,1.0,0.07,0.84
0.35000000000000003,1.0,0.07,0.84
0.36,1.0,0.07,0.84
0.37,1.0,0.07,0.84
0.38,1.0,0.07,0.84
0.39,1.0,0.07,0.84
0.4,1.0,0.07,0.84
0.41000000000000003,1.0,0.07,0.84
0.42,1.0,0.07,0.84
0.43,1.0,0.07,0.84
0.44,1.0,0.07,0.84
0.45,1.0,0.07,0.84
0.46,1.0,0.07,0.84
0.47000000000000003,1.0,0.07,0.84
0.48,1.0,0.07,0.84
0.49,1.0,0.07,0.84
0.5,1.0,0.07,0.84
0.51,1.0,0.07,0.84
0.52,1.0,0.07,0.84
0.53,1.0,0.07,0.84
0.54,1.0,0.07,0.84
0.55,1.0,0.07,0.84
0.56,1.0,0.07,0.84
0.5700000000000001,1.0,0.07,0.84
0.58,1.0,0.07,0.84
0.59,1.0,0.07,0.84
0.6,1.0,0.07,0.84
0.61,1.0,0.07,0.84
0.62,1.0,0.07,0.84
0.63,1.0,0.07,0.84
0.64,1.0,0.07,0.84
0.65,1.0,0.07,0.84
0.66,1.0,0.07,0.84
