p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.18,0.74
0.01,1.0,0.21,0.73
0.02,1.0,0.18,0.74
0.02,1.0,0.21,0.73
0.03,1.0,0.18,0.74
0.03,1.0,0.21,0.73
0.04,1.0,0.18,0.74
0.04,1.0,0.21,0.73
0.05,1.0,0.18,0.74
0.05,1.0,0.21,0.73
0.06,1.0,0.18,0.74
0.06,1.0,0.21,0.73
0.07,1.0,0.18,0.74
0.07,1.0,0.21,0.73
0.08,1.0,0.18,0.74
0.08,1.0,0.21,0.73
0.09,1.0,0.18,0.74
0.09,1.0,0.21,0.73
0.1,1.0,0.18,0.74
0.1,1.0,0.21,0.73
0.11,1.0,0.18,0.74
0.11,1.0,0.21,0.73
0.12,1.0,0.18,0.74
0.12,1.0,0.21,0.73
0.13,1.0,0.18,0.74
0.13,1.0,0.21,0.73
0.14,1.0,0.18,0.74
0.14,1.0,0.21,0.73
0.15,1.0,0.18,0.74
0.15,1.0,0.21,0.73
0.16,1.0,0.18,0.74
0.16,1.0,0.21,0.73
0.17,1.0,0.18,0.74
0.17,1.0,0.21,0.73
0.18,1.0,0.18,0.74
0.18,1.0,0.21,0.73
0.19,1.0,0.18,0.74
0.19,1.0,0.21,0.73
0.2,1.0,0.18,0.74
0.2,1.0,0.21,0.73
0.21,1.0,0.18,0.74
0.21,1.0,0.21,0.73
0.22,1.0,0.18,0.74
0.22,1.0,0.21,0.73
0.23,1.0,0.18,0.74
0.23,1.0,0.21,0.73
0.24,1.0,0.11,0.76
0.24,1.0,0.18,0.74
0.24,1.0,0.21,0.73
0.25,1.0,0.11,0.76
0.25,1.0,0.18,0.74
0.25,1.0,0.21,0.73
0.26,1.0,0.11,0.76
0.26,1.0,0.18,0.74
0.26,1.0,0.21,0.73
0.27,1.0,0.11,0.76
0.27,1.0,0.18,0.74
0.27,1.0,0.21,0.73
0.28,1.0,0.11,0.76
0.28,1.0,0.18,0.74
0.28,1.0,0.21,0.73
0.29,1.0,0.11,0.76
0.29,1.0,0.18,0.74
0.29,1.0,0.21,0.73
0.3,1.0,0.11,0.76
0.3,1.0,0.18,0.74
0.3,1.0,0.21,0.73
0.31,1.0,0.11,0.76
0.31,1.0,0.18,0.74
0.31,1.0,0.21,0.73
0.32,1.0,0.11,0.76
0.32,1.0,0.18,0.74
0.32,1.0,0.21,0.73
0.33,1.0,0.11,0.76
0.33,1.0,0.18,0.74
0.33,1.0,0.21,0.73
0.34,1.0,0.11,0.76
0.34,1.0,0.18,0.74
0.34,1.0,0.21,0.73
0.35000000000000003,1.0,0.11,0.76
0.35000000000000003,1.0,0.18,0.74
0.35000000000000003,1.0,0.21,0.73
0.36,1.0,0.11,0.76
0.36,1.0,0.18,0.74
0.36,1.0,0.21,0.73
0.37,1.0,0.11,0.76
0.37,1.0,0.18,0.74
0.37,1.0,0.21,0.73
0.38,1.0,0.11,0.76
0.38,1.0,0.18,0.74
0.38,1.0,0.21,0.73
0.39,1.0,0.11,0.76
0.39,1.0,0.18,0.74
0.39,1.0,0.21,0.73
0.4,1.0,0.11,0.76
0.4,1.0,0.18,0.74
0.4,1.0,0.21,0.73
0.41000000000000003,1.0,0.11,0.76
0.41000000000000003,1.0,0.18,0.74
0.41000000000000003,1.0,0.21,0.73
0.42,1.0,0.11,0.76
0.42,1.0,0.18,0.74
0.42,1.0,0.21,0.73
0.43,1.0,0.11,0.76
0.43,1.0,0.18,0.74
0.43,1.0,0.21,0.73
0.44,1.0,0.11,0.76
0.44,1.0,0.18,0.74
0.44,1.0,0.21,0.73
0.45,1.0,0.11,0.76
0.45,1.0,0.18,0.74
0.45,1.0,0.21,0.73
0.46,1.0,0.11,0.76
0.46,1.0,0.18,0.74
0.46,1.0,0.21,0.73
0.47000000000000003,1.0,0.11,0.76
0.47000000000000003,1.0,0.18,0.74
0.47000000000000003,1.0,0.21,0.73
0.48,1.0,0.11,0.76
0.48,1.0,0.18,0.74
0.48,1.0,0.21,0.73
0.49,1.0,0.11,0.76
0.49,1.0,0.18,0.74
0.49,1.0,0.21,0.73
0.5,1.0,0.11,0.76
0.5,1.0,0.18,0.74
0.5,1.0,0.21,0.73
