p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.54,0.5700000000000001,0.09,0.8
0.54,0.5700000000000001,0.1,0.8
0.54,0.5700000000000001,0.1,0.81
0.54,0.5700000000000001,0.11,0.8
0.54,0.5700000000000001,0.11,0.81
0.54,0.5700000000000001,0.12,0.8
0.54,0.5700000000000001,0.12,0.81
0.54,0.5700000000000001,0.13,0.79
0.54,0.5700000000000001,0.13,0.8
0.54,0.5700000000000001,0.13,0.81
0.54,0.5700000000000001,0.14,0.79
0.54,0.5700000000000001,0.14,0.8
0.54,0.5700000000000001,0.14,0.81
0.54,0.5700000000000001,0.15,0.79
0.54,0.5700000000000001,0.15,0.8
0.54,0.5700000000000001,0.15,0.81
0.54,0.5700000000000001,0.16,0.79
0.54,0.5700000000000001,0.16,0.8
0.54,0.5700000000000001,0.16,0.81
0.54,0.5700000000000001,0.17,0.78
0.54,0.5700000000000001,0.17,0.79
0.54,0.5700000000000001,0.17,0.8
0.54,0.5700000000000001,0.17,0.81
0.54,0.5700000000000001,0.18,0.78
0.54,0.5700000000000001,0.18,0.79
0.54,0.5700000000000001,0.18,0.8
0.54,0.5700000000000001,0.18,0.81
0.54,0.5700000000000001,0.19,0.78
0.54,0.5700000000000001,0.19,0.79
0.54,0.5700000000000001,0.19,0.8
0.54,0.5700000000000001,0.19,0.81
0.54,0.5700000000000001,0.2,0.78
0.54,0.5700000000000001,0.2,0.79
0.54,0.5700000000000001,0.2,0.8
0.54,0.5700000000000001,0.2,0.81
0.54,0.5700000000000001,0.21,0.77
0.54,0.5700000000000001,0.21,0.78
0.54,0.5700000000000001,0.21,0.79
0.54,0.5700000000000001,0.21,0.8
0.54,0.5700000000000001,0.21,0.81
0.54,0.5700000000000001,0.22,0.77
0.54,0.5700000000000001,0.22,0.78
0.54,0.5700000000000001,0.22,0.79
0.54,0.5700000000000001,0.22,0.8
0.54,0.5700000000000001,0.22,0.81
0.54,0.5700000000000001,0.23,0.77
0.54,0.5700000000000001,0.23,0.78
0.54,0.5700000000000001,0.23,0.79
0.54,0.5700000000000001,0.23,0.8
0.54,0.5700000000000001,0.23,0.81
0.54,0.5700000000000001,0.24,0.76
0.54,0.5700000000000001,0.24,0.77
0.54,0.5700000000000001,0.24,0.78
0.54,0.5700000000000001,0.24,0.79
0.54,0.5700000000000001,0.24,0.8
0.54,0.5700000000000001,0.24,0.81
0.54,0.5700000000000001,0.25,0.76
0.54,0.5700000000000001,0.25,0.77
0.54,0.5700000000000001,0.25,0.78
0.54,0.5700000000000001,0.25,0.79
0.54,0.5700000000000001,0.25,0.8
0.54,0.5700000000000001,0.25,0.81
0.54,0.5700000000000001,0.26,0.76
0.54,0.5700000000000001,0.26,0.77
0.54,0.5700000000000001,0.26,0.78
0.54,0.5700000000000001,0.26,0.79
0.54,0.5700000000000001,0.26,0.8
0.54,0.5700000000000001,0.26,0.81
0.54,0.5700000000000001,0.27,0.75
0.54,0.5700000000000001,0.27,0.76
0.54,0.5700000000000001,0.27,0.77
0.54,0.5700000000000001,0.27,0.78
0.54,0.5700000000000001,0.27,0.79
0.54,0.5700000000000001,0.27,0.8
0.54,0.5700000000000001,0.27,0.81
0.54,0.5700000000000001,0.28,0.75
0.54,0.5700000000000001,0.28,0.76
0.54,0.5700000000000001,0.28,0.77
0.54,0.5700000000000001,0.28,0.78
0.54,0.5700000000000001,0.28,0.79
0.54,0.5700000000000001,0.28,0.8
0.54,0.5700000000000001,0.28,0.81
0.54,0.5700000000000001,0.29,0.75
0.54,0.5700000000000001,0.29,0.76
0.54,0.5700000000000001,0.29,0.77
0.54,0.5700000000000001,0.29,0.78
0.54,0.5700000000000001,0.29,0.79
0.54,0.5700000000000001,0.29,0.8
0.54,0.5700000000000001,0.29,0.81
0.54,0.5700000000000001,0.3,0.74
0.54,0.5700000000000001,0.3,0.75
0.54,0.5700000000000001,0.3,0.76
0.54,0.5700000000000001,0.3,0.77
0.54,0.5700000000000001,0.3,0.78
0.54,0.5700000000000001,0.3,0.79
0.54,0.5700000000000001,0.3,0.8
0.54,0.5700000000000001,0.3,0.81
0.54,0.5700000000000001,0.31,0.74
0.54,0.5700000000000001,0.31,0.75
0.54,0.5700000000000001,0.31,0.76
0.54,0.5700000000000001,0.31,0.77
0.54,0.5700000000000001,0.31,0.78
0.54,0.5700000000000001,0.31,0.79
0.54,0.5700000000000001,0.31,0.8
0.54,0.5700000000000001,0.31,0.81
0.54,0.5700000000000001,0.32,0.74
0.54,0.5700000000000001,0.32,0.75
0.54,0.5700000000000001,0.32,0.76
0.54,0.5700000000000001,0.32,0.77
0.54,0.5700000000000001,0.32,0.78
0.54,0.5700000000000001,0.32,0.79
0.54,0.5700000000000001,0.32,0.8
0.54,0.5700000000000001,0.32,0.81
0.54,0.5700000000000001,0.33,0.74
0.54,0.5700000000000001,0.33,0.75
0.54,0.5700000000000001,0.33,0.76
0.54,0.5700000000000001,0.33,0.77
0.54,0.5700000000000001,0.33,0.78
0.54,0.5700000000000001,0.33,0.79
0.54,0.5700000000000001,0.33,0.8
0.54,0.5700000000000001,0.33,0.81
0.54,0.5700000000000001,0.34,0.74
0.54,0.5700000000000001,0.34,0.75
0.54,0.5700000000000001,0.34,0.76
0.54,0.5700000000000001,0.34,0.77
0.54,0.5700000000000001,0.34,0.78
0.54,0.5700000000000001,0.34,0.79
0.54,0.5700000000000001,0.34,0.8
0.54,0.5700000000000001,0.34,0.81
0.54,0.5700000000000001,0.35000000000000003,0.74
0.54,0.5700000000000001,0.35000000000000003,0.75
0.54,0.5700000000000001,0.35000000000000003,0.76
0.54,0.5700000000000001,0.35000000000000003,0.77
0.54,0.5700000000000001,0.35000000000000003,0.78
0.54,0.5700000000000001,0.35000000000000003,0.79
0.54,0.5700000000000001,0.35000000000000003,0.8
0.54,0.5700000000000001,0.35000000000000003,0.81
0.54,0.5700000000000001,0.36,0.74
0.54,0.5700000000000001,0.36,0.75
0.54,0.5700000000000001,0.36,0.76
0.54,0.5700000000000001,0.36,0.77
0.54,0.5700000000000001,0.36,0.78
0.54,0.5700000000000001,0.36,0.79
0.54,0.5700000000000001,0.36,0.8
0.54,0.5700000000000001,0.36,0.81
0.54,0.5700000000000001,0.37,0.74
0.54,0.5700000000000001,0.37,0.75
0.54,0.5700000000000001,0.37,0.76
0.54,0.5700000000000001,0.37,0.77
0.54,0.5700000000000001,0.37,0.78
0.54,0.5700000000000001,0.37,0.79
0.54,0.5700000000000001,0.37,0.8
0.54,0.5700000000000001,0.37,0.81
0.54,0.5700000000000001,0.38,0.74
0.54,0.5700000000000001,0.38,0.75
0.54,0.5700000000000001,0.38,0.76
0.54,0.5700000000000001,0.38,0.77
0.54,0.5700000000000001,0.38,0.78
0.54,0.5700000000000001,0.38,0.79
0.54,0.5700000000000001,0.38,0.8
0.54,0.5700000000000001,0.38,0.81
0.54,0.5700000000000001,0.39,0.74
0.54,0.5700000000000001,0.39,0.75
0.54,0.5700000000000001,0.39,0.76
0.54,0.5700000000000001,0.39,0.77
0.54,0.5700000000000001,0.39,0.78
0.54,0.5700000000000001,0.39,0.79
0.54,0.5700000000000001,0.39,0.8
0.54,0.5700000000000001,0.39,0.81
0.54,0.5700000000000001,0.4,0.74
0.54,0.5700000000000001,0.4,0.75
0.54,0.5700000000000001,0.4,0.76
0.54,0.5700000000000001,0.4,0.77
0.54,0.5700000000000001,0.4,0.78
0.54,0.5700000000000001,0.4,0.79
0.54,0.5700000000000001,0.4,0.8
0.54,0.5700000000000001,0.4,0.81
0.54,0.5700000000000001,0.41000000000000003,0.74
0.54,0.5700000000000001,0.41000000000000003,0.75
0.54,0.5700000000000001,0.41000000000000003,0.76
0.54,0.5700000000000001,0.41000000000000003,0.77
0.54,0.5700000000000001,0.41000000000000003,0.78
0.54,0.5700000000000001,0.41000000000000003,0.79
0.54,0.5700000000000001,0.41000000000000003,0.8
0.54,0.5700000000000001,0.41000000000000003,0.81
0.54,0.5700000000000001,0.42,0.74
0.54,0.5700000000000001,0.42,0.75
0.54,0.5700000000000001,0.42,0.76
0.54,0.5700000000000001,0.42,0.77
0.54,0.5700000000000001,0.42,0.78
0.54,0.5700000000000001,0.42,0.79
0.54,0.5700000000000001,0.42,0.8
0.54,0.5700000000000001,0.42,0.81
0.54,0.5700000000000001,0.43,0.74
0.54,0.5700000000000001,0.43,0.75
0.54,0.5700000000000001,0.43,0.76
0.54,0.5700000000000001,0.43,0.77
0.54,0.5700000000000001,0.43,0.78
0.54,0.5700000000000001,0.43,0.79
0.54,0.5700000000000001,0.43,0.8
0.54,0.5700000000000001,0.43,0.81
0.54,0.5700000000000001,0.44,0.74
0.54,0.5700000000000001,0.44,0.75
0.54,0.5700000000000001,0.44,0.76
0.54,0.5700000000000001,0.44,0.77
0.54,0.5700000000000001,0.44,0.78
0.54,0.5700000000000001,0.44,0.79
0.54,0.5700000000000001,0.44,0.8
0.54,0.5700000000000001,0.44,0.81
0.54,0.5700000000000001,0.45,0.74
0.54,0.5700000000000001,0.45,0.75
0.54,0.5700000000000001,0.45,0.76
0.54,0.5700000000000001,0.45,0.77
0.54,0.5700000000000001,0.45,0.78
0.54,0.5700000000000001,0.45,0.79
0.54,0.5700000000000001,0.45,0.8
0.54,0.5700000000000001,0.45,0.81
0.54,0.5700000000000001,0.46,0.74
0.54,0.5700000000000001,0.46,0.75
0.54,0.5700000000000001,0.46,0.76
0.54,0.5700000000000001,0.46,0.77
0.54,0.5700000000000001,0.46,0.78
0.54,0.5700000000000001,0.46,0.79
