p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.29,0.91
0.01,1.0,0.3,0.91
0.01,1.0,0.31,0.91
0.01,1.0,0.36,0.9
0.01,1.0,0.37,0.9
0.01,1.0,0.38,0.9
0.01,1.0,0.42,0.89
0.01,1.0,0.43,0.89
0.01,1.0,0.47000000000000003,0.88
0.01,1.0,0.48,0.88
0.01,1.0,0.51,0.87
0.01,1.0,0.52,0.87
0.01,1.0,0.54,0.86
0.01,1.0,0.55,0.86
0.01,1.0,0.5700000000000001,0.85
0.01,1.0,0.58,0.85
0.01,1.0,0.6,0.84
0.01,1.0,0.61,0.84
0.01,1.0,0.62,0.8300000000000001
0.01,1.0,0.63,0.8300000000000001
0.01,1.0,0.65,0.8200000000000001
0.01,1.0,0.66,0.81
0.01,1.0,0.67,0.81
0.01,1.0,0.68,0.8
0.01,1.0,0.6900000000000001,0.8
0.01,1.0,0.7000000000000001,0.79
0.01,1.0,0.71,0.78
0.02,1.0,0.29,0.91
0.02,1.0,0.3,0.91
0.02,1.0,0.31,0.91
0.02,1.0,0.36,0.9
0.02,1.0,0.37,0.9
0.02,1.0,0.38,0.9
0.02,1.0,0.42,0.89
0.02,1.0,0.43,0.89
0.02,1.0,0.47000000000000003,0.88
0.02,1.0,0.48,0.88
0.02,1.0,0.51,0.87
0.02,1.0,0.52,0.87
0.02,1.0,0.54,0.86
0.02,1.0,0.55,0.86
0.02,1.0,0.5700000000000001,0.85
0.02,1.0,0.58,0.85
0.02,1.0,0.6,0.84
0.02,1.0,0.61,0.84
0.02,1.0,0.62,0.8300000000000001
0.02,1.0,0.63,0.8300000000000001
0.02,1.0,0.65,0.8200000000000001
0.02,1.0,0.66,0.81
0.02,1.0,0.67,0.81
0.02,1.0,0.68,0.8
0.02,1.0,0.6900000000000001,0.8
0.02,1.0,0.7000000000000001,0.79
0.02,1.0,0.71,0.78
0.03,1.0,0.29,0.91
0.03,1.0,0.3,0.91
0.03,1.0,0.31,0.91
0.03,1.0,0.36,0.9
0.03,1.0,0.37,0.9
0.03,1.0,0.38,0.9
0.03,1.0,0.42,0.89
0.03,1.0,0.43,0.89
0.03,1.0,0.47000000000000003,0.88
0.03,1.0,0.48,0.88
0.03,1.0,0.51,0.87
0.03,1.0,0.52,0.87
0.03,1.0,0.54,0.86
0.03,1.0,0.55,0.86
0.03,1.0,0.5700000000000001,0.85
0.03,1.0,0.58,0.85
0.03,1.0,0.6,0.84
0.03,1.0,0.61,0.84
0.03,1.0,0.62,0.8300000000000001
0.03,1.0,0.63,0.8300000000000001
0.03,1.0,0.65,0.8200000000000001
0.03,1.0,0.66,0.81
0.03,1.0,0.67,0.81
0.03,1.0,0.68,0.8
0.03,1.0,0.6900000000000001,0.8
0.03,1.0,0.7000000000000001,0.79
0.03,1.0,0.71,0.78
0.04,1.0,0.29,0.91
0.04,1.0,0.3,0.91
0.04,1.0,0.31,0.91
0.04,1.0,0.36,0.9
0.04,1.0,0.37,0.9
0.04,1.0,0.38,0.9
0.04,1.0,0.42,0.89
0.04,1.0,0.43,0.89
0.04,1.0,0.47000000000000003,0.88
0.04,1.0,0.48,0.88
0.04,1.0,0.51,0.87
0.04,1.0,0.52,0.87
0.04,1.0,0.54,0.86
0.04,1.0,0.55,0.86
0.04,1.0,0.5700000000000001,0.85
0.04,1.0,0.58,0.85
0.04,1.0,0.6,0.84
0.04,1.0,0.61,0.84
0.04,1.0,0.62,0.8300000000000001
0.04,1.0,0.63,0.8300000000000001
0.04,1.0,0.65,0.8200000000000001
0.04,1.0,0.66,0.81
0.04,1.0,0.67,0.81
0.04,1.0,0.68,0.8
0.04,1.0,0.6900000000000001,0.8
0.04,1.0,0.7000000000000001,0.79
0.04,1.0,0.71,0.78
0.05,1.0,0.29,0.91
0.05,1.0,0.3,0.91
0.05,1.0,0.31,0.91
0.05,1.0,0.36,0.9
0.05,1.0,0.37,0.9
0.05,1.0,0.38,0.9
0.05,1.0,0.42,0.89
0.05,1.0,0.43,0.89
0.05,1.0,0.47000000000000003,0.88
0.05,1.0,0.48,0.88
0.05,1.0,0.51,0.87
0.05,1.0,0.52,0.87
0.05,1.0,0.54,0.86
0.05,1.0,0.55,0.86
0.05,1.0,0.5700000000000001,0.85
0.05,1.0,0.58,0.85
0.05,1.0,0.6,0.84
0.05,1.0,0.61,0.84
0.05,1.0,0.62,0.8300000000000001
0.05,1.0,0.63,0.8300000000000001
0.05,1.0,0.65,0.8200000000000001
0.05,1.0,0.66,0.81
0.05,1.0,0.67,0.81
0.05,1.0,0.68,0.8
0.05,1.0,0.6900000000000001,0.8
0.05,1.0,0.7000000000000001,0.79
0.05,1.0,0.71,0.78
0.06,1.0,0.29,0.91
0.06,1.0,0.3,0.91
0.06,1.0,0.31,0.91
0.06,1.0,0.36,0.9
0.06,1.0,0.37,0.9
0.06,1.0,0.38,0.9
0.06,1.0,0.42,0.89
0.06,1.0,0.43,0.89
0.06,1.0,0.47000000000000003,0.88
0.06,1.0,0.48,0.88
0.06,1.0,0.51,0.87
0.06,1.0,0.52,0.87
0.06,1.0,0.54,0.86
0.06,1.0,0.55,0.86
0.06,1.0,0.5700000000000001,0.85
0.06,1.0,0.58,0.85
0.06,1.0,0.6,0.84
0.06,1.0,0.61,0.84
0.06,1.0,0.62,0.8300000000000001
0.06,1.0,0.63,0.8300000000000001
0.06,1.0,0.65,0.8200000000000001
0.06,1.0,0.66,0.81
0.06,1.0,0.67,0.81
0.06,1.0,0.68,0.8
0.06,1.0,0.6900000000000001,0.8
0.06,1.0,0.7000000000000001,0.79
0.06,1.0,0.71,0.78
0.07,1.0,0.29,0.91
0.07,1.0,0.3,0.91
0.07,1.0,0.31,0.91
0.07,1.0,0.36,0.9
0.07,1.0,0.37,0.9
0.07,1.0,0.38,0.9
0.07,1.0,0.42,0.89
0.07,1.0,0.43,0.89
0.07,1.0,0.47000000000000003,0.88
0.07,1.0,0.48,0.88
0.07,1.0,0.51,0.87
0.07,1.0,0.52,0.87
0.07,1.0,0.54,0.86
0.07,1.0,0.55,0.86
0.07,1.0,0.5700000000000001,0.85
0.07,1.0,0.58,0.85
0.07,1.0,0.6,0.84
0.07,1.0,0.61,0.84
0.07,1.0,0.62,0.8300000000000001
0.07,1.0,0.63,0.8300000000000001
0.07,1.0,0.65,0.8200000000000001
0.07,1.0,0.66,0.81
0.07,1.0,0.67,0.81
0.07,1.0,0.68,0.8
0.07,1.0,0.6900000000000001,0.8
0.07,1.0,0.7000000000000001,0.79
0.07,1.0,0.71,0.78
0.08,1.0,0.29,0.91
0.08,1.0,0.3,0.91
0.08,1.0,0.31,0.91
0.08,1.0,0.36,0.9
0.08,1.0,0.37,0.9
0.08,1.0,0.38,0.9
0.08,1.0,0.42,0.89
0.08,1.0,0.43,0.89
0.08,1.0,0.47000000000000003,0.88
0.08,1.0,0.48,0.88
0.08,1.0,0.51,0.87
0.08,1.0,0.52,0.87
0.08,1.0,0.54,0.86
0.08,1.0,0.55,0.86
0.08,1.0,0.5700000000000001,0.85
0.08,1.0,0.58,0.85
0.08,1.0,0.6,0.84
0.08,1.0,0.61,0.84
0.08,1.0,0.62,0.8300000000000001
0.08,1.0,0.63,0.8300000000000001
0.08,1.0,0.65,0.8200000000000001
0.08,1.0,0.66,0.81
0.08,1.0,0.67,0.81
0.08,1.0,0.68,0.8
0.08,1.0,0.6900000000000001,0.8
0.08,1.0,0.7000000000000001,0.79
0.08,1.0,0.71,0.78
0.09,1.0,0.29,0.91
