p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.2,0.5
0.02,1.0,0.2,0.5
0.03,1.0,0.2,0.5
0.04,1.0,0.2,0.5
0.05,1.0,0.2,0.5
0.06,1.0,0.2,0.5
0.07,1.0,0.2,0.5
0.08,1.0,0.2,0.5
0.09,1.0,0.2,0.5
0.1,1.0,0.2,0.5
0.11,1.0,0.2,0.5
0.12,1.0,0.2,0.5
0.13,1.0,0.2,0.5
0.14,1.0,0.2,0.5
0.15,1.0,0.2,0.5
0.16,1.0,0.2,0.5
0.17,1.0,0.2,0.5
0.18,1.0,0.2,0.5
0.19,1.0,0.2,0.5
0.2,1.0,0.2,0.5
0.21,1.0,0.2,0.5
0.22,1.0,0.2,0.5
0.23,1.0,0.2,0.5
0.24,1.0,0.2,0.5
0.25,1.0,0.2,0.5
0.26,1.0,0.2,0.5
0.26,1.0,0.3,0.43
0.27,1.0,0.2,0.5
0.27,1.0,0.3,0.43
0.28,1.0,0.2,0.5
0.28,1.0,0.3,0.43
0.29,1.0,0.2,0.5
0.29,1.0,0.29,0.44
0.29,1.0,0.3,0.43
0.3,1.0,0.2,0.5
0.3,1.0,0.29,0.44
0.3,1.0,0.3,0.43
0.31,1.0,0.2,0.5
0.31,1.0,0.28,0.45
0.31,1.0,0.29,0.44
0.31,1.0,0.3,0.43
0.32,1.0,0.2,0.5
0.32,1.0,0.28,0.45
0.32,1.0,0.29,0.44
0.32,1.0,0.3,0.43
0.33,1.0,0.2,0.5
0.33,1.0,0.28,0.45
0.33,1.0,0.29,0.44
0.33,1.0,0.3,0.43
0.34,1.0,0.2,0.5
0.34,1.0,0.28,0.45
0.34,1.0,0.29,0.44
0.34,1.0,0.3,0.43
0.35000000000000003,1.0,0.2,0.5
0.35000000000000003,1.0,0.28,0.45
0.35000000000000003,1.0,0.29,0.44
0.35000000000000003,1.0,0.3,0.43
0.36,1.0,0.2,0.5
0.36,1.0,0.26,0.46
0.36,1.0,0.28,0.45
0.36,1.0,0.29,0.44
0.36,1.0,0.3,0.43
0.37,1.0,0.2,0.5
0.37,1.0,0.26,0.46
0.37,1.0,0.28,0.45
0.37,1.0,0.29,0.44
0.37,1.0,0.3,0.43
0.38,1.0,0.2,0.5
0.38,1.0,0.26,0.46
0.38,1.0,0.28,0.45
0.38,1.0,0.29,0.44
0.38,1.0,0.3,0.43
0.39,1.0,0.2,0.5
0.39,1.0,0.25,0.47000000000000003
0.39,1.0,0.26,0.46
0.39,1.0,0.28,0.45
0.39,1.0,0.29,0.44
0.39,1.0,0.3,0.43
0.4,1.0,0.2,0.5
0.4,1.0,0.25,0.47000000000000003
0.4,1.0,0.26,0.46
0.4,1.0,0.28,0.45
0.4,1.0,0.29,0.44
0.4,1.0,0.3,0.43
0.41000000000000003,1.0,0.2,0.5
0.41000000000000003,1.0,0.25,0.47000000000000003
0.41000000000000003,1.0,0.26,0.46
0.41000000000000003,1.0,0.28,0.45
0.41000000000000003,1.0,0.29,0.44
0.41000000000000003,1.0,0.3,0.43
0.42,1.0,0.2,0.5
0.42,1.0,0.25,0.47000000000000003
0.42,1.0,0.26,0.46
0.42,1.0,0.28,0.45
0.42,1.0,0.29,0.44
0.42,1.0,0.3,0.43
0.43,1.0,0.2,0.5
0.43,1.0,0.25,0.47000000000000003
0.43,1.0,0.26,0.46
0.43,1.0,0.28,0.45
0.43,1.0,0.29,0.44
0.43,1.0,0.3,0.43
0.44,1.0,0.2,0.5
0.44,1.0,0.25,0.47000000000000003
0.44,1.0,0.26,0.46
0.44,1.0,0.28,0.45
0.44,1.0,0.29,0.44
0.44,1.0,0.3,0.43
0.45,1.0,0.2,0.5
0.45,1.0,0.25,0.47000000000000003
0.45,1.0,0.26,0.46
0.45,1.0,0.28,0.45
0.45,1.0,0.29,0.44
0.45,1.0,0.3,0.43
0.46,1.0,0.2,0.5
0.46,1.0,0.22,0.49
0.46,1.0,0.25,0.47000000000000003
0.46,1.0,0.26,0.46
0.46,1.0,0.28,0.45
0.46,1.0,0.29,0.44
0.46,1.0,0.3,0.43
0.47000000000000003,1.0,0.2,0.5
0.47000000000000003,1.0,0.22,0.49
0.47000000000000003,1.0,0.25,0.47000000000000003
0.47000000000000003,1.0,0.26,0.46
0.47000000000000003,1.0,0.28,0.45
0.47000000000000003,1.0,0.29,0.44
0.47000000000000003,1.0,0.3,0.43
0.48,1.0,0.2,0.5
0.48,1.0,0.22,0.49
0.48,1.0,0.25,0.47000000000000003
0.48,1.0,0.26,0.46
0.48,1.0,0.28,0.45
0.48,1.0,0.29,0.44
0.48,1.0,0.3,0.43
0.49,1.0,0.2,0.5
0.49,1.0,0.22,0.49
0.49,1.0,0.25,0.47000000000000003
0.49,1.0,0.26,0.46
0.49,1.0,0.28,0.45
0.49,1.0,0.29,0.44
0.49,1.0,0.3,0.43
0.5,1.0,0.2,0.5
0.5,1.0,0.22,0.49
0.5,1.0,0.25,0.47000000000000003
0.5,1.0,0.26,0.46
0.5,1.0,0.28,0.45
0.5,1.0,0.29,0.44
0.5,1.0,0.3,0.43
