p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.34,0.75,1.0,0.26
0.34,0.75,1.0,0.27
0.34,0.75,1.0,0.28
0.34,0.75,1.0,0.29
0.34,0.75,1.0,0.3
0.34,0.75,1.0,0.31
0.34,0.75,1.0,0.32
0.34,0.75,1.0,0.33
0.34,0.75,1.0,0.34
0.34,0.75,1.0,0.35000000000000003
0.34,0.75,1.0,0.36
0.34,0.75,1.0,0.37
0.34,0.75,1.0,0.38
0.34,0.75,1.0,0.39
0.34,0.75,1.0,0.4
0.34,0.75,1.0,0.41000000000000003
0.34,0.75,1.0,0.42
0.34,0.75,1.0,0.43
0.34,0.75,1.0,0.44
0.34,0.75,1.0,0.45
0.34,0.75,1.0,0.46
0.34,0.75,1.0,0.47000000000000003
0.34,0.75,1.0,0.48
0.34,0.75,1.0,0.49
0.34,0.75,1.0,0.5
0.35000000000000003,0.75,1.0,0.26
0.35000000000000003,0.75,1.0,0.27
0.35000000000000003,0.75,1.0,0.28
0.35000000000000003,0.75,1.0,0.29
0.35000000000000003,0.75,1.0,0.3
0.35000000000000003,0.75,1.0,0.31
0.35000000000000003,0.75,1.0,0.32
0.35000000000000003,0.75,1.0,0.33
0.35000000000000003,0.75,1.0,0.34
0.35000000000000003,0.75,1.0,0.35000000000000003
0.35000000000000003,0.75,1.0,0.36
0.35000000000000003,0.75,1.0,0.37
0.35000000000000003,0.75,1.0,0.38
0.35000000000000003,0.75,1.0,0.39
0.35000000000000003,0.75,1.0,0.4
0.35000000000000003,0.75,1.0,0.41000000000000003
0.35000000000000003,0.75,1.0,0.42
0.35000000000000003,0.75,1.0,0.43
0.35000000000000003,0.75,1.0,0.44
0.35000000000000003,0.75,1.0,0.45
0.35000000000000003,0.75,1.0,0.46
0.35000000000000003,0.75,1.0,0.47000000000000003
0.35000000000000003,0.75,1.0,0.48
0.35000000000000003,0.75,1.0,0.49
0.35000000000000003,0.75,1.0,0.5
0.36,0.74,1.0,0.27
0.36,0.74,1.0,0.28
0.36,0.74,1.0,0.29
0.36,0.74,1.0,0.3
0.36,0.74,1.0,0.31
0.36,0.74,1.0,0.32
0.36,0.74,1.0,0.33
0.36,0.74,1.0,0.34
0.36,0.74,1.0,0.35000000000000003
0.36,0.74,1.0,0.36
0.36,0.74,1.0,0.37
0.36,0.74,1.0,0.38
0.36,0.74,1.0,0.39
0.36,0.74,1.0,0.4
0.36,0.74,1.0,0.41000000000000003
0.36,0.74,1.0,0.42
0.36,0.74,1.0,0.43
0.36,0.74,1.0,0.44
0.36,0.74,1.0,0.45
0.36,0.74,1.0,0.46
0.36,0.74,1.0,0.47000000000000003
0.36,0.74,1.0,0.48
0.36,0.74,1.0,0.49
0.36,0.74,1.0,0.5
0.36,0.75,1.0,0.26
0.36,0.75,1.0,0.27
0.36,0.75,1.0,0.28
0.36,0.75,1.0,0.29
0.36,0.75,1.0,0.3
0.36,0.75,1.0,0.31
0.36,0.75,1.0,0.32
0.36,0.75,1.0,0.33
0.36,0.75,1.0,0.34
0.36,0.75,1.0,0.35000000000000003
0.36,0.75,1.0,0.36
0.36,0.75,1.0,0.37
0.36,0.75,1.0,0.38
0.36,0.75,1.0,0.39
0.36,0.75,1.0,0.4
0.36,0.75,1.0,0.41000000000000003
0.36,0.75,1.0,0.42
0.36,0.75,1.0,0.43
0.36,0.75,1.0,0.44
0.36,0.75,1.0,0.45
0.36,0.75,1.0,0.46
0.36,0.75,1.0,0.47000000000000003
0.36,0.75,1.0,0.48
0.36,0.75,1.0,0.49
0.36,0.75,1.0,0.5
0.37,0.74,1.0,0.27
0.37,0.74,1.0,0.28
0.37,0.74,1.0,0.29
0.37,0.74,1.0,0.3
0.37,0.74,1.0,0.31
0.37,0.74,1.0,0.32
0.37,0.74,1.0,0.33
0.37,0.74,1.0,0.34
0.37,0.74,1.0,0.35000000000000003
0.37,0.74,1.0,0.36
0.37,0.74,1.0,0.37
0.37,0.74,1.0,0.38
0.37,0.74,1.0,0.39
0.37,0.74,1.0,0.4
0.37,0.74,1.0,0.41000000000000003
0.37,0.74,1.0,0.42
0.37,0.74,1.0,0.43
0.37,0.74,1.0,0.44
0.37,0.74,1.0,0.45
0.37,0.74,1.0,0.46
0.37,0.74,1.0,0.47000000000000003
0.37,0.74,1.0,0.48
0.37,0.74,1.0,0.49
0.37,0.74,1.0,0.5
0.37,0.75,1.0,0.26
0.37,0.75,1.0,0.27
0.37,0.75,1.0,0.28
0.37,0.75,1.0,0.29
0.37,0.75,1.0,0.3
0.37,0.75,1.0,0.31
0.37,0.75,1.0,0.32
0.37,0.75,1.0,0.33
0.37,0.75,1.0,0.34
0.37,0.75,1.0,0.35000000000000003
0.37,0.75,1.0,0.36
0.37,0.75,1.0,0.37
0.37,0.75,1.0,0.38
0.37,0.75,1.0,0.39
0.37,0.75,1.0,0.4
0.37,0.75,1.0,0.41000000000000003
0.37,0.75,1.0,0.42
0.37,0.75,1.0,0.43
0.37,0.75,1.0,0.44
0.37,0.75,1.0,0.45
0.37,0.75,1.0,0.46
0.37,0.75,1.0,0.47000000000000003
0.37,0.75,1.0,0.48
0.37,0.75,1.0,0.49
0.37,0.75,1.0,0.5
0.38,0.74,1.0,0.27
0.38,0.74,1.0,0.28
0.38,0.74,1.0,0.29
0.38,0.74,1.0,0.3
0.38,0.74,1.0,0.31
0.38,0.74,1.0,0.32
0.38,0.74,1.0,0.33
0.38,0.74,1.0,0.34
0.38,0.74,1.0,0.35000000000000003
0.38,0.74,1.0,0.36
0.38,0.74,1.0,0.37
0.38,0.74,1.0,0.38
0.38,0.74,1.0,0.39
0.38,0.74,1.0,0.4
0.38,0.74,1.0,0.41000000000000003
0.38,0.74,1.0,0.42
0.38,0.74,1.0,0.43
0.38,0.74,1.0,0.44
0.38,0.74,1.0,0.45
0.38,0.74,1.0,0.46
0.38,0.74,1.0,0.47000000000000003
0.38,0.74,1.0,0.48
0.38,0.74,1.0,0.49
0.38,0.74,1.0,0.5
0.39,0.73,1.0,0.28
0.39,0.73,1.0,0.29
0.39,0.73,1.0,0.3
0.39,0.73,1.0,0.31
0.39,0.73,1.0,0.32
0.39,0.73,1.0,0.33
0.39,0.73,1.0,0.34
0.39,0.73,1.0,0.35000000000000003
0.39,0.73,1.0,0.36
0.39,0.73,1.0,0.37
0.39,0.73,1.0,0.38
0.39,0.73,1.0,0.39
0.39,0.73,1.0,0.4
0.39,0.73,1.0,0.41000000000000003
0.39,0.73,1.0,0.42
0.39,0.73,1.0,0.43
0.39,0.73,1.0,0.44
0.39,0.73,1.0,0.45
0.39,0.73,1.0,0.46
0.39,0.73,1.0,0.47000000000000003
0.39,0.73,1.0,0.48
0.39,0.73,1.0,0.49
0.39,0.73,1.0,0.5
0.39,0.74,1.0,0.27
0.39,0.74,1.0,0.28
0.39,0.74,1.0,0.29
0.39,0.74,1.0,0.3
0.39,0.74,1.0,0.31
0.39,0.74,1.0,0.32
0.39,0.74,1.0,0.33
0.39,0.74,1.0,0.34
0.39,0.74,1.0,0.35000000000000003
0.39,0.74,1.0,0.36
0.39,0.74,1.0,0.37
0.39,0.74,1.0,0.38
0.39,0.74,1.0,0.39
0.39,0.74,1.0,0.4
0.39,0.74,1.0,0.41000000000000003
0.39,0.74,1.0,0.42
0.39,0.74,1.0,0.43
0.39,0.74,1.0,0.44
0.39,0.74,1.0,0.45
0.39,0.74,1.0,0.46
0.39,0.74,1.0,0.47000000000000003
0.39,0.74,1.0,0.48
0.39,0.74,1.0,0.49
0.39,0.74,1.0,0.5
0.4,0.73,1.0,0.28
0.4,0.73,1.0,0.29
0.4,0.73,1.0,0.3
0.4,0.73,1.0,0.31
0.4,0.73,1.0,0.32
0.4,0.73,1.0,0.33
0.4,0.73,1.0,0.34
0.4,0.73,1.0,0.35000000000000003
0.4,0.73,1.0,0.36
0.4,0.73,1.0,0.37
0.4,0.73,1.0,0.38
0.4,0.73,1.0,0.39
0.4,0.73,1.0,0.4
0.4,0.73,1.0,0.41000000000000003
0.4,0.73,1.0,0.42
0.4,0.73,1.0,0.43
0.4,0.73,1.0,0.44
0.4,0.73,1.0,0.45
0.4,0.73,1.0,0.46
0.4,0.73,1.0,0.47000000000000003
0.4,0.73,1.0,0.48
0.4,0.73,1.0,0.49
0.4,0.73,1.0,0.5
0.41000000000000003,0.72,1.0,0.29
0.41000000000000003,0.72,1.0,0.3
0.41000000000000003,0.72,1.0,0.31
0.41000000000000003,0.72,1.0,0.32
0.41000000000000003,0.72,1.0,0.33
0.41000000000000003,0.72,1.0,0.34
0.41000000000000003,0.72,1.0,0.35000000000000003
0.41000000000000003,0.72,1.0,0.36
0.41000000000000003,0.72,1.0,0.37
0.41000000000000003,0.72,1.0,0.38
0.41000000000000003,0.72,1.0,0.39
0.41000000000000003,0.72,1.0,0.4
0.41000000000000003,0.72,1.0,0.41000000000000003
0.41000000000000003,0.72,1.0,0.42
0.41000000000000003,0.72,1.0,0.43
0.41000000000000003,0.72,1.0,0.44
0.41000000000000003,0.72,1.0,0.45
0.41000000000000003,0.72,1.0,0.46
0.41000000000000003,0.72,1.0,0.47000000000000003
0.41000000000000003,0.72,1.0,0.48
0.41000000000000003,0.72,1.0,0.49
0.41000000000000003,0.72,1.0,0.5
0.41000000000000003,0.73,1.0,0.28
0.41000000000000003,0.73,1.0,0.29
0.41000000000000003,0.73,1.0,0.3
0.41000000000000003,0.73,1.0,0.31
0.41000000000000003,0.73,1.0,0.32
0.41000000000000003,0.73,1.0,0.33
0.41000000000000003,0.73,1.0,0.34
0.41000000000000003,0.73,1.0,0.35000000000000003
0.41000000000000003,0.73,1.0,0.36
0.41000000000000003,0.73,1.0,0.37
0.41000000000000003,0.73,1.0,0.38
0.41000000000000003,0.73,1.0,0.39
0.41000000000000003,0.73,1.0,0.4
0.41000000000000003,0.73,1.0,0.41000000000000003
0.41000000000000003,0.73,1.0,0.42
0.41000000000000003,0.73,1.0,0.43
0.41000000000000003,0.73,1.0,0.44
0.41000000000000003,0.73,1.0,0.45
0.41000000000000003,0.73,1.0,0.46
0.41000000000000003,0.73,1.0,0.47000000000000003
0.41000000000000003,0.73,1.0,0.48
0.41000000000000003,0.73,1.0,0.49
0.41000000000000003,0.73,1.0,0.5
0.42,0.72,1.0,0.29
0.42,0.72,1.0,0.3
0.42,0.72,1.0,0.31
0.42,0.72,1.0,0.32
0.42,0.72,1.0,0.33
0.42,0.72,1.0,0.34
0.42,0.72,1.0,0.35000000000000003
