p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.17,0.4
0.01,1.0,0.18,0.4
0.01,1.0,0.19,0.39
0.01,1.0,0.19,0.4
0.01,1.0,0.19,0.41000000000000003
0.01,1.0,0.2,0.38
0.01,1.0,0.2,0.39
0.01,1.0,0.2,0.4
0.01,1.0,0.2,0.41000000000000003
0.01,1.0,0.21,0.37
0.01,1.0,0.21,0.38
0.01,1.0,0.21,0.39
0.01,1.0,0.21,0.4
0.01,1.0,0.21,0.41000000000000003
0.01,1.0,0.21,0.42
0.01,1.0,0.22,0.36
0.01,1.0,0.22,0.37
0.01,1.0,0.22,0.38
0.01,1.0,0.22,0.39
0.01,1.0,0.22,0.4
0.01,1.0,0.22,0.41000000000000003
0.01,1.0,0.22,0.42
0.01,1.0,0.23,0.36
0.01,1.0,0.23,0.37
0.01,1.0,0.23,0.38
0.01,1.0,0.23,0.39
0.01,1.0,0.23,0.4
0.01,1.0,0.23,0.41000000000000003
0.01,1.0,0.23,0.42
0.01,1.0,0.23,0.43
0.01,1.0,0.24,0.35000000000000003
0.01,1.0,0.24,0.36
0.01,1.0,0.24,0.37
0.01,1.0,0.24,0.38
0.01,1.0,0.24,0.39
0.01,1.0,0.24,0.4
0.01,1.0,0.24,0.41000000000000003
0.01,1.0,0.24,0.42
0.01,1.0,0.24,0.43
0.01,1.0,0.25,0.34
0.01,1.0,0.25,0.35000000000000003
0.01,1.0,0.25,0.36
0.01,1.0,0.25,0.37
0.01,1.0,0.25,0.38
0.01,1.0,0.25,0.39
0.01,1.0,0.25,0.4
0.01,1.0,0.25,0.41000000000000003
0.01,1.0,0.25,0.42
0.01,1.0,0.25,0.43
0.01,1.0,0.25,0.44
0.01,1.0,0.26,0.34
0.01,1.0,0.26,0.35000000000000003
0.01,1.0,0.26,0.36
0.01,1.0,0.26,0.37
0.01,1.0,0.26,0.38
0.01,1.0,0.26,0.39
0.01,1.0,0.26,0.4
0.01,1.0,0.26,0.41000000000000003
0.01,1.0,0.26,0.42
0.01,1.0,0.26,0.43
0.01,1.0,0.26,0.44
0.01,1.0,0.26,0.45
0.01,1.0,0.27,0.34
0.01,1.0,0.27,0.35000000000000003
0.01,1.0,0.27,0.36
0.01,1.0,0.27,0.37
0.01,1.0,0.27,0.38
0.01,1.0,0.27,0.39
0.01,1.0,0.27,0.4
0.01,1.0,0.27,0.41000000000000003
0.01,1.0,0.27,0.42
0.01,1.0,0.27,0.43
0.01,1.0,0.27,0.44
0.01,1.0,0.27,0.45
0.01,1.0,0.28,0.34
0.01,1.0,0.28,0.35000000000000003
0.01,1.0,0.28,0.36
0.01,1.0,0.28,0.37
0.01,1.0,0.28,0.38
0.01,1.0,0.28,0.39
0.01,1.0,0.28,0.4
0.01,1.0,0.28,0.41000000000000003
0.01,1.0,0.28,0.42
0.01,1.0,0.28,0.43
0.01,1.0,0.28,0.44
0.01,1.0,0.28,0.45
0.01,1.0,0.28,0.46
0.01,1.0,0.29,0.34
0.01,1.0,0.29,0.35000000000000003
0.01,1.0,0.29,0.36
0.01,1.0,0.29,0.37
0.01,1.0,0.29,0.38
0.01,1.0,0.29,0.39
0.01,1.0,0.29,0.4
0.01,1.0,0.29,0.41000000000000003
0.01,1.0,0.29,0.42
0.01,1.0,0.29,0.43
0.01,1.0,0.29,0.44
0.01,1.0,0.29,0.45
0.01,1.0,0.29,0.46
0.01,1.0,0.3,0.34
0.01,1.0,0.3,0.35000000000000003
0.01,1.0,0.3,0.36
0.01,1.0,0.3,0.37
0.01,1.0,0.3,0.38
0.01,1.0,0.3,0.39
0.01,1.0,0.3,0.4
0.01,1.0,0.3,0.41000000000000003
0.01,1.0,0.3,0.42
0.01,1.0,0.3,0.43
0.01,1.0,0.3,0.44
0.01,1.0,0.3,0.45
0.01,1.0,0.3,0.46
0.01,1.0,0.3,0.47000000000000003
0.01,1.0,0.31,0.34
0.01,1.0,0.31,0.35000000000000003
0.01,1.0,0.31,0.36
0.01,1.0,0.31,0.37
0.01,1.0,0.31,0.38
0.01,1.0,0.31,0.39
0.01,1.0,0.31,0.4
0.01,1.0,0.31,0.41000000000000003
0.01,1.0,0.31,0.42
0.01,1.0,0.31,0.43
0.01,1.0,0.31,0.44
0.01,1.0,0.31,0.45
0.01,1.0,0.31,0.46
0.01,1.0,0.31,0.47000000000000003
0.01,1.0,0.31,0.48
0.01,1.0,0.32,0.34
0.01,1.0,0.32,0.35000000000000003
0.01,1.0,0.32,0.36
0.01,1.0,0.32,0.37
0.01,1.0,0.32,0.38
0.01,1.0,0.32,0.39
0.01,1.0,0.32,0.4
0.01,1.0,0.32,0.41000000000000003
0.01,1.0,0.32,0.42
0.01,1.0,0.32,0.43
0.01,1.0,0.32,0.44
0.01,1.0,0.32,0.45
0.01,1.0,0.32,0.46
0.01,1.0,0.32,0.47000000000000003
0.01,1.0,0.32,0.48
0.01,1.0,0.32,0.49
0.01,1.0,0.33,0.34
0.01,1.0,0.33,0.35000000000000003
0.01,1.0,0.33,0.36
0.01,1.0,0.33,0.37
0.01,1.0,0.33,0.38
0.01,1.0,0.33,0.39
0.01,1.0,0.33,0.4
0.01,1.0,0.33,0.41000000000000003
0.01,1.0,0.33,0.42
0.01,1.0,0.33,0.43
0.01,1.0,0.33,0.44
0.01,1.0,0.33,0.45
0.01,1.0,0.33,0.46
0.01,1.0,0.33,0.47000000000000003
0.01,1.0,0.33,0.48
0.01,1.0,0.33,0.49
0.01,1.0,0.34,0.34
0.01,1.0,0.34,0.35000000000000003
0.01,1.0,0.34,0.36
0.01,1.0,0.34,0.37
0.01,1.0,0.34,0.38
0.01,1.0,0.34,0.39
0.01,1.0,0.34,0.4
0.01,1.0,0.34,0.41000000000000003
0.01,1.0,0.34,0.42
0.01,1.0,0.34,0.43
0.01,1.0,0.34,0.44
0.01,1.0,0.34,0.45
0.01,1.0,0.34,0.46
0.01,1.0,0.34,0.47000000000000003
0.01,1.0,0.34,0.48
0.01,1.0,0.34,0.49
0.01,1.0,0.34,0.5
0.01,1.0,0.35000000000000003,0.34
0.01,1.0,0.35000000000000003,0.35000000000000003
0.01,1.0,0.35000000000000003,0.36
0.01,1.0,0.35000000000000003,0.37
0.01,1.0,0.35000000000000003,0.38
0.01,1.0,0.35000000000000003,0.39
0.01,1.0,0.35000000000000003,0.4
0.01,1.0,0.35000000000000003,0.41000000000000003
0.01,1.0,0.35000000000000003,0.42
0.01,1.0,0.35000000000000003,0.43
0.01,1.0,0.35000000000000003,0.44
0.01,1.0,0.35000000000000003,0.45
0.01,1.0,0.35000000000000003,0.46
0.01,1.0,0.35000000000000003,0.47000000000000003
0.01,1.0,0.35000000000000003,0.48
0.01,1.0,0.35000000000000003,0.49
0.01,1.0,0.35000000000000003,0.5
0.01,1.0,0.36,0.34
0.01,1.0,0.36,0.35000000000000003
0.01,1.0,0.36,0.36
0.01,1.0,0.36,0.37
0.01,1.0,0.36,0.38
0.01,1.0,0.36,0.39
0.01,1.0,0.36,0.4
0.01,1.0,0.36,0.41000000000000003
0.01,1.0,0.36,0.42
0.01,1.0,0.36,0.43
0.01,1.0,0.36,0.44
0.01,1.0,0.36,0.45
0.01,1.0,0.36,0.46
0.01,1.0,0.36,0.47000000000000003
0.01,1.0,0.36,0.48
0.01,1.0,0.36,0.49
0.01,1.0,0.36,0.5
