p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.08,0.92
0.01,1.0,0.09,0.92
0.01,1.0,0.1,0.92
0.01,1.0,0.11,0.92
0.01,1.0,0.12,0.92
0.01,1.0,0.13,0.92
0.01,1.0,0.14,0.92
0.01,1.0,0.15,0.92
0.01,1.0,0.16,0.92
0.01,1.0,0.17,0.92
0.01,1.0,0.18,0.92
0.01,1.0,0.19,0.91
0.01,1.0,0.19,0.92
0.01,1.0,0.2,0.91
0.01,1.0,0.2,0.92
0.01,1.0,0.21,0.91
0.01,1.0,0.21,0.92
0.01,1.0,0.22,0.91
0.01,1.0,0.22,0.92
0.01,1.0,0.23,0.91
0.01,1.0,0.23,0.92
0.01,1.0,0.24,0.91
0.01,1.0,0.24,0.92
0.01,1.0,0.25,0.91
0.01,1.0,0.25,0.92
0.01,1.0,0.26,0.91
0.01,1.0,0.26,0.92
0.01,1.0,0.27,0.9
0.01,1.0,0.27,0.91
0.01,1.0,0.27,0.92
0.01,1.0,0.28,0.9
0.01,1.0,0.28,0.91
0.01,1.0,0.28,0.92
0.01,1.0,0.29,0.9
0.01,1.0,0.29,0.91
0.01,1.0,0.29,0.92
0.01,1.0,0.3,0.9
0.01,1.0,0.3,0.91
0.01,1.0,0.3,0.92
0.01,1.0,0.31,0.9
0.01,1.0,0.31,0.91
0.01,1.0,0.31,0.92
0.01,1.0,0.32,0.9
0.01,1.0,0.32,0.91
0.01,1.0,0.32,0.92
0.01,1.0,0.33,0.9
0.01,1.0,0.33,0.91
0.01,1.0,0.33,0.92
0.01,1.0,0.34,0.89
0.01,1.0,0.34,0.9
0.01,1.0,0.34,0.91
0.01,1.0,0.34,0.92
0.01,1.0,0.35000000000000003,0.89
0.01,1.0,0.35000000000000003,0.9
0.01,1.0,0.35000000000000003,0.91
0.01,1.0,0.35000000000000003,0.92
0.01,1.0,0.36,0.89
0.01,1.0,0.36,0.9
0.01,1.0,0.36,0.91
0.01,1.0,0.36,0.92
0.01,1.0,0.37,0.89
0.01,1.0,0.37,0.9
0.01,1.0,0.37,0.91
0.01,1.0,0.37,0.92
0.01,1.0,0.38,0.89
0.01,1.0,0.38,0.9
0.01,1.0,0.38,0.91
0.01,1.0,0.38,0.92
0.01,1.0,0.39,0.89
0.01,1.0,0.39,0.9
0.01,1.0,0.39,0.91
0.01,1.0,0.39,0.92
0.01,1.0,0.4,0.89
0.01,1.0,0.4,0.9
0.01,1.0,0.4,0.91
0.01,1.0,0.4,0.92
0.01,1.0,0.41000000000000003,0.89
0.01,1.0,0.41000000000000003,0.9
0.01,1.0,0.41000000000000003,0.91
0.01,1.0,0.41000000000000003,0.92
0.01,1.0,0.42,0.89
0.01,1.0,0.42,0.9
0.01,1.0,0.42,0.91
0.01,1.0,0.42,0.92
0.01,1.0,0.43,0.89
0.01,1.0,0.43,0.9
0.01,1.0,0.43,0.91
0.01,1.0,0.43,0.92
0.01,1.0,0.44,0.89
0.01,1.0,0.44,0.9
0.01,1.0,0.44,0.91
0.01,1.0,0.44,0.92
0.01,1.0,0.45,0.89
0.01,1.0,0.45,0.9
0.01,1.0,0.45,0.91
0.01,1.0,0.45,0.92
0.01,1.0,0.46,0.89
