p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.21,0.91
0.01,1.0,0.22,0.91
0.01,1.0,0.29,0.9
0.01,1.0,0.3,0.9
0.01,1.0,0.35000000000000003,0.89
0.01,1.0,0.36,0.89
0.01,1.0,0.41000000000000003,0.88
0.01,1.0,0.45,0.87
0.01,1.0,0.46,0.87
0.01,1.0,0.49,0.86
0.01,1.0,0.5,0.86
0.02,1.0,0.21,0.91
0.02,1.0,0.22,0.91
0.02,1.0,0.29,0.9
0.02,1.0,0.3,0.9
0.02,1.0,0.35000000000000003,0.89
0.02,1.0,0.36,0.89
0.02,1.0,0.41000000000000003,0.88
0.02,1.0,0.45,0.87
0.02,1.0,0.46,0.87
0.02,1.0,0.49,0.86
0.02,1.0,0.5,0.86
0.03,1.0,0.21,0.91
0.03,1.0,0.22,0.91
0.03,1.0,0.29,0.9
0.03,1.0,0.3,0.9
0.03,1.0,0.35000000000000003,0.89
0.03,1.0,0.36,0.89
0.03,1.0,0.41000000000000003,0.88
0.03,1.0,0.45,0.87
0.03,1.0,0.46,0.87
0.03,1.0,0.49,0.86
0.03,1.0,0.5,0.86
0.04,1.0,0.21,0.91
0.04,1.0,0.22,0.91
0.04,1.0,0.29,0.9
0.04,1.0,0.3,0.9
0.04,1.0,0.35000000000000003,0.89
0.04,1.0,0.36,0.89
0.04,1.0,0.41000000000000003,0.88
0.04,1.0,0.45,0.87
0.04,1.0,0.46,0.87
0.04,1.0,0.49,0.86
0.04,1.0,0.5,0.86
0.05,1.0,0.21,0.91
0.05,1.0,0.22,0.91
0.05,1.0,0.29,0.9
0.05,1.0,0.3,0.9
0.05,1.0,0.35000000000000003,0.89
0.05,1.0,0.36,0.89
0.05,1.0,0.41000000000000003,0.88
0.05,1.0,0.45,0.87
0.05,1.0,0.46,0.87
0.05,1.0,0.49,0.86
0.05,1.0,0.5,0.86
0.06,1.0,0.21,0.91
0.06,1.0,0.22,0.91
0.06,1.0,0.29,0.9
0.06,1.0,0.3,0.9
0.06,1.0,0.35000000000000003,0.89
0.06,1.0,0.36,0.89
0.06,1.0,0.41000000000000003,0.88
0.06,1.0,0.45,0.87
0.06,1.0,0.46,0.87
0.06,1.0,0.49,0.86
0.06,1.0,0.5,0.86
0.07,1.0,0.21,0.91
0.07,1.0,0.22,0.91
0.07,1.0,0.29,0.9
0.07,1.0,0.3,0.9
0.07,1.0,0.35000000000000003,0.89
0.07,1.0,0.36,0.89
0.07,1.0,0.41000000000000003,0.88
0.07,1.0,0.45,0.87
0.07,1.0,0.46,0.87
0.07,1.0,0.49,0.86
0.07,1.0,0.5,0.86
0.08,1.0,0.21,0.91
0.08,1.0,0.22,0.91
0.08,1.0,0.29,0.9
0.08,1.0,0.3,0.9
0.08,1.0,0.35000000000000003,0.89
0.08,1.0,0.36,0.89
0.08,1.0,0.41000000000000003,0.88
0.08,1.0,0.45,0.87
0.08,1.0,0.46,0.87
0.08,1.0,0.49,0.86
0.08,1.0,0.5,0.86
0.09,1.0,0.21,0.91
0.09,1.0,0.22,0.91
0.09,1.0,0.29,0.9
0.09,1.0,0.3,0.9
0.09,1.0,0.35000000000000003,0.89
0.09,1.0,0.36,0.89
0.09,1.0,0.41000000000000003,0.88
0.09,1.0,0.45,0.87
0.09,1.0,0.46,0.87
0.09,1.0,0.49,0.86
0.09,1.0,0.5,0.86
0.1,1.0,0.21,0.91
0.1,1.0,0.22,0.91
