p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.1,0.85
0.01,1.0,0.25,0.8200000000000001
0.02,1.0,0.1,0.85
0.02,1.0,0.25,0.8200000000000001
0.03,1.0,0.1,0.85
0.03,1.0,0.25,0.8200000000000001
0.04,1.0,0.1,0.85
0.04,1.0,0.25,0.8200000000000001
0.05,1.0,0.1,0.85
0.05,1.0,0.25,0.8200000000000001
0.06,1.0,0.1,0.85
0.06,1.0,0.25,0.8200000000000001
0.07,1.0,0.1,0.85
0.07,1.0,0.25,0.8200000000000001
0.08,1.0,0.1,0.85
0.08,1.0,0.25,0.8200000000000001
0.09,1.0,0.1,0.85
0.09,1.0,0.25,0.8200000000000001
0.1,1.0,0.1,0.85
0.1,1.0,0.25,0.8200000000000001
0.11,1.0,0.1,0.85
0.11,1.0,0.25,0.8200000000000001
0.12,1.0,0.1,0.85
0.12,1.0,0.25,0.8200000000000001
0.13,1.0,0.1,0.85
0.13,1.0,0.25,0.8200000000000001
0.14,1.0,0.1,0.85
0.14,1.0,0.25,0.8200000000000001
0.15,1.0,0.1,0.85
0.15,1.0,0.25,0.8200000000000001
0.16,1.0,0.1,0.85
0.16,1.0,0.25,0.8200000000000001
0.17,1.0,0.1,0.85
0.17,1.0,0.25,0.8200000000000001
0.18,1.0,0.1,0.85
0.18,1.0,0.25,0.8200000000000001
0.19,1.0,0.1,0.85
0.19,1.0,0.25,0.8200000000000001
0.2,1.0,0.1,0.85
0.2,1.0,0.25,0.8200000000000001
0.21,1.0,0.1,0.85
0.21,1.0,0.25,0.8200000000000001
0.22,1.0,0.1,0.85
0.22,1.0,0.25,0.8200000000000001
0.23,1.0,0.1,0.85
0.23,1.0,0.25,0.8200000000000001
0.24,1.0,0.1,0.85
0.24,1.0,0.25,0.8200000000000001
0.25,1.0,0.1,0.85
0.25,1.0,0.25,0.8200000000000001
0.26,1.0,0.1,0.85
0.26,1.0,0.25,0.8200000000000001
0.27,1.0,0.1,0.85
0.27,1.0,0.25,0.8200000000000001
0.28,1.0,0.1,0.85
0.28,1.0,0.25,0.8200000000000001
0.29,1.0,0.1,0.85
0.29,1.0,0.25,0.8200000000000001
0.3,1.0,0.1,0.85
0.3,1.0,0.25,0.8200000000000001
0.31,1.0,0.1,0.85
0.31,1.0,0.25,0.8200000000000001
0.32,1.0,0.1,0.85
0.32,1.0,0.25,0.8200000000000001
0.33,1.0,0.1,0.85
0.33,1.0,0.25,0.8200000000000001
0.34,1.0,0.1,0.85
0.34,1.0,0.25,0.8200000000000001
0.35000000000000003,1.0,0.1,0.85
0.35000000000000003,1.0,0.25,0.8200000000000001
0.36,1.0,0.1,0.85
0.36,1.0,0.25,0.8200000000000001
0.37,1.0,0.1,0.85
0.37,1.0,0.25,0.8200000000000001
0.38,1.0,0.1,0.85
0.38,1.0,0.25,0.8200000000000001
0.39,1.0,0.1,0.85
0.39,1.0,0.25,0.8200000000000001
0.4,1.0,0.1,0.85
0.4,1.0,0.25,0.8200000000000001
0.41000000000000003,1.0,0.1,0.85
0.41000000000000003,1.0,0.25,0.8200000000000001
0.42,1.0,0.1,0.85
0.42,1.0,0.25,0.8200000000000001
0.43,1.0,0.1,0.85
0.43,1.0,0.25,0.8200000000000001
0.44,1.0,0.1,0.85
0.44,1.0,0.25,0.8200000000000001
0.45,1.0,0.1,0.85
0.45,1.0,0.25,0.8200000000000001
0.46,1.0,0.1,0.85
0.46,1.0,0.25,0.8200000000000001
0.47000000000000003,1.0,0.1,0.85
0.47000000000000003,1.0,0.25,0.8200000000000001
0.48,1.0,0.1,0.85
0.48,1.0,0.25,0.8200000000000001
0.49,1.0,0.1,0.85
0.49,1.0,0.25,0.8200000000000001
0.5,1.0,0.1,0.85
0.5,1.0,0.25,0.8200000000000001
0.51,1.0,0.1,0.85
0.51,1.0,0.25,0.8200000000000001
0.52,1.0,0.1,0.85
0.52,1.0,0.25,0.8200000000000001
0.53,1.0,0.1,0.85
0.53,1.0,0.25,0.8200000000000001
0.54,1.0,0.1,0.85
0.54,1.0,0.25,0.8200000000000001
0.55,1.0,0.1,0.85
0.55,1.0,0.25,0.8200000000000001
0.56,1.0,0.1,0.85
0.56,1.0,0.25,0.8200000000000001
0.5700000000000001,1.0,0.1,0.85
0.5700000000000001,1.0,0.25,0.8200000000000001
0.58,1.0,0.1,0.85
0.58,1.0,0.25,0.8200000000000001
0.59,1.0,0.1,0.85
0.59,1.0,0.25,0.8200000000000001
0.6,1.0,0.1,0.85
0.6,1.0,0.25,0.8200000000000001
