p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.06,0.81
0.01,1.0,0.11,0.8
0.01,1.0,0.15,0.79
0.02,1.0,0.06,0.81
0.02,1.0,0.11,0.8
0.02,1.0,0.15,0.79
0.03,1.0,0.06,0.81
0.03,1.0,0.11,0.8
0.03,1.0,0.15,0.79
0.04,1.0,0.06,0.81
0.04,1.0,0.11,0.8
0.04,1.0,0.15,0.79
0.05,1.0,0.06,0.81
0.05,1.0,0.11,0.8
0.05,1.0,0.15,0.79
0.06,1.0,0.06,0.81
0.06,1.0,0.11,0.8
0.06,1.0,0.15,0.79
0.07,1.0,0.06,0.81
0.07,1.0,0.11,0.8
0.07,1.0,0.15,0.79
0.08,1.0,0.06,0.81
0.08,1.0,0.11,0.8
0.08,1.0,0.15,0.79
0.09,1.0,0.06,0.81
0.09,1.0,0.11,0.8
0.09,1.0,0.15,0.79
0.1,1.0,0.06,0.81
0.1,1.0,0.11,0.8
0.1,1.0,0.15,0.79
0.11,1.0,0.06,0.81
0.11,1.0,0.11,0.8
0.11,1.0,0.15,0.79
0.12,1.0,0.06,0.81
0.12,1.0,0.11,0.8
0.12,1.0,0.15,0.79
0.13,1.0,0.06,0.81
0.13,1.0,0.11,0.8
0.13,1.0,0.15,0.79
0.14,1.0,0.06,0.81
0.14,1.0,0.11,0.8
0.14,1.0,0.15,0.79
0.15,1.0,0.06,0.81
0.15,1.0,0.11,0.8
0.15,1.0,0.15,0.79
0.16,1.0,0.06,0.81
0.16,1.0,0.11,0.8
0.16,1.0,0.15,0.79
0.17,1.0,0.06,0.81
0.17,1.0,0.11,0.8
0.17,1.0,0.15,0.79
0.18,1.0,0.06,0.81
0.18,1.0,0.11,0.8
0.18,1.0,0.15,0.79
0.19,1.0,0.06,0.81
0.19,1.0,0.11,0.8
0.19,1.0,0.15,0.79
0.2,1.0,0.06,0.81
0.2,1.0,0.11,0.8
0.2,1.0,0.15,0.79
0.21,1.0,0.06,0.81
0.21,1.0,0.11,0.8
0.21,1.0,0.15,0.79
0.22,1.0,0.06,0.81
0.22,1.0,0.11,0.8
0.22,1.0,0.15,0.79
0.23,1.0,0.06,0.81
0.23,1.0,0.11,0.8
0.23,1.0,0.15,0.79
0.24,1.0,0.06,0.81
0.24,1.0,0.11,0.8
0.24,1.0,0.15,0.79
0.25,1.0,0.06,0.81
0.25,1.0,0.11,0.8
0.25,1.0,0.15,0.79
0.26,1.0,0.06,0.81
0.26,1.0,0.11,0.8
0.26,1.0,0.15,0.79
0.27,1.0,0.06,0.81
0.27,1.0,0.11,0.8
0.27,1.0,0.15,0.79
0.28,1.0,0.06,0.81
0.28,1.0,0.11,0.8
0.28,1.0,0.15,0.79
0.29,1.0,0.06,0.81
0.29,1.0,0.11,0.8
0.29,1.0,0.15,0.79
0.3,1.0,0.06,0.81
0.3,1.0,0.11,0.8
0.3,1.0,0.15,0.79
0.31,1.0,0.06,0.81
0.31,1.0,0.11,0.8
0.31,1.0,0.15,0.79
0.32,1.0,0.06,0.81
0.32,1.0,0.11,0.8
0.32,1.0,0.15,0.79
0.33,1.0,0.06,0.81
0.33,1.0,0.11,0.8
0.33,1.0,0.15,0.79
0.34,1.0,0.06,0.81
0.34,1.0,0.11,0.8
0.34,1.0,0.15,0.79
0.35000000000000003,1.0,0.06,0.81
0.35000000000000003,1.0,0.11,0.8
0.35000000000000003,1.0,0.15,0.79
0.36,1.0,0.06,0.81
0.36,1.0,0.11,0.8
0.36,1.0,0.15,0.79
0.37,1.0,0.06,0.81
0.37,1.0,0.11,0.8
0.37,1.0,0.15,0.79
0.38,1.0,0.06,0.81
0.38,1.0,0.11,0.8
0.38,1.0,0.15,0.79
0.39,1.0,0.06,0.81
0.39,1.0,0.11,0.8
0.39,1.0,0.15,0.79
0.4,1.0,0.06,0.81
0.4,1.0,0.11,0.8
0.4,1.0,0.15,0.79
0.41000000000000003,1.0,0.06,0.81
0.41000000000000003,1.0,0.11,0.8
0.41000000000000003,1.0,0.15,0.79
0.42,1.0,0.06,0.81
0.42,1.0,0.11,0.8
0.42,1.0,0.15,0.79
0.43,1.0,0.06,0.81
0.43,1.0,0.11,0.8
0.43,1.0,0.15,0.79
0.44,1.0,0.06,0.81
0.44,1.0,0.11,0.8
0.44,1.0,0.15,0.79
0.45,1.0,0.06,0.81
0.45,1.0,0.11,0.8
0.45,1.0,0.15,0.79
0.46,1.0,0.06,0.81
0.46,1.0,0.11,0.8
0.46,1.0,0.15,0.79
0.47000000000000003,1.0,0.06,0.81
0.47000000000000003,1.0,0.11,0.8
0.47000000000000003,1.0,0.15,0.79
0.48,1.0,0.06,0.81
0.48,1.0,0.11,0.8
0.48,1.0,0.15,0.79
0.49,1.0,0.06,0.81
0.49,1.0,0.11,0.8
0.49,1.0,0.15,0.79
0.5,1.0,0.06,0.81
0.5,1.0,0.11,0.8
0.5,1.0,0.15,0.79
