p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.18,0.79
0.01,1.0,0.21,0.78
0.01,1.0,0.25,0.77
0.01,1.0,0.28,0.76
0.01,1.0,0.31,0.75
0.01,1.0,0.36,0.73
0.01,1.0,0.38,0.72
0.01,1.0,0.4,0.71
0.01,1.0,0.42,0.7000000000000001
0.02,1.0,0.18,0.79
0.02,1.0,0.21,0.78
0.02,1.0,0.25,0.77
0.02,1.0,0.28,0.76
0.02,1.0,0.31,0.75
0.02,1.0,0.36,0.73
0.02,1.0,0.38,0.72
0.02,1.0,0.4,0.71
0.02,1.0,0.42,0.7000000000000001
0.03,1.0,0.18,0.79
0.03,1.0,0.21,0.78
0.03,1.0,0.25,0.77
0.03,1.0,0.28,0.76
0.03,1.0,0.31,0.75
0.03,1.0,0.36,0.73
0.03,1.0,0.38,0.72
0.03,1.0,0.4,0.71
0.03,1.0,0.42,0.7000000000000001
0.04,1.0,0.18,0.79
0.04,1.0,0.21,0.78
0.04,1.0,0.25,0.77
0.04,1.0,0.28,0.76
0.04,1.0,0.31,0.75
0.04,1.0,0.36,0.73
0.04,1.0,0.38,0.72
0.04,1.0,0.4,0.71
0.04,1.0,0.42,0.7000000000000001
0.05,1.0,0.18,0.79
0.05,1.0,0.21,0.78
0.05,1.0,0.25,0.77
0.05,1.0,0.28,0.76
0.05,1.0,0.31,0.75
0.05,1.0,0.36,0.73
0.05,1.0,0.38,0.72
0.05,1.0,0.4,0.71
0.05,1.0,0.42,0.7000000000000001
0.06,1.0,0.18,0.79
0.06,1.0,0.21,0.78
0.06,1.0,0.25,0.77
0.06,1.0,0.28,0.76
0.06,1.0,0.31,0.75
0.06,1.0,0.36,0.73
0.06,1.0,0.38,0.72
0.06,1.0,0.4,0.71
0.06,1.0,0.42,0.7000000000000001
0.07,1.0,0.18,0.79
0.07,1.0,0.21,0.78
0.07,1.0,0.25,0.77
0.07,1.0,0.28,0.76
0.07,1.0,0.31,0.75
0.07,1.0,0.36,0.73
0.07,1.0,0.38,0.72
0.07,1.0,0.4,0.71
0.07,1.0,0.42,0.7000000000000001
0.08,1.0,0.18,0.79
0.08,1.0,0.21,0.78
0.08,1.0,0.25,0.77
0.08,1.0,0.28,0.76
0.08,1.0,0.31,0.75
0.08,1.0,0.36,0.73
0.08,1.0,0.38,0.72
0.08,1.0,0.4,0.71
0.08,1.0,0.42,0.7000000000000001
0.09,1.0,0.18,0.79
0.09,1.0,0.21,0.78
0.09,1.0,0.25,0.77
0.09,1.0,0.28,0.76
0.09,1.0,0.31,0.75
0.09,1.0,0.36,0.73
0.09,1.0,0.38,0.72
0.09,1.0,0.4,0.71
0.09,1.0,0.42,0.7000000000000001
0.1,1.0,0.18,0.79
0.1,1.0,0.21,0.78
0.1,1.0,0.25,0.77
0.1,1.0,0.28,0.76
0.1,1.0,0.31,0.75
0.1,1.0,0.36,0.73
0.1,1.0,0.38,0.72
0.1,1.0,0.4,0.71
0.1,1.0,0.42,0.7000000000000001
0.11,1.0,0.18,0.79
0.11,1.0,0.21,0.78
0.11,1.0,0.25,0.77
0.11,1.0,0.28,0.76
0.11,1.0,0.31,0.75
0.11,1.0,0.36,0.73
0.11,1.0,0.38,0.72
0.11,1.0,0.4,0.71
0.11,1.0,0.42,0.7000000000000001
0.12,1.0,0.18,0.79
0.12,1.0,0.21,0.78
0.12,1.0,0.25,0.77
0.12,1.0,0.28,0.76
0.12,1.0,0.31,0.75
0.12,1.0,0.36,0.73
0.12,1.0,0.38,0.72
0.12,1.0,0.4,0.71
0.12,1.0,0.42,0.7000000000000001
0.13,1.0,0.18,0.79
0.13,1.0,0.21,0.78
0.13,1.0,0.25,0.77
0.13,1.0,0.28,0.76
0.13,1.0,0.31,0.75
0.13,1.0,0.36,0.73
0.13,1.0,0.38,0.72
0.13,1.0,0.4,0.71
0.13,1.0,0.42,0.7000000000000001
0.14,1.0,0.18,0.79
0.14,1.0,0.21,0.78
0.14,1.0,0.25,0.77
0.14,1.0,0.28,0.76
0.14,1.0,0.31,0.75
0.14,1.0,0.36,0.73
0.14,1.0,0.38,0.72
0.14,1.0,0.4,0.71
0.14,1.0,0.42,0.7000000000000001
0.15,1.0,0.18,0.79
0.15,1.0,0.21,0.78
0.15,1.0,0.25,0.77
0.15,1.0,0.28,0.76
0.15,1.0,0.31,0.75
0.15,1.0,0.36,0.73
0.15,1.0,0.38,0.72
0.15,1.0,0.4,0.71
0.15,1.0,0.42,0.7000000000000001
0.16,1.0,0.18,0.79
