p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.2,1.0,0.09,0.89
0.2,1.0,0.1,0.89
0.2,1.0,0.11,0.89
0.2,1.0,0.12,0.89
0.2,1.0,0.13,0.89
0.2,1.0,0.14,0.89
0.2,1.0,0.15,0.88
0.2,1.0,0.15,0.89
0.2,1.0,0.16,0.88
0.2,1.0,0.16,0.89
0.2,1.0,0.17,0.88
0.2,1.0,0.17,0.89
0.2,1.0,0.18,0.88
0.2,1.0,0.18,0.89
0.2,1.0,0.19,0.88
0.2,1.0,0.19,0.89
0.2,1.0,0.2,0.88
0.2,1.0,0.2,0.89
0.2,1.0,0.21,0.88
0.2,1.0,0.21,0.89
0.2,1.0,0.22,0.87
0.2,1.0,0.22,0.88
0.2,1.0,0.22,0.89
0.2,1.0,0.23,0.87
0.2,1.0,0.23,0.88
0.2,1.0,0.23,0.89
0.2,1.0,0.24,0.87
0.2,1.0,0.24,0.88
0.2,1.0,0.24,0.89
0.2,1.0,0.25,0.87
0.2,1.0,0.25,0.88
0.2,1.0,0.25,0.89
0.2,1.0,0.26,0.87
0.2,1.0,0.26,0.88
0.2,1.0,0.26,0.89
0.2,1.0,0.27,0.87
0.2,1.0,0.27,0.88
0.2,1.0,0.27,0.89
0.2,1.0,0.28,0.86
0.2,1.0,0.28,0.87
0.2,1.0,0.28,0.88
0.2,1.0,0.28,0.89
0.2,1.0,0.29,0.86
0.2,1.0,0.29,0.87
0.2,1.0,0.29,0.88
0.2,1.0,0.29,0.89
0.2,1.0,0.3,0.86
0.2,1.0,0.3,0.87
0.2,1.0,0.3,0.88
0.2,1.0,0.3,0.89
0.2,1.0,0.31,0.86
0.2,1.0,0.31,0.87
0.2,1.0,0.31,0.88
0.2,1.0,0.31,0.89
0.2,1.0,0.32,0.85
0.2,1.0,0.32,0.86
0.2,1.0,0.32,0.87
0.2,1.0,0.32,0.88
0.2,1.0,0.32,0.89
0.2,1.0,0.33,0.85
0.2,1.0,0.33,0.86
0.2,1.0,0.33,0.87
0.2,1.0,0.33,0.88
0.2,1.0,0.33,0.89
0.2,1.0,0.34,0.85
0.2,1.0,0.34,0.86
0.2,1.0,0.34,0.87
0.2,1.0,0.34,0.88
0.2,1.0,0.34,0.89
0.2,1.0,0.35000000000000003,0.85
0.2,1.0,0.35000000000000003,0.86
0.2,1.0,0.35000000000000003,0.87
0.2,1.0,0.35000000000000003,0.88
0.2,1.0,0.35000000000000003,0.89
0.2,1.0,0.36,0.85
0.2,1.0,0.36,0.86
0.2,1.0,0.36,0.87
0.2,1.0,0.36,0.88
0.2,1.0,0.36,0.89
0.2,1.0,0.37,0.84
0.2,1.0,0.37,0.85
0.2,1.0,0.37,0.86
0.2,1.0,0.37,0.87
0.2,1.0,0.37,0.88
0.2,1.0,0.37,0.89
0.2,1.0,0.38,0.84
0.2,1.0,0.38,0.85
0.2,1.0,0.38,0.86
0.2,1.0,0.38,0.87
0.2,1.0,0.38,0.88
0.2,1.0,0.38,0.89
0.2,1.0,0.39,0.84
0.2,1.0,0.39,0.85
0.2,1.0,0.39,0.86
0.2,1.0,0.39,0.87
0.2,1.0,0.39,0.88
0.2,1.0,0.39,0.89
0.2,1.0,0.4,0.8300000000000001
0.2,1.0,0.4,0.84
0.2,1.0,0.4,0.85
0.2,1.0,0.4,0.86
0.2,1.0,0.4,0.87
0.2,1.0,0.4,0.88
0.2,1.0,0.4,0.89
0.2,1.0,0.41000000000000003,0.8300000000000001
0.2,1.0,0.41000000000000003,0.84
0.2,1.0,0.41000000000000003,0.85
0.2,1.0,0.41000000000000003,0.86
0.2,1.0,0.41000000000000003,0.87
0.2,1.0,0.41000000000000003,0.88
0.2,1.0,0.41000000000000003,0.89
0.2,1.0,0.42,0.8300000000000001
0.2,1.0,0.42,0.84
0.2,1.0,0.42,0.85
0.2,1.0,0.42,0.86
0.2,1.0,0.42,0.87
0.2,1.0,0.42,0.88
0.2,1.0,0.42,0.89
0.2,1.0,0.43,0.8300000000000001
0.2,1.0,0.43,0.84
0.2,1.0,0.43,0.85
0.2,1.0,0.43,0.86
0.2,1.0,0.43,0.87
0.2,1.0,0.43,0.88
0.2,1.0,0.43,0.89
0.2,1.0,0.44,0.8200000000000001
0.2,1.0,0.44,0.8300000000000001
0.2,1.0,0.44,0.84
0.2,1.0,0.44,0.85
0.2,1.0,0.44,0.86
0.2,1.0,0.44,0.87
0.2,1.0,0.44,0.88
0.2,1.0,0.44,0.89
0.2,1.0,0.45,0.8200000000000001
0.2,1.0,0.45,0.8300000000000001
0.2,1.0,0.45,0.84
0.2,1.0,0.45,0.85
0.2,1.0,0.45,0.86
0.2,1.0,0.45,0.87
0.2,1.0,0.45,0.88
0.2,1.0,0.45,0.89
0.2,1.0,0.46,0.8200000000000001
0.2,1.0,0.46,0.8300000000000001
0.2,1.0,0.46,0.84
0.2,1.0,0.46,0.85
0.2,1.0,0.46,0.86
0.2,1.0,0.46,0.87
0.2,1.0,0.46,0.88
0.2,1.0,0.46,0.89
0.2,1.0,0.47000000000000003,0.8200000000000001
0.2,1.0,0.47000000000000003,0.8300000000000001
0.2,1.0,0.47000000000000003,0.84
0.2,1.0,0.47000000000000003,0.85
0.2,1.0,0.47000000000000003,0.86
0.2,1.0,0.47000000000000003,0.87
0.2,1.0,0.47000000000000003,0.88
0.2,1.0,0.47000000000000003,0.89
0.2,1.0,0.48,0.8200000000000001
0.2,1.0,0.48,0.8300000000000001
0.2,1.0,0.48,0.84
0.2,1.0,0.48,0.85
0.2,1.0,0.48,0.86
0.2,1.0,0.48,0.87
0.2,1.0,0.48,0.88
0.2,1.0,0.48,0.89
0.2,1.0,0.49,0.8200000000000001
0.2,1.0,0.49,0.8300000000000001
0.2,1.0,0.49,0.84
0.2,1.0,0.49,0.85
0.2,1.0,0.49,0.86
0.2,1.0,0.49,0.87
0.2,1.0,0.49,0.88
0.2,1.0,0.49,0.89
0.2,1.0,0.5,0.8200000000000001
