p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.23,0.86
0.01,1.0,0.24,0.86
0.01,1.0,0.24,0.87
0.01,1.0,0.25,0.86
0.01,1.0,0.25,0.87
0.01,1.0,0.25,0.88
0.01,1.0,0.26,0.85
0.01,1.0,0.26,0.86
0.01,1.0,0.26,0.87
0.01,1.0,0.26,0.88
0.01,1.0,0.27,0.85
0.01,1.0,0.27,0.86
0.01,1.0,0.27,0.87
0.01,1.0,0.27,0.88
0.01,1.0,0.28,0.85
0.01,1.0,0.28,0.86
0.01,1.0,0.28,0.87
0.01,1.0,0.28,0.88
0.01,1.0,0.29,0.85
0.01,1.0,0.29,0.86
0.01,1.0,0.29,0.87
0.01,1.0,0.29,0.88
0.01,1.0,0.3,0.85
0.01,1.0,0.3,0.86
0.01,1.0,0.3,0.87
0.01,1.0,0.3,0.88
0.01,1.0,0.31,0.84
0.01,1.0,0.31,0.85
0.01,1.0,0.31,0.86
0.01,1.0,0.31,0.87
0.01,1.0,0.31,0.88
0.01,1.0,0.32,0.84
0.01,1.0,0.32,0.85
0.01,1.0,0.32,0.86
0.01,1.0,0.32,0.87
0.01,1.0,0.32,0.88
0.01,1.0,0.33,0.84
0.01,1.0,0.33,0.85
0.01,1.0,0.33,0.86
0.01,1.0,0.33,0.87
0.01,1.0,0.33,0.88
0.01,1.0,0.34,0.84
0.01,1.0,0.34,0.85
0.01,1.0,0.34,0.86
0.01,1.0,0.34,0.87
0.01,1.0,0.34,0.88
0.01,1.0,0.35000000000000003,0.8300000000000001
0.01,1.0,0.35000000000000003,0.84
0.01,1.0,0.35000000000000003,0.85
0.01,1.0,0.35000000000000003,0.86
0.01,1.0,0.35000000000000003,0.87
0.01,1.0,0.35000000000000003,0.88
0.01,1.0,0.36,0.8300000000000001
0.01,1.0,0.36,0.84
0.01,1.0,0.36,0.85
0.01,1.0,0.36,0.86
0.01,1.0,0.36,0.87
0.01,1.0,0.36,0.88
0.01,1.0,0.37,0.8300000000000001
0.01,1.0,0.37,0.84
0.01,1.0,0.37,0.85
0.01,1.0,0.37,0.86
0.01,1.0,0.37,0.87
0.01,1.0,0.37,0.88
0.01,1.0,0.38,0.8300000000000001
0.01,1.0,0.38,0.84
0.01,1.0,0.38,0.85
0.01,1.0,0.38,0.86
0.01,1.0,0.38,0.87
0.01,1.0,0.38,0.88
0.01,1.0,0.39,0.8200000000000001
0.01,1.0,0.39,0.8300000000000001
0.01,1.0,0.39,0.84
0.01,1.0,0.39,0.85
0.01,1.0,0.39,0.86
0.01,1.0,0.39,0.87
0.01,1.0,0.39,0.88
0.01,1.0,0.4,0.8200000000000001
0.01,1.0,0.4,0.8300000000000001
0.01,1.0,0.4,0.84
0.01,1.0,0.4,0.85
0.01,1.0,0.4,0.86
0.01,1.0,0.4,0.87
0.01,1.0,0.4,0.88
0.01,1.0,0.41000000000000003,0.8200000000000001
0.01,1.0,0.41000000000000003,0.8300000000000001
0.01,1.0,0.41000000000000003,0.84
0.01,1.0,0.41000000000000003,0.85
0.01,1.0,0.41000000000000003,0.86
0.01,1.0,0.41000000000000003,0.87
0.01,1.0,0.41000000000000003,0.88
0.01,1.0,0.42,0.81
0.01,1.0,0.42,0.8200000000000001
0.01,1.0,0.42,0.8300000000000001
