p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.16,0.79
0.01,1.0,0.2,0.78
0.01,1.0,0.24,0.77
0.01,1.0,0.27,0.76
0.01,1.0,0.3,0.75
0.01,1.0,0.35000000000000003,0.73
0.01,1.0,0.37,0.72
0.02,1.0,0.16,0.79
0.02,1.0,0.2,0.78
0.02,1.0,0.24,0.77
0.02,1.0,0.27,0.76
0.02,1.0,0.3,0.75
0.02,1.0,0.35000000000000003,0.73
0.02,1.0,0.37,0.72
0.03,1.0,0.16,0.79
0.03,1.0,0.2,0.78
0.03,1.0,0.24,0.77
0.03,1.0,0.27,0.76
0.03,1.0,0.3,0.75
0.03,1.0,0.35000000000000003,0.73
0.03,1.0,0.37,0.72
0.04,1.0,0.16,0.79
0.04,1.0,0.2,0.78
0.04,1.0,0.24,0.77
0.04,1.0,0.27,0.76
0.04,1.0,0.3,0.75
0.04,1.0,0.35000000000000003,0.73
0.04,1.0,0.37,0.72
0.05,1.0,0.16,0.79
0.05,1.0,0.2,0.78
0.05,1.0,0.24,0.77
0.05,1.0,0.27,0.76
0.05,1.0,0.3,0.75
0.05,1.0,0.35000000000000003,0.73
0.05,1.0,0.37,0.72
0.06,1.0,0.16,0.79
0.06,1.0,0.2,0.78
0.06,1.0,0.24,0.77
0.06,1.0,0.27,0.76
0.06,1.0,0.3,0.75
0.06,1.0,0.35000000000000003,0.73
0.06,1.0,0.37,0.72
0.07,1.0,0.16,0.79
0.07,1.0,0.2,0.78
0.07,1.0,0.24,0.77
0.07,1.0,0.27,0.76
0.07,1.0,0.3,0.75
0.07,1.0,0.35000000000000003,0.73
0.07,1.0,0.37,0.72
0.08,1.0,0.16,0.79
0.08,1.0,0.2,0.78
0.08,1.0,0.24,0.77
0.08,1.0,0.27,0.76
0.08,1.0,0.3,0.75
0.08,1.0,0.35000000000000003,0.73
0.08,1.0,0.37,0.72
0.09,1.0,0.16,0.79
0.09,1.0,0.2,0.78
0.09,1.0,0.24,0.77
0.09,1.0,0.27,0.76
0.09,1.0,0.3,0.75
0.09,1.0,0.35000000000000003,0.73
0.09,1.0,0.37,0.72
0.1,1.0,0.16,0.79
0.1,1.0,0.2,0.78
0.1,1.0,0.24,0.77
0.1,1.0,0.27,0.76
