p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.2,0.75
0.01,1.0,0.29,0.72
0.01,1.0,0.31,0.71
0.01,1.0,0.34,0.7000000000000001
0.01,1.0,0.36,0.6900000000000001
0.01,1.0,0.38,0.68
0.01,1.0,0.4,0.67
0.02,1.0,0.2,0.75
0.02,1.0,0.29,0.72
0.02,1.0,0.31,0.71
0.02,1.0,0.34,0.7000000000000001
0.02,1.0,0.36,0.6900000000000001
0.02,1.0,0.38,0.68
0.02,1.0,0.4,0.67
0.03,1.0,0.2,0.75
0.03,1.0,0.26,0.73
0.03,1.0,0.29,0.72
0.03,1.0,0.31,0.71
0.03,1.0,0.34,0.7000000000000001
0.03,1.0,0.36,0.6900000000000001
0.03,1.0,0.38,0.68
0.03,1.0,0.4,0.67
0.04,1.0,0.2,0.75
0.04,1.0,0.26,0.73
0.04,1.0,0.29,0.72
0.04,1.0,0.31,0.71
0.04,1.0,0.34,0.7000000000000001
0.04,1.0,0.36,0.6900000000000001
0.04,1.0,0.38,0.68
0.04,1.0,0.4,0.67
0.05,1.0,0.2,0.75
0.05,1.0,0.26,0.73
0.05,1.0,0.29,0.72
0.05,1.0,0.31,0.71
0.05,1.0,0.34,0.7000000000000001
0.05,1.0,0.36,0.6900000000000001
0.05,1.0,0.38,0.68
0.05,1.0,0.4,0.67
0.06,1.0,0.2,0.75
0.06,1.0,0.26,0.73
0.06,1.0,0.29,0.72
0.06,1.0,0.31,0.71
0.06,1.0,0.34,0.7000000000000001
0.06,1.0,0.36,0.6900000000000001
0.06,1.0,0.38,0.68
0.06,1.0,0.4,0.67
0.07,1.0,0.2,0.75
0.07,1.0,0.26,0.73
0.07,1.0,0.29,0.72
0.07,1.0,0.31,0.71
0.07,1.0,0.34,0.7000000000000001
0.07,1.0,0.36,0.6900000000000001
0.07,1.0,0.38,0.68
0.07,1.0,0.4,0.67
0.08,1.0,0.2,0.75
0.08,1.0,0.26,0.73
0.08,1.0,0.29,0.72
0.08,1.0,0.31,0.71
0.08,1.0,0.34,0.7000000000000001
0.08,1.0,0.36,0.6900000000000001
0.08,1.0,0.38,0.68
0.08,1.0,0.4,0.67
0.09,1.0,0.2,0.75
0.09,1.0,0.26,0.73
0.09,1.0,0.29,0.72
0.09,1.0,0.31,0.71
0.09,1.0,0.34,0.7000000000000001
0.09,1.0,0.36,0.6900000000000001
0.09,1.0,0.38,0.68
0.09,1.0,0.4,0.67
0.1,1.0,0.2,0.75
0.1,1.0,0.26,0.73
0.1,1.0,0.29,0.72
0.1,1.0,0.31,0.71
0.1,1.0,0.34,0.7000000000000001
0.1,1.0,0.36,0.6900000000000001
0.1,1.0,0.38,0.68
0.1,1.0,0.4,0.67
0.11,1.0,0.2,0.75
0.11,1.0,0.24,0.74
0.11,1.0,0.26,0.73
0.11,1.0,0.29,0.72
0.11,1.0,0.31,0.71
0.11,1.0,0.34,0.7000000000000001
0.11,1.0,0.36,0.6900000000000001
0.11,1.0,0.38,0.68
0.11,1.0,0.4,0.67
0.12,1.0,0.2,0.75
0.12,1.0,0.24,0.74
0.12,1.0,0.26,0.73
0.12,1.0,0.29,0.72
0.12,1.0,0.31,0.71
0.12,1.0,0.34,0.7000000000000001
0.12,1.0,0.36,0.6900000000000001
0.12,1.0,0.38,0.68
0.12,1.0,0.4,0.67
0.13,1.0,0.2,0.75
0.13,1.0,0.24,0.74
0.13,1.0,0.26,0.73
0.13,1.0,0.29,0.72
0.13,1.0,0.31,0.71
0.13,1.0,0.34,0.7000000000000001
0.13,1.0,0.36,0.6900000000000001
0.13,1.0,0.38,0.68
0.13,1.0,0.4,0.67
0.14,1.0,0.2,0.75
0.14,1.0,0.24,0.74
0.14,1.0,0.26,0.73
0.14,1.0,0.29,0.72
0.14,1.0,0.31,0.71
0.14,1.0,0.34,0.7000000000000001
0.14,1.0,0.36,0.6900000000000001
0.14,1.0,0.38,0.68
0.14,1.0,0.4,0.67
0.15,1.0,0.2,0.75
0.15,1.0,0.24,0.74
0.15,1.0,0.26,0.73
0.15,1.0,0.29,0.72
0.15,1.0,0.31,0.71
0.15,1.0,0.34,0.7000000000000001
0.15,1.0,0.36,0.6900000000000001
0.15,1.0,0.38,0.68
0.15,1.0,0.4,0.67
0.16,1.0,0.2,0.75
0.16,1.0,0.24,0.74
0.16,1.0,0.26,0.73
0.16,1.0,0.29,0.72
0.16,1.0,0.31,0.71
0.16,1.0,0.34,0.7000000000000001
0.16,1.0,0.36,0.6900000000000001
0.16,1.0,0.38,0.68
0.16,1.0,0.4,0.67
0.17,1.0,0.2,0.75
0.17,1.0,0.24,0.74
0.17,1.0,0.26,0.73
0.17,1.0,0.29,0.72
0.17,1.0,0.31,0.71
0.17,1.0,0.34,0.7000000000000001
0.17,1.0,0.36,0.6900000000000001
0.17,1.0,0.38,0.68
0.17,1.0,0.4,0.67
0.18,1.0,0.2,0.75
0.18,1.0,0.24,0.74
0.18,1.0,0.26,0.73
0.18,1.0,0.29,0.72
0.18,1.0,0.31,0.71
0.18,1.0,0.34,0.7000000000000001
0.18,1.0,0.36,0.6900000000000001
0.18,1.0,0.38,0.68
0.18,1.0,0.4,0.67
0.19,1.0,0.2,0.75
0.19,1.0,0.24,0.74
0.19,1.0,0.26,0.73
0.19,1.0,0.29,0.72
0.19,1.0,0.31,0.71
0.19,1.0,0.34,0.7000000000000001
0.19,1.0,0.36,0.6900000000000001
0.19,1.0,0.38,0.68
0.19,1.0,0.4,0.67
0.2,1.0,0.2,0.75
0.2,1.0,0.24,0.74
0.2,1.0,0.26,0.73
0.2,1.0,0.29,0.72
0.2,1.0,0.31,0.71
0.2,1.0,0.34,0.7000000000000001
0.2,1.0,0.36,0.6900000000000001
0.2,1.0,0.38,0.68
0.2,1.0,0.4,0.67
0.21,1.0,0.2,0.75
0.21,1.0,0.24,0.74
0.21,1.0,0.26,0.73
0.21,1.0,0.29,0.72
0.21,1.0,0.31,0.71
0.21,1.0,0.34,0.7000000000000001
0.21,1.0,0.36,0.6900000000000001
0.21,1.0,0.38,0.68
0.21,1.0,0.4,0.67
0.22,1.0,0.2,0.75
0.22,1.0,0.24,0.74
0.22,1.0,0.26,0.73
0.22,1.0,0.29,0.72
0.22,1.0,0.31,0.71
0.22,1.0,0.34,0.7000000000000001
0.22,1.0,0.36,0.6900000000000001
0.22,1.0,0.38,0.68
0.22,1.0,0.4,0.67
0.23,1.0,0.2,0.75
0.23,1.0,0.21,0.75
0.23,1.0,0.24,0.74
0.23,1.0,0.26,0.73
0.23,1.0,0.29,0.72
0.23,1.0,0.31,0.71
0.23,1.0,0.34,0.7000000000000001
0.23,1.0,0.36,0.6900000000000001
0.23,1.0,0.38,0.68
0.23,1.0,0.4,0.67
0.24,1.0,0.2,0.75
0.24,1.0,0.21,0.75
0.24,1.0,0.24,0.74
0.24,1.0,0.26,0.73
