Term,Major,Likelihood
201610,Administración,-1257.975873062885
201610,Antropología,-169.1140209773131
201610,Arquitectura,-1013.1551091464214
201610,Artes,-187.01199883456286
201610,Biología,-324.834653944259
201610,Cpol,-1017.8951739555928
201610,Derecho,-1371.2601181265434
201610,Diseño,-1346.1170965685503
201610,Economía,-1775.6622552495783
201610,Filosofía,-18.993057001576094
201610,Física,-158.08769654187006
201610,Geociencias,-200.99627457350448
201610,GobPolítica,-409.30192037004804
201610,HistArte,-2.0794415416798357
201610,Historia,-3.9049084552293527
201610,IngAmbiental,-1204.6929654280184
201610,IngBiomédica,-1006.470397642283
201610,IngCivil,-1439.029728993501
201610,IngElectrónica,-942.9476571073628
201610,IngEléctrica,-92.80951821521893
201610,IngIndustrial,-3018.91077071215
201610,IngMecánica,-2857.2963636685818
201610,IngQuímica,-2118.8449097068924
201610,IngSistemas,-2124.4845221389523
201610,Literatura,-165.11686176619548
201610,Matemáticas,-28.276238216506318
201610,Medicina,-1156.8431056593333
201610,Microbiología,-96.37149413027339
201610,Música,-235.23635453631735
201610,Psicología,-1029.1088536885818
201610,Química,-320.03128851265063
201620,Administración,-1725.0282242053383
201620,Antropología,-36.34200518392508
201620,Arquitectura,-1227.8149397285074
201620,Artes,-242.39976137879012
201620,Biología,-225.16351188992724
201620,Cpol,-1002.4215182184053
201620,Derecho,-1534.8339181981896
201620,Diseño,-1433.7456172639663
201620,Economía,-2980.3852402777784
201620,Filosofía,-21.730941054011737
201620,Física,-45.72309297185362
201620,Geociencias,-33.69651937760224
201620,GobPolítica,-716.0339575403497
201620,HistArte,-51.840437014910705
201620,Historia,0.0
201620,IngAmbiental,-232.68793168043143
201620,IngBiomédica,-740.029465876526
201620,IngCivil,-1069.3975824731422
201620,IngElectrónica,-270.93739351355396
201620,IngEléctrica,-24.27291404580832
201620,IngIndustrial,-2757.1385728895907
201620,IngMecánica,-1807.092707800648
201620,IngQuímica,-1157.004225746069
201620,IngSistemas,-800.2363266282726
201620,Literatura,-85.76638958548698
201620,Matemáticas,-11.052988695126853
201620,Medicina,-1696.1611092431915
201620,Microbiología,-84.68048124854714
201620,Música,-115.10057439330791
201620,Psicología,-558.7814701780358
201620,Química,-13.41894466192688
201710,Administración,-1097.3976761766844
201710,Antropología,-118.07872384884247
201710,Arquitectura,-1303.712618655025
201710,Artes,-401.79400123219847
201710,Biología,-142.76496825487914
201710,Cpol,-575.6846865331728
201710,Derecho,-976.8044829263836
201710,Diseño,-1643.6308386098117
201710,Economía,-1527.4325492972162
201710,Filosofía,-14.556086280324227
201710,Física,-154.75747380077485
201710,Geociencias,-43.04269370550334
201710,GobPolítica,-485.18859597819596
201710,HistArte,-57.12907098140089
201710,Historia,-24.805971816543558
201710,IngAmbiental,-851.9240043210739
201710,IngBiomédica,-1139.24093603587
201710,IngCivil,-1374.4483867645345
201710,IngElectrónica,-425.69719085242417
201710,IngEléctrica,-95.06951636428354
201710,IngIndustrial,-1342.8474797151084
201710,IngMecánica,-1945.621161692609
201710,IngQuímica,-2191.6624608734
201710,IngSistemas,-1437.0722567731088
201710,Literatura,-281.13799869602417
201710,Matemáticas,-36.30007907749815
201710,Medicina,-383.7373795480065
201710,Microbiología,-191.33370224947882
201710,Música,-111.79237039293437
201710,Psicología,-684.1725946988465
201710,Química,-123.38502510201106
201720,Administración,-1553.9705271527432
201720,Antropología,-50.81011544314468
201720,Arquitectura,-1133.495813020138
201720,Artes,-170.71254831733205
201720,Biología,-76.72460597951559
201720,Cpol,-655.6271039402425
201720,Derecho,-766.1567884983688
201720,Diseño,-1588.0563086576708
201720,Economía,-1634.5667707530472
201720,Filosofía,-8.306419323240583
201720,Física,-24.219663398832285
201720,Geociencias,-28.823051106740348
201720,GobPolítica,-550.8451742700723
201720,HistArte,-18.92541143765332
201720,Historia,-37.738104892971016
201720,IngAmbiental,-121.01300599314355
201720,IngBiomédica,-467.66175113304655
201720,IngCivil,-1496.7958743832974
201720,IngElectrónica,-281.20361118611623
201720,IngEléctrica,-8.797423787142545
201720,IngIndustrial,-2396.31119525532
201720,IngMecánica,-1741.6562696746596
201720,IngQuímica,-645.2433023059883
201720,IngSistemas,-961.9334056975205
201720,Literatura,-83.14620878058189
201720,Matemáticas,-36.62157515663641
201720,Medicina,-1422.8205786951478
201720,Microbiología,-45.925554320805055
201720,Música,-222.32419387811504
201720,Psicología,-537.8991011432411
201720,Química,-15.793667128935986
201810,Administración,-1582.2022184264738
201810,Antropología,-24.95110537698301
201810,Arquitectura,-589.035578007908
201810,Artes,-236.47388646492368
201810,Biología,-20.294699447065163
201810,Cpol,-275.92259798064765
201810,Derecho,-1581.233992225374
201810,Diseño,-1299.7419418029408
201810,Economía,-2209.761254256652
201810,Filosofía,-4.108405625345356
201810,Física,-94.97228052669405
201810,Geociencias,-100.688129361902
201810,GobPolítica,-365.2215319693057
201810,HistArte,-22.810471795229812
201810,Historia,-0.45056120886630463
201810,IngAmbiental,-228.68780318594725
201810,IngBiomédica,-1113.7704592438145
201810,IngCivil,-1131.2791204024986
201810,IngElectrónica,-326.65736873105084
