Identifier,Room
201613058,1
201612036,1
201614854,1
201620999,0
201618441,1
201620234,1
201621265,1
201621784,0
201615389,1
201620255,0
201617445,0
201513254,0
201617704,0
201611831,0
201617975,0
201617978,0
201616443,0
201620800,0
201616449,1
201620818,1
201613139,1
201614935,0
201512536,0
201618008,0
201614696,1
201616236,0
201612148,1
201616503,1
201614975,0
201615494,1
201623430,0
201616264,1
201619592,0
201620362,1
201615243,1
201622924,0
201612687,0
201618320,0
201512849,0
201621647,0
201619618,1
201611427,0
201618086,1
201618598,0
201619880,0
201615532,1
201623214,0
201618352,0
201614774,1
201617846,1
201617088,1
201619136,1
201620939,0
201512407,0
201622488,0
201616859,0
201611996,1
201615074,1
201623011,0
201611748,1
201529831,1
201613800,0
201612781,0
201616880,0
201615098,1
201620987,0
