Identifier,Room
201614082,1
201616394,1
201623311,1
201616400,1
201616657,1
201613328,1
201616915,1
201623060,1
201619477,0
201531939,1
201620527,1
201533746,0
201623347,1
201615156,1
201619508,1
201620536,1
201531968,1
201530690,0
201615690,1
201532754,1
201619544,1
201615962,1
201622621,1
201617760,1
201612650,1
201514611,1
201617779,1
201619328,1
201617286,0
201617548,1
201618322,1
201623701,1
201511831,0
201611930,1
201615004,1
201619614,1
201616543,1
201617567,0
201533855,0
201617316,1
201614757,1
201612967,1
201622441,1
201611948,1
201612205,1
201617581,0
201615541,1
201622202,1
201617851,1
201612995,1
201611726,0
201514705,0
201618131,1
201616087,0
201613281,1
201614314,1
201412588,1
201616635,1
201622782,0
