Identifier,Room
201630980,0
201629701,0
201532169,0
201611018,0
201630476,0
201632013,0
201632532,1
201314581,0
201632021,0
201632795,0
201631774,0
201630752,0
201632296,1
201533737,0
201632553,0
201631788,0
201532723,0
201411900,0
201632322,0
201631305,0
201630796,0
201632077,0
201629776,0
201531217,0
201633108,0
201622123,0
201630829,1
201614705,0
201532021,0
201631605,0
201630841,0
201630844,0
201514116,0
201631625,0
201011595,1
201632655,0
201630097,0
201613203,0
201631892,1
201632407,0
201630878,0
201532076,0
201631672,0
201530809,0
201533115,0
201616830,0
201615040,0
201630663,0
201631944,1
201630674,0
201630675,0
201632489,0
201632491,0
201631985,0
201615348,0
201630711,0
201631486,0
