Identifier,Room
201531649,1
201629702,1
201630984,0
201613823,0
201632782,1
201629723,1
201615644,1
201632028,0
201633308,0
201633051,0
201631263,0
201630498,0
201631012,0
201424934,1
201631017,1
201415978,1
201631533,0
201630766,1
201613616,1
201614128,1
201629749,1
201631029,1
201612859,1
201631292,1
201629760,0
201631040,1
201631561,0
201631820,0
201222733,1
201631053,1
201631821,0
201630806,1
201632087,0
201531227,0
201633371,0
201630824,1
201632104,0
201632872,0
201532014,0
201631088,0
201631603,1
201631351,1
201632388,1
201630855,1
201614220,1
201632917,1
201631127,0
201326748,0
201632159,0
201631650,0
201611432,0
201614505,0
201629620,1
201631158,1
201630135,0
201630137,0
201630911,1
201630656,1
201531841,0
201631683,1
201629639,0
201631688,1
201632461,0
201632463,1
201613520,0
201631443,0
201630941,1
201633257,0
201531117,1
201623277,0
201531636,0
201631231,0
