Identifier,Room
201632768,0
201632769,0
201511684,0
201613590,1
201633047,1
201531416,0
201632031,0
201630502,1
201616690,0
201631282,0
201630778,1
201632573,0
201632574,1
201631556,1
201630028,0
201632082,1
201632860,0
201631582,1
201632865,1
201631846,0
201630567,0
201631852,0
201632886,0
201630839,1
201630849,0
201631361,1
201630083,0
201614217,0
201631114,0
201531282,0
201631894,1
201631133,0
201630377,1
201630635,1
201631677,1
201632194,0
201530307,0
201631429,0
201632969,1
201632202,0
201632465,1
201631702,0
201632475,1
201631968,1
201612769,1
201632484,0
201531626,1
201631480,0
201630969,1
201532415,0
