Identifier,Room
201630978,1
201632519,0
201515272,0
201629716,1
201631258,0
201424923,0
201629726,1
201629728,0
201631265,1
201631014,0
201620522,0
201631021,0
201632305,1
201631027,1
201632308,1
201618485,1
201622073,1
201123131,1
201629756,1
201630527,1
201631554,1
201631044,1
201632583,0
201630536,1
201631309,0
201631822,0
201616982,0
201630562,0
201631341,1
201632879,0
201630066,1
201630067,0
201632628,1
201629828,1
201518730,0
201630092,1
201632140,0
201631630,1
201630864,1
201630610,0
201623447,0
201630103,1
201532571,1
201513117,0
201611941,1
201630901,0
201630649,0
201632956,0
201629629,0
201631172,1
201631685,1
201632458,0
201630667,0
201631692,1
201632205,1
201631697,0
201631700,0
201630936,1
201631708,1
201631454,0
201631973,0
201630955,1
201630447,1
201631731,0
201630453,0
201631989,0
201633014,0
201631227,1
201632252,1
