Identifier,Room
201632004,0
201521925,1
201630474,1
201631245,0
201630991,0
201530900,0
201630998,0
201325087,0
201631778,0
201629741,0
201632054,0
201632826,0
201621563,0
201615940,0
201631813,1
201624136,0
201631306,0
201632586,1
201632846,0
201632337,1
201630553,1
201532770,0
201630821,0
201618028,0
201632621,0
201532016,0
201633393,0
201629818,1
201629566,0
201630079,0
201631873,0
201632132,0
201623429,1
201631123,1
201629588,0
201631897,0
201631644,0
201631391,0
201612452,0
201325988,1
201630631,1
201616552,0
201631913,0
201632939,1
201631916,0
201630129,1
201631410,1
201632440,0
201615292,1
201621184,0
201613249,0
201630402,0
201633228,0
201613007,0
201631695,1
201631447,1
201630428,0
201632220,1
201631200,1
201631713,0
201632486,0
201633002,0
201630700,0
201619437,0
201630974,1
