Identifier,Room
201630726,1
201632011,0
201631760,0
201631251,0
201632541,1
201630496,0
201632293,0
201633061,1
201631272,1
201533999,0
201626174,1
201617999,0
201632081,0
201618005,1
201631070,1
201630047,0
201630048,1
201616230,1
201631596,0
201630833,0
201417591,0
201631098,1
201632637,0
201630593,0
201626242,1
201632644,0
201632914,0
201633171,1
201315220,1
201620630,1
201622423,0
201614488,0
201630106,1
201631131,1
201629599,1
201630630,0
201632422,0
201629865,1
201631403,0
201413293,0
201629873,0
201632435,1
201631670,1
201630903,0
201629885,1
201328833,0
201629637,1
201631948,1
201630423,1
201631192,1
201631453,1
201630689,1
201633249,0
201630698,0
201630444,0
201630956,0
201629945,1
201630971,0
