Identifier,Room
201712640,0
201713666,0
201717510,0
201719815,0
201718025,0
201713162,0
201713674,0
201713678,0
201712399,0
201714446,0
201632274,0
201712916,1
201713689,0
201713697,0
201712676,0
201720359,0
201719084,0
201717819,1
201714493,0
201718845,0
201718081,0
201715269,1
201715525,1
201713487,1
201713747,1
201715796,1
201713243,1
201717611,0
201720428,1
201718128,0
201712241,1
201712510,0
201615239,1
201718156,0
201718167,1
201715100,0
201714849,0
201716138,0
201712302,1
201715123,1
201631156,1
201712051,1
201714870,1
201713081,1
201718713,0
201718973,0
201632449,1
201715400,1
201716429,1
201718993,0
201720278,1
201713879,1
201720536,0
201718746,1
201712608,1
201714406,1
201713127,0
201720301,1
201712627,0
201718774,0
201716472,0
201713407,0
