Identifier,Room
201714432,1
201718278,1
201712649,1
201715984,1
201716752,1
201720082,1
201712921,1
201715248,1
201712693,0
201716790,1
201717046,1
201717816,1
201631289,1
201717817,1
201720374,1
201632828,1
201713473,1
201713729,1
201716801,1
201314634,0
201713482,1
201718348,1
201715281,1
201717589,1
201629548,1
201714797,1
201532783,1
201714036,1
201618553,1
201714300,1
201718398,1
201718402,1
201712515,1
201713286,1
201713544,1
201718409,1
201712014,1
201715855,1
201719695,1
201718926,1
201629586,1
201629589,1
201716890,1
201718171,1
201632412,1
201715612,1
201712286,1
201631647,1
201122976,1
201719708,1
201714599,1
201718701,1
201713583,1
201712816,1
201420215,1
201718711,1
201716409,1
201717440,1
201718210,1
201714380,1
201712593,1
201711058,1
201720533,1
201715931,1
201712355,1
201713381,1
201716463,1
201714159,1
201714418,1
201711865,1
201720571,1
