Identifier,Room
201713408,1
201720066,1
201717515,0
201719819,0
201714194,0
201715481,0
201719836,1
201711904,0
201718820,1
201720101,0
201720141,0
201715023,0
201711954,0
201710937,0
201717081,0
201713245,0
201714525,1
201712737,0
201719906,1
201714286,1
201719151,0
201717106,0
201718131,0
201614973,0
201711999,0
201711755,0
201714581,0
201713303,0
201715097,0
201717667,1
201718520,1
201718962,1
201714363,1
201715902,1
201714884,0
201715403,0
201717967,1
201715408,0
201716434,0
201717971,1
201715157,0
201714911,1
201715684,0
201715436,0
201712369,1
201712371,1
201622518,0
201718264,1
