Identifier,Room
201713154,1
201633283,0
201714692,1
201612037,1
201715717,0
201716488,1
201715991,0
201713961,0
201711921,0
201711928,1
201632570,0
201716044,0
201713740,1
201716557,1
201720143,0
201630038,0
201717592,0
201715553,1
201718369,0
201719660,1
201715311,1
201532019,1
201718388,0
201717877,0
201720691,1
201612667,0
201718142,0
201712003,0
201714060,0
201710992,1
201612180,0
201633173,1
201716629,1
201632160,0
201714851,1
201717936,1
201631932,0
201632457,0
201720021,0
201716950,1
201718234,0
201712874,0
201716727,1
201718776,0
201718522,1
