Identifier,Room
201729792,0
201729800,0
201615627,0
201730581,0
201731349,1
201712152,0
201730843,0
201729052,0
201714214,1
201730086,0
201729320,1
201731369,0
201730602,0
201729584,1
201724467,0
201728821,0
201716791,0
201630013,0
201712965,0
201729093,0
201730120,0
201730377,0
201714506,0
201729354,0
201631311,1
201730128,0
201730393,0
201729372,0
201729629,0
201728356,1
201715557,0
201713769,1
201729899,1
201728877,0
201729144,0
201729658,0
201730173,1
201729151,1
201730953,0
201730699,0
201730959,0
201729426,0
201614739,0
201730964,0
201730463,1
201729187,0
201728933,1
201729701,0
201730996,0
201633205,1
201730489,0
201731515,0
201731771,0
201729216,1
201714113,0
201729231,0
201729744,0
201730000,1
201728211,0
201731030,1
201730007,0
201729753,1
201730524,0
201730014,1
201728738,0
201632227,1
201731811,0
201729765,0
201731559,1
201712877,0
201716206,0
201729518,0
201730029,0
201720561,1
201711858,0
201729277,0
