Identifier,Room
201729536,1
201811968,1
201817096,1
201815052,1
201614350,0
201813007,0
201812499,1
201813783,1
201816599,1
201811995,1
201816350,0
201812002,1
201813542,1
201729062,1
201813548,1
201718573,1
201812786,1
201816627,1
201813047,1
201813559,1
201631547,1
201812285,1
201813565,0
201813826,1
201814857,1
201814346,1
201729104,0
201730384,0
201816915,0
201720663,1
201815128,1
201731422,0
201811554,1
201814628,1
201729127,0
201814890,0
201814645,1
201815671,1
201812858,1
201812349,1
201716866,1
201812610,1
201813406,1
201730725,1
201728934,1
201814953,1
201815223,1
201729980,1
201811903,1
201813443,1
201813701,1
201813957,1
201814216,0
201630665,1
201815496,0
201815755,1
201812943,1
201815766,1
201728731,1
201731036,0
201813221,1
201813995,1
201816815,1
201812720,0
201812722,1
201814258,1
201813236,1
201714678,0
201711862,0
201816570,1
201715966,1
