Identifier,Room
201815560,1
201730063,0
201731605,1
201729048,1
201813022,1
201814568,0
201814577,1
201632320,1
201815636,1
201812057,1
201812570,0
201812059,1
201816670,0
201812577,0
201814643,1
201732724,0
201816180,1
201812598,0
201729148,1
201732737,1
201816207,0
201816215,1
201814188,1
201814192,0
201631417,0
201815227,0
201730248,1
201816782,0
201730769,1
201813717,1
201814748,1
201814752,1
201815777,1
201815266,0
201813738,0
201813228,1
201813740,0
201814253,1
201816314,0
201813759,0
201813253,1
201814795,1
201814801,1
201816348,1
201728300,0
201815350,0
201813815,0
201813828,0
201815877,0
201815369,0
201812811,0
201815892,0
201816916,1
201812829,1
201814367,1
201730914,1
201812834,0
201815396,0
201814014,1
201815930,0
201815932,0
201728897,1
201730434,0
201814408,1
201814921,1
201813386,0
201814416,1
201813912,0
201814425,1
201729440,1
201715108,0
201811889,1
201815486,1
201812950,0
201817560,0
201815015,1
201715699,0
201812979,0
201815027,0
201815543,0
201814011,1
201814526,1
