Identifier,Room
201815554,0
201631749,0
201731594,0
201813002,1
201729043,1
201814548,0
201816084,0
201815068,0
201730598,0
201815594,0
201816107,0
201812529,0
201816633,0
201815618,0
201814085,1
201815116,0
201730637,0
201816662,0
201813086,1
201816159,0
201813090,0
201811555,1
201813093,0
201812585,1
201730155,1
201730667,0
201812589,0
201812590,0
201817709,1
201812594,1
201814130,0
201814647,1
201812092,1
201815690,0
201812620,0
201814157,0
201715866,1
201814181,0
201730735,1
201730740,0
201817274,0
201814715,0
201812690,1
201814741,1
201729755,0
201814236,0
201815259,1
201816285,0
201813225,0
201815273,0
201812721,0
201729784,1
201731322,0
201813758,0
201815297,0
201815298,0
201814278,0
201812754,1
201729812,1
201815323,0
201815327,0
201814310,0
201817387,0
201814317,0
201812278,0
201730873,0
201731386,0
201814340,0
201814862,0
201813329,0
201815383,1
201814362,0
201813339,0
201812316,0
201813855,0
201815392,1
201814882,0
201814888,0
201728872,0
201812340,0
201814390,0
201731461,1
201728902,1
201817479,0
201814409,1
201814922,1
201813901,0
201817500,0
201814959,1
201813427,1
201811904,0
201814977,0
201731019,0
201814988,1
201812940,0
201812944,1
201815000,0
201813977,0
201812955,0
201716700,0
201729514,0
201731050,1
201817579,0
201731565,1
201730543,1
201817583,1
201816566,0
201630712,0
